* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 8, 2021 11:10:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XM4 ANC on
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.113777	-141.0920
20.600000	106.149483	-141.8091
20.900000	106.178795	-142.4437
21.200001	106.207779	-143.0690
21.400000	106.227905	-143.4863
21.799999	106.269760	-144.3231
22.000000	106.291016	-144.7397
22.400000	106.333130	-145.5587
22.700001	106.363708	-146.1521
23.000000	106.393219	-146.7261
23.299999	106.421486	-147.2841
23.600000	106.448235	-147.8314
24.000000	106.480896	-148.5514
24.299999	106.503128	-149.0847
24.700001	106.530602	-149.7835
25.000000	106.550621	-150.2962
25.400000	106.577812	-150.9649
25.799999	106.605850	-151.6195
26.200001	106.633797	-152.2618
26.500000	106.653992	-152.7343
26.900000	106.679497	-153.3506
27.200001	106.697716	-153.8035
27.600000	106.721054	-154.4006
28.000000	106.743103	-154.9963
28.500000	106.767685	-155.7400
29.000000	106.788322	-156.4665
29.500000	106.806854	-157.1581
30.000000	106.826370	-157.8174
30.400000	106.843414	-158.3359
30.700001	106.856445	-158.7269
31.100000	106.872849	-159.2540
31.500000	106.887077	-159.7825
32.000000	106.901848	-160.4299
32.500000	106.915222	-161.0509
33.000000	106.929359	-161.6486
33.500000	106.944618	-162.2360
34.000000	106.959366	-162.8227
34.500000	106.971985	-163.4069
35.000000	106.982300	-163.9802
35.500000	106.991455	-164.5381
36.000000	107.000351	-165.0834
36.500000	107.008804	-165.6211
37.000000	107.016060	-166.1517
37.500000	107.021820	-166.6722
38.200001	107.028244	-167.3827
38.700001	107.032143	-167.8816
39.500000	107.036652	-168.6690
40.000000	107.038574	-169.1502
40.599998	107.041290	-169.7162
41.200001	107.044861	-170.2801
41.799999	107.047432	-170.8492
42.500000	107.046143	-171.5065
43.099998	107.041946	-172.0445
43.700001	107.037651	-172.5589
44.400002	107.033516	-173.1484
45.000000	107.029152	-173.6490
45.500000	107.024567	-174.0564
46.200001	107.017769	-174.6118
46.799999	107.011497	-175.0857
47.500000	107.001907	-175.6405
48.200001	106.990479	-176.1847
48.700001	106.982857	-176.5638
49.400002	106.973442	-177.0870
50.000000	106.965034	-177.5281
50.799999	106.951767	-178.0955
51.500000	106.939095	-178.5734
52.200001	106.926353	-179.0456
53.000000	106.911575	-179.5816
53.799999	106.896866	179.8995
54.500000	106.884254	179.4631
55.200001	106.870621	179.0369
56.000000	106.852798	178.5585
57.000000	106.829788	177.9617
58.000000	106.805412	177.3630
59.000000	106.779007	176.7963
60.000000	106.752548	176.2362
60.799999	106.729477	175.7814
61.500000	106.709389	175.3969
62.200001	106.690712	175.0249
63.000000	106.668282	174.6086
64.000000	106.637024	174.1126
65.000000	106.607552	173.6242
66.000000	106.577576	173.1266
67.000000	106.546181	172.6417
68.000000	106.513878	172.1517
69.000000	106.480782	171.6922
70.000000	106.451729	171.2603
71.000000	106.418839	170.8251
72.000000	106.385231	170.4186
73.000000	106.356796	170.0054
74.000000	106.325272	169.5969
75.000000	106.291199	169.2057
76.199997	106.248016	168.7304
77.500000	106.204102	168.2621
78.800003	106.160645	167.8205
80.000000	106.115952	167.4223
81.199997	106.073639	167.0090
82.500000	106.031441	166.5554
83.800003	105.988358	166.1248
85.000000	105.947174	165.7557
86.199997	105.903305	165.3991
87.500000	105.855682	165.0416
88.500000	105.818275	164.7566
90.000000	105.764816	164.3334
91.199997	105.725258	164.0038
92.500000	105.683884	163.6674
93.800003	105.637726	163.3406
95.000000	105.596977	163.0452
96.199997	105.552437	162.7629
97.500000	105.506912	162.4792
98.800003	105.459732	162.1792
100.000000	105.419586	161.9021
101.500000	105.367493	161.5648
103.000000	105.318382	161.2778
104.400002	105.269272	161.0184
106.000000	105.212883	160.7423
107.500000	105.164406	160.4501
109.000000	105.113602	160.1741
110.599998	105.061295	159.8943
112.000000	105.016487	159.6406
113.800003	104.953880	159.3460
115.000000	104.912598	159.1773
117.199997	104.841927	158.8958
118.000000	104.815422	158.7822
120.599998	104.729019	158.4321
122.000000	104.686279	158.2451
124.099998	104.625565	157.9730
125.000000	104.598541	157.8703
126.500000	104.554832	157.6894
128.000000	104.509682	157.5446
131.500000	104.406960	157.2253
132.000000	104.392784	157.1822
134.000000	104.333298	157.0312
136.000000	104.270767	156.9185
138.000000	104.216805	156.7498
140.000000	104.160294	156.5937
143.000000	104.079117	156.3889
145.000000	104.022285	156.3031
147.500000	103.960999	156.2175
150.000000	103.898476	156.1506
152.500000	103.836258	156.0337
155.000000	103.778244	155.9501
157.500000	103.714890	155.8821
160.000000	103.657814	155.7750
162.500000	103.599236	155.7285
165.000000	103.540710	155.6677
167.500000	103.490097	155.6240
170.000000	103.436256	155.5277
172.500000	103.381607	155.4276
175.000000	103.328133	155.3559
177.500000	103.273903	155.3362
180.000000	103.227875	155.2965
182.500000	103.182098	155.2584
185.000000	103.132294	155.2130
187.500000	103.086884	155.1702
190.000000	103.037842	155.1184
192.500000	102.998138	155.1061
195.000000	102.958344	155.1557
197.500000	102.919334	155.1739
200.000000	102.880341	155.1524
203.000000	102.833969	155.1477
206.000000	102.793259	155.1620
209.000000	102.752052	155.1543
212.000000	102.714745	155.1458
214.000000	102.685966	155.1591
218.000000	102.626427	155.1708
220.000000	102.600952	155.1682
224.000000	102.541214	155.0905
227.000000	102.503159	155.0873
230.000000	102.467583	155.1548
233.000000	102.436447	155.2325
236.000000	102.413910	155.2371
240.000000	102.378311	155.2679
243.000000	102.352760	155.2836
247.000000	102.315369	155.3591
250.000000	102.282883	155.4537
254.000000	102.247665	155.4760
258.000000	102.215828	155.4731
262.000000	102.180313	155.4649
265.000000	102.151184	155.4631
269.000000	102.126373	155.5302
272.000000	102.104263	155.5610
276.000000	102.083878	155.6589
280.000000	102.057808	155.6484
285.000000	102.032242	155.6233
290.000000	102.003601	155.6266
295.000000	101.970604	155.6484
300.000000	101.939529	155.6075
304.000000	101.917877	155.5156
307.000000	101.904007	155.4799
311.000000	101.888237	155.4192
315.000000	101.873558	155.3613
320.000000	101.845413	155.2628
325.000000	101.821838	155.1773
330.000000	101.802628	155.0791
335.000000	101.779228	154.9776
340.000000	101.756660	154.8717
345.000000	101.726753	154.7686
350.000000	101.702682	154.6866
355.000000	101.683334	154.6198
360.000000	101.665604	154.5823
365.000000	101.646683	154.5592
370.000000	101.630081	154.5648
375.000000	101.615669	154.5725
382.000000	101.577950	154.5901
387.000000	101.557106	154.6158
395.000000	101.526573	154.5771
400.000000	101.504890	154.5815
406.000000	101.479210	154.5919
412.000000	101.449020	154.6362
418.000000	101.420120	154.7441
425.000000	101.386078	154.8011
431.000000	101.356766	154.7546
437.000000	101.362167	154.8240
444.000000	101.328171	154.9874
450.000000	101.362976	154.8310
455.000000	101.335327	154.6606
462.000000	101.603439	155.6442
468.000000	100.878029	153.3875
475.000000	101.927925	153.6714
482.000000	101.498352	148.4962
487.000000	101.048981	148.5224
494.000000	100.754585	150.2103
500.000000	100.699287	151.3644
508.000000	100.692398	152.2367
515.000000	100.687927	152.7140
522.000000	100.682259	153.1052
530.000000	100.675163	153.4073
538.000000	100.651840	153.6284
545.000000	100.640350	153.6079
552.000000	100.625839	153.5815
560.000000	100.631729	152.9903
570.000000	100.668472	152.2720
580.000000	99.987228	147.0964
590.000000	99.695099	154.7381
600.000000	99.969208	155.8335
608.000000	100.052399	156.0644
615.000000	100.085526	156.1376
622.000000	100.091537	156.1349
630.000000	100.095444	156.1510
640.000000	100.092812	156.1494
650.000000	100.085533	156.1684
660.000000	100.074623	156.1473
670.000000	100.067032	156.1360
680.000000	100.056091	156.1550
690.000000	100.044937	156.1141
700.000000	100.028656	156.1419
710.000000	100.015251	156.1279
720.000000	99.998581	156.0970
730.000000	99.977150	156.0738
740.000000	99.954193	156.1469
750.000000	99.934708	156.3001
762.000000	99.925163	156.5264
775.000000	99.911865	156.9288
788.000000	99.884773	157.3362
800.000000	99.863358	157.7138
812.000000	99.846573	158.0588
825.000000	99.830627	158.5409
838.000000	99.822678	158.9697
850.000000	99.817596	159.2392
862.000000	99.798073	159.4816
875.000000	99.760880	159.6888
885.000000	99.741463	159.9055
900.000000	99.751984	160.3717
912.000000	99.775101	160.8186
925.000000	99.792908	161.1763
938.000000	99.764328	161.6052
950.000000	99.771538	161.7022
962.000000	99.778603	161.8432
975.000000	99.803329	162.0828
988.000000	99.823456	162.2592
1000.000000	99.838989	162.3957
1015.000000	99.876686	162.5472
1030.000000	99.909302	162.7164
1044.000000	99.947784	162.8568
1060.000000	99.993576	162.9746
1075.000000	100.045479	163.0222
1090.000000	100.097252	163.1330
1106.000000	100.156830	163.0975
1120.000000	100.197159	163.0500
1138.000000	100.251091	163.1071
1150.000000	100.298492	163.2564
1172.000000	100.398590	163.5158
1180.000000	100.425354	163.7136
1206.000000	100.529678	164.1439
1220.000000	100.582718	164.2285
1241.000000	100.633713	164.0797
1250.000000	100.640686	163.9157
1265.000000	100.670563	163.7598
1280.000000	100.716309	163.7429
1315.000000	100.821228	164.1219
1320.000000	100.831276	164.1818
1340.000000	100.867599	164.3923
1360.000000	100.907982	164.6345
1380.000000	100.945389	164.9314
1400.000000	100.975830	165.1401
1430.000000	101.033287	165.6474
1450.000000	101.079208	165.8685
1475.000000	101.106071	165.7631
1500.000000	101.111755	165.5416
1525.000000	101.161026	165.7667
1550.000000	101.223831	166.1978
1575.000000	101.261383	166.8170
1600.000000	101.342331	167.3030
1625.000000	101.396172	167.5680
1650.000000	101.426918	167.5184
1675.000000	101.479233	167.4684
1700.000000	101.543221	167.7920
1725.000000	101.649292	168.4001
1750.000000	101.741020	168.7445
1775.000000	101.797668	168.8127
1800.000000	101.865936	168.8879
1825.000000	101.976646	169.2766
1850.000000	102.107941	169.8191
1875.000000	102.214050	170.0123
1900.000000	102.298050	170.0072
1925.000000	102.407333	169.6725
1950.000000	102.535721	169.4177
1975.000000	102.649368	169.0335
2000.000000	102.769318	168.6427
2030.000000	102.927109	168.1251
2060.000000	103.085991	167.5053
2090.000000	103.240433	166.8215
2120.000000	103.393982	166.0302
2140.000000	103.491653	165.4245
2180.000000	103.705338	164.0620
2200.000000	103.784874	163.3932
2240.000000	103.969055	162.4055
2270.000000	104.113945	161.9088
2300.000000	104.234543	161.4031
2330.000000	104.332253	160.7484
2360.000000	104.429626	160.1275
2400.000000	104.508194	159.2861
2430.000000	104.567085	158.6682
2470.000000	104.598656	157.8208
2500.000000	104.614212	157.2516
2540.000000	104.619003	156.7682
2580.000000	104.629784	155.8337
2620.000000	104.575897	154.6114
2650.000000	104.534729	153.4907
2690.000000	104.492188	152.5595
2720.000000	104.509674	152.3773
2760.000000	104.512444	152.0130
2800.000000	104.476387	150.9839
2850.000000	104.460083	149.5025
2900.000000	104.448700	148.0058
2950.000000	104.443176	146.5099
3000.000000	104.417313	144.8985
3040.000000	104.403717	143.6078
3070.000000	104.379135	142.6463
3110.000000	104.346664	141.2220
3150.000000	104.299583	139.9397
3200.000000	104.232346	138.2149
3250.000000	104.127792	136.5908
3300.000000	104.018135	134.9955
3350.000000	103.904610	133.4539
3400.000000	103.725777	132.2587
3450.000000	103.613968	131.9337
3500.000000	103.461517	132.2679
3550.000000	103.315125	132.5640
3600.000000	103.180550	133.0030
3650.000000	103.053139	133.7321
3700.000000	102.947136	133.9207
3750.000000	102.792427	133.5172
3820.000000	102.652534	132.6639
3870.000000	102.566498	132.1735
3950.000000	102.389519	131.6629
4000.000000	102.353409	132.2571
4060.000000	102.279442	133.2719
4120.000000	102.214630	134.1697
4180.000000	102.150009	135.0458
4250.000000	102.068726	136.1062
4310.000000	101.997086	136.8426
4370.000000	101.974266	137.5734
4440.000000	101.853088	137.1335
4500.000000	101.761063	136.0605
4550.000000	101.628029	135.4086
4620.000000	101.476494	135.4463
4680.000000	101.307709	135.9562
4750.000000	100.807205	135.8090
4820.000000	100.730965	144.3640
4870.000000	101.160828	138.3686
4940.000000	101.854797	141.6963
5000.000000	101.775650	135.3130
5080.000000	101.430588	132.6110
5150.000000	101.176460	131.0507
5220.000000	100.962814	129.8797
5300.000000	100.719452	128.6345
5380.000000	100.481651	127.5302
5450.000000	100.247017	127.3227
5520.000000	100.103592	128.3453
5600.000000	99.880608	129.8671
5700.000000	99.599693	130.4591
5800.000000	99.315781	129.7375
5900.000000	99.049881	129.0723
6000.000000	98.757942	128.5453
6080.000000	98.540565	129.2765
6150.000000	98.399857	130.9807
6220.000000	98.208519	132.8322
6300.000000	98.047806	134.3297
6400.000000	97.750015	134.4047
