* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 6, 2022 6:51:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	108.286469	-176.1465
20.600000	108.266205	-176.6429
20.900000	108.243301	-177.0568
21.200001	108.224075	-177.4708
21.400000	108.213715	-177.7634
21.799999	108.195442	-178.3994
22.000000	108.185776	-178.7377
22.400000	108.163025	-179.4260
22.700001	108.142944	-179.9233
23.000000	108.121880	179.6093
23.299999	108.101501	179.1711
23.600000	108.082611	178.7516
24.000000	108.058945	178.1991
24.299999	108.040802	177.7816
24.700001	108.014542	177.2228
25.000000	107.993561	176.8089
25.400000	107.965302	176.2701
25.799999	107.938087	175.7448
26.200001	107.911644	175.2287
26.500000	107.891441	174.8477
26.900000	107.863174	174.3516
27.200001	107.840942	173.9893
27.600000	107.810196	173.5140
28.000000	107.777840	173.0392
28.500000	107.733261	172.4433
29.000000	107.683266	171.8721
29.500000	107.632141	171.3611
30.000000	107.587418	170.9099
30.400000	107.558327	170.5646
30.700001	107.539131	170.2985
31.100000	107.513893	169.9262
31.500000	107.485992	169.5411
32.000000	107.446014	169.0655
32.500000	107.402893	168.6130
33.000000	107.359779	168.1786
33.500000	107.317093	167.7509
34.000000	107.273781	167.3290
34.500000	107.229538	166.9200
35.000000	107.185097	166.5265
35.500000	107.140808	166.1441
36.000000	107.096230	165.7697
36.500000	107.051071	165.4049
37.000000	107.005859	165.0507
37.500000	106.961113	164.7039
38.200001	106.898666	164.2275
38.700001	106.853722	163.9007
39.500000	106.782440	163.4110
40.000000	106.738396	163.1166
40.599998	106.684448	162.7654
41.200001	106.629074	162.4199
41.799999	106.574409	162.0818
42.500000	106.512779	161.6938
43.099998	106.460548	161.3782
43.700001	106.408844	161.0897
44.400002	106.348854	160.7644
45.000000	106.294373	160.4763
45.500000	106.246292	160.2425
46.200001	106.181252	159.9462
46.799999	106.131966	159.7063
47.500000	106.076004	159.4282
48.200001	106.013840	159.1932
48.700001	105.967613	159.0626
49.400002	105.905418	158.8725
50.000000	105.851959	158.6512
50.799999	105.774261	158.3205
51.500000	105.709358	158.1181
52.200001	105.664276	158.0075
53.000000	105.632942	157.8451
53.799999	105.593903	157.5987
54.500000	105.550018	157.4043
55.200001	105.510475	157.2155
56.000000	105.462822	156.9071
57.000000	105.370514	156.5144
58.000000	105.284180	156.2867
59.000000	105.230980	155.8757
60.000000	105.132874	155.4609
60.799999	105.047432	155.5330
61.500000	105.007553	155.6175
62.200001	104.970406	155.4743
63.000000	104.904396	155.2698
64.000000	104.833916	155.1578
65.000000	104.761955	154.9809
66.000000	104.685913	154.9106
67.000000	104.630806	154.7400
68.000000	104.556160	154.5845
69.000000	104.491348	154.5456
70.000000	104.431946	154.3955
71.000000	104.372749	154.2894
72.000000	104.327232	154.1926
73.000000	104.265022	154.0433
74.000000	104.192871	153.9858
75.000000	104.137741	153.8705
76.199997	104.058777	153.6649
77.500000	103.984306	153.5785
78.800003	103.902344	153.4434
80.000000	103.832024	153.3989
81.199997	103.762558	153.3437
82.500000	103.689888	153.3205
83.800003	103.616196	153.2585
85.000000	103.558556	153.1875
86.199997	103.488731	153.1444
87.500000	103.418961	153.1160
88.500000	103.357536	153.0229
90.000000	103.286697	153.0168
91.199997	103.229080	152.9448
92.500000	103.148842	153.0016
93.800003	103.092331	153.0009
95.000000	103.033157	152.9254
96.199997	102.968964	152.9952
97.500000	102.906616	153.0069
98.800003	102.842178	153.0321
100.000000	102.792175	153.0334
101.500000	102.718430	153.1000
103.000000	102.654808	153.1432
104.400002	102.590996	153.2028
106.000000	102.517792	153.2621
107.500000	102.456116	153.2973
109.000000	102.392426	153.3495
110.599998	102.325188	153.4166
112.000000	102.269371	153.5339
113.800003	102.192108	153.5750
115.000000	102.153427	153.6422
117.199997	102.065109	153.7753
118.000000	102.032806	153.7279
120.599998	101.993515	153.9817
122.000000	101.882133	154.1270
124.099998	101.821045	154.1872
125.000000	101.789734	154.2813
126.500000	101.736443	154.3410
128.000000	101.686821	154.4341
131.500000	101.570702	154.6641
132.000000	101.555038	154.7002
134.000000	101.489174	154.8410
136.000000	101.426003	154.9857
138.000000	101.363556	155.1307
140.000000	101.302727	155.2915
143.000000	101.213745	155.5219
145.000000	101.157585	155.6899
147.500000	101.088562	155.9036
150.000000	101.020195	156.1171
152.500000	100.952354	156.3311
155.000000	100.890144	156.5611
157.500000	100.827408	156.7826
160.000000	100.767159	157.0105
162.500000	100.709099	157.2438
165.000000	100.654617	157.4692
167.500000	100.599953	157.6797
170.000000	100.548409	157.8901
172.500000	100.494064	158.1223
175.000000	100.442123	158.3341
177.500000	100.394676	158.5507
180.000000	100.338264	158.7567
182.500000	100.293396	158.9798
185.000000	100.246536	159.2031
187.500000	100.197403	159.4169
190.000000	100.153664	159.6451
192.500000	100.106133	159.8709
195.000000	100.062759	160.0929
197.500000	100.016754	160.3238
200.000000	99.972733	160.5520
203.000000	99.923347	160.8255
206.000000	99.873970	161.1160
209.000000	99.825195	161.4043
212.000000	99.779167	161.7036
214.000000	99.747383	161.9183
218.000000	99.692001	162.3439
220.000000	99.669785	162.5490
224.000000	99.626259	162.9626
227.000000	99.595413	163.2288
230.000000	99.568138	163.4762
233.000000	99.537292	163.7077
236.000000	99.504303	163.9250
240.000000	99.477615	164.4338
243.000000	99.426094	164.4517
247.000000	99.378220	164.7685
250.000000	99.345894	165.0113
254.000000	99.303238	165.3278
258.000000	99.260193	165.6447
262.000000	99.217957	165.9598
265.000000	99.186356	166.1934
