* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 22, 2022 5:25:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.875061	-121.7768
20.600000	97.946686	-122.5311
20.900000	98.012321	-123.1596
21.200001	98.081184	-123.7579
21.400000	98.130722	-124.1593
21.799999	98.236008	-125.0112
22.000000	98.289062	-125.4727
22.400000	98.388519	-126.4583
22.700001	98.451614	-127.2172
23.000000	98.503983	-127.9494
23.299999	98.548943	-128.6205
23.600000	98.592781	-129.2169
24.000000	98.661156	-129.9278
24.299999	98.723930	-130.4558
24.700001	98.819366	-131.2385
25.000000	98.891396	-131.9102
25.400000	98.976242	-132.8912
25.799999	99.042534	-133.8773
26.200001	99.096008	-134.7749
26.500000	99.134964	-135.3682
26.900000	99.192810	-136.0774
27.200001	99.241707	-136.5773
27.600000	99.310287	-137.2340
28.000000	99.377647	-137.8853
28.500000	99.457481	-138.6819
29.000000	99.535805	-139.4881
29.500000	99.611847	-140.3714
30.000000	99.676720	-141.3496
30.400000	99.717224	-142.1520
30.700001	99.743065	-142.7298
31.100000	99.777016	-143.4446
31.500000	99.815674	-144.1038
32.000000	99.871040	-144.8926
32.500000	99.927216	-145.6709
33.000000	99.978928	-146.4290
33.500000	100.028625	-147.1651
34.000000	100.079422	-147.9171
34.500000	100.127792	-148.7169
35.000000	100.167206	-149.5384
35.500000	100.197128	-150.3201
36.000000	100.224335	-151.0309
36.500000	100.255646	-151.6994
37.000000	100.291870	-152.3820
37.500000	100.328979	-153.1124
38.200001	100.374344	-154.1898
38.700001	100.400238	-154.9402
39.500000	100.437988	-156.0068
40.000000	100.465157	-156.6055
40.599998	100.499771	-157.3351
41.200001	100.528107	-158.1145
41.799999	100.548851	-158.9082
42.500000	100.574921	-159.8123
43.099998	100.601433	-160.5877
43.700001	100.621994	-161.3564
44.400002	100.633560	-162.1873
45.000000	100.641136	-162.8594
45.500000	100.649536	-163.4388
46.200001	100.661964	-164.2896
46.799999	100.671577	-164.9985
47.500000	100.681892	-165.7609
48.200001	100.685989	-166.4892
48.700001	100.683525	-167.0086
49.400002	100.683014	-167.7482
50.000000	100.696236	-168.4236
50.799999	100.724716	-169.4012
51.500000	100.734512	-170.2132
52.200001	100.728233	-170.8790
53.000000	100.723053	-171.6104
53.799999	100.720123	-172.4864
54.500000	100.715355	-173.2651
55.200001	100.712250	-173.9567
56.000000	100.709991	-174.6519
57.000000	100.719635	-175.6504
58.000000	100.668030	-176.8965
59.000000	100.582359	-177.1764
60.000000	100.653229	-177.6101
60.799999	100.641907	-178.9388
61.500000	100.557724	-179.7829
62.200001	100.537071	179.8372
63.000000	100.577423	179.1901
64.000000	100.551636	178.2303
65.000000	100.500801	177.4855
66.000000	100.457497	176.5892
67.000000	100.417786	175.8215
68.000000	100.391342	175.1154
69.000000	100.361473	174.3467
70.000000	100.324013	173.5920
71.000000	100.289780	172.9299
72.000000	100.251358	172.2422
73.000000	100.201859	171.5124
74.000000	100.146233	170.7716
75.000000	100.097031	170.1010
76.199997	100.054558	169.2870
77.500000	99.994194	168.4440
78.800003	99.922050	167.7485
80.000000	99.848724	166.9803
81.199997	99.783775	166.2711
82.500000	99.738861	165.4199
83.800003	99.657524	164.7628
85.000000	99.596718	164.0542
86.199997	99.516998	163.3391
87.500000	99.448013	162.7231
88.500000	99.388603	162.1597
90.000000	99.298996	161.2902
91.199997	99.215286	160.6946
92.500000	99.143127	160.1649
93.800003	99.062599	159.4308
95.000000	98.984627	158.9290
96.199997	98.895142	158.2454
