* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 18, 2022 4:35:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.488304	-120.7563
20.600000	97.577927	-121.5627
20.900000	97.654823	-122.2673
21.200001	97.727539	-122.9416
21.400000	97.776352	-123.3826
21.799999	97.877930	-124.2765
22.000000	97.930725	-124.7422
22.400000	98.037285	-125.7234
22.700001	98.114029	-126.4955
23.000000	98.185333	-127.2764
23.299999	98.250565	-128.0405
23.600000	98.310944	-128.7667
24.000000	98.388351	-129.6628
24.299999	98.447144	-130.2917
24.700001	98.528465	-131.1050
25.000000	98.590805	-131.7176
25.400000	98.673233	-132.5526
25.799999	98.752571	-133.4040
26.200001	98.828331	-134.2553
26.500000	98.883316	-134.8846
26.900000	98.954720	-135.7051
27.200001	99.006790	-136.3042
27.600000	99.073792	-137.0799
28.000000	99.137680	-137.8306
28.500000	99.213196	-138.7447
29.000000	99.283836	-139.6542
29.500000	99.349136	-140.5729
30.000000	99.409782	-141.4948
30.400000	99.456650	-142.2257
30.700001	99.491783	-142.7677
31.100000	99.539093	-143.4831
31.500000	99.586456	-144.1906
32.000000	99.644447	-145.0609
32.500000	99.700668	-145.9115
33.000000	99.755417	-146.7487
33.500000	99.807861	-147.5840
34.000000	99.856155	-148.4178
34.500000	99.899940	-149.2389
35.000000	99.941185	-150.0421
35.500000	99.981438	-150.8362
36.000000	100.020172	-151.6283
36.500000	100.056595	-152.4100
37.000000	100.091797	-153.1691
37.500000	100.127411	-153.9096
38.200001	100.175415	-154.9453
38.700001	100.204575	-155.6858
39.500000	100.244560	-156.8376
40.000000	100.270927	-157.5434
40.599998	100.304550	-158.4010
41.200001	100.335587	-159.2598
41.799999	100.362511	-160.0904
42.500000	100.391495	-161.0300
43.099998	100.413925	-161.8400
43.700001	100.433174	-162.6510
44.400002	100.455803	-163.5750
45.000000	100.477600	-164.3548
45.500000	100.494858	-165.0015
46.200001	100.513908	-165.8850
46.799999	100.527054	-166.6113
47.500000	100.541725	-167.4477
48.200001	100.552940	-168.3009
48.700001	100.556709	-168.9131
49.400002	100.558250	-169.7448
50.000000	100.561523	-170.4247
50.799999	100.572914	-171.3083
51.500000	100.584206	-172.0888
52.200001	100.588959	-172.8981
53.000000	100.579712	-173.8678
53.799999	100.559273	-174.7978
54.500000	100.549927	-175.5179
55.200001	100.550636	-176.2100
56.000000	100.545883	-176.9783
57.000000	100.546967	-177.9312
58.000000	100.531952	-179.0058
59.000000	100.500504	-179.5253
