* Measurement data measured by REW V5.20
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 14, 2021 2:46:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	104.163956	-179.9038
20.600000	104.142044	179.5227
20.900000	104.117500	179.0204
21.200001	104.099113	178.5249
21.400000	104.092155	178.1898
21.799999	104.089622	177.4991
22.000000	104.092216	177.1449
22.400000	104.099380	176.4310
22.700001	104.100807	175.9039
23.000000	104.094490	175.3903
23.299999	104.077209	174.8929
23.600000	104.046974	174.4158
24.000000	103.987465	173.8310
24.299999	103.934830	173.4516
24.700001	103.870514	173.0384
25.000000	103.839989	172.7708
25.400000	103.833710	172.3850
25.799999	103.858932	171.8607
26.200001	103.888268	171.1823
26.500000	103.895729	170.6426
26.900000	103.878769	170.0299
27.200001	103.852722	169.7178
27.600000	103.822403	169.4563
28.000000	103.812531	169.1759
28.500000	103.814606	168.4373
29.000000	103.777878	167.2155
29.500000	103.675468	165.9321
30.000000	103.551842	165.0948
30.400000	103.485107	164.7935
30.700001	103.465515	164.6620
31.100000	103.468483	164.4366
31.500000	103.474205	164.0629
32.000000	103.449768	163.4721
32.500000	103.393082	162.9174
33.000000	103.336960	162.4248
33.500000	103.298798	161.8835
34.000000	103.268669	161.2562
34.500000	103.233582	160.6432
35.000000	103.194069	160.1496
35.500000	103.156418	159.7646
36.000000	103.120003	159.3947
36.500000	103.077843	158.9703
37.000000	103.026108	158.4978
37.500000	102.970039	158.0293
38.200001	102.906021	157.4360
38.700001	102.876724	157.0203
39.500000	102.827866	156.3240
40.000000	102.781883	155.9619
40.599998	102.726768	155.6343
41.200001	102.684128	155.2320
41.799999	102.634041	154.6554
42.500000	102.557121	154.0511
43.099998	102.516159	153.7214
43.700001	102.503456	153.2985
44.400002	102.448708	152.6141
45.000000	102.358047	152.2260
45.500000	102.299812	152.0702
46.200001	102.268219	151.6608
46.799999	102.230736	151.0352
47.500000	102.145981	150.5074
48.200001	102.081940	150.3134
48.700001	102.056976	150.0773
49.400002	102.000916	149.4758
50.000000	101.925232	148.9784
50.799999	101.841667	148.5974
51.500000	101.809525	148.3306
52.200001	101.777992	147.8578
53.000000	101.676971	147.1542
53.799999	101.541199	146.8326
54.500000	101.502052	146.7961
55.200001	101.528603	146.3616
56.000000	101.496429	145.4330
57.000000	101.342094	144.9446
58.000000	101.253342	145.1578
59.000000	101.220764	144.8801
60.000000	101.100151	144.0168
60.799999	100.951866	143.6225
61.500000	100.883232	143.5895
62.200001	100.877449	143.3987
63.000000	100.851135	142.9616
64.000000	100.774796	142.6514
65.000000	100.691444	142.1700
66.000000	100.545700	141.7399
67.000000	100.442245	141.6882
68.000000	100.379471	141.5037
69.000000	100.321777	141.2316
70.000000	100.223083	140.7397
71.000000	100.099876	140.5298
72.000000	100.046379	140.2847
73.000000	99.947754	140.1498
74.000000	99.849739	140.4168
75.000000	99.719315	140.2866
76.199997	99.623787	141.0120
77.500000	99.689926	141.4743
78.800003	99.645302	141.8652
80.000000	99.703903	141.5170
81.199997	99.782570	141.2759
82.500000	99.875786	140.4251
83.800003	99.780205	138.7684
85.000000	99.679077	138.5787
86.199997	99.627747	137.8863
87.500000	99.509171	137.5851
88.500000	99.491562	137.2623
90.000000	99.391769	136.6653
91.199997	99.246742	135.8638
92.500000	99.158379	136.1959
93.800003	99.139694	135.7892
95.000000	99.021545	135.7457
96.199997	98.999176	135.6306
97.500000	98.944939	134.8615
98.800003	98.824821	134.6573
100.000000	98.771782	134.7560
101.500000	98.680588	134.1173
103.000000	98.607178	133.9261
104.400002	98.528290	133.7932
106.000000	98.459892	133.4458
107.500000	98.379074	133.2186
109.000000	98.299652	132.9610
110.599998	98.215134	132.6929
112.000000	98.147720	132.5570
113.800003	98.060860	132.3097
115.000000	98.000557	132.1436
117.199997	97.899826	131.8806
118.000000	97.862198	131.8075
120.599998	97.739853	131.4964
122.000000	97.675507	131.3639
124.099998	97.575508	131.1931
125.000000	97.535515	131.1055
126.500000	97.473595	130.9677
128.000000	97.404968	130.8502
131.500000	97.258667	130.5893
132.000000	97.236794	130.5746
134.000000	97.154106	130.4130
136.000000	97.072174	130.3075
138.000000	96.993187	130.1878
140.000000	96.914490	130.1469
143.000000	96.804657	130.0752
145.000000	96.735741	130.0190
147.500000	96.658157	130.0035
150.000000	96.585457	129.9244
152.500000	96.516029	129.8353
155.000000	96.440559	129.7320
157.500000	96.374596	129.6266
160.000000	96.300163	129.5668
162.500000	96.228760	129.5168
165.000000	96.160629	129.4676
167.500000	96.094589	129.4486
170.000000	96.033875	129.4560
172.500000	95.976357	129.4745
175.000000	95.920204	129.4670
177.500000	95.874443	129.5108
180.000000	95.838081	129.4788
182.500000	95.798409	129.5410
185.000000	95.770470	129.5341
187.500000	95.738037	129.4583
190.000000	95.710777	129.3681
192.500000	95.681229	129.2690
195.000000	95.646057	129.1476
197.500000	95.611008	129.0255
200.000000	95.576675	128.9193
203.000000	95.532875	128.7791
206.000000	95.493797	128.6522
209.000000	95.450142	128.5196
212.000000	95.410042	128.3920
214.000000	95.383743	128.3231
218.000000	95.328094	128.1478
220.000000	95.299194	128.0638
224.000000	95.245300	127.9629
227.000000	95.207344	127.8409
230.000000	95.167534	127.7613
233.000000	95.128952	127.6958
236.000000	95.094345	127.6326
240.000000	95.048256	127.5355
243.000000	95.014206	127.4912
247.000000	94.975441	127.4343
250.000000	94.945374	127.3850
254.000000	94.909065	127.3376
258.000000	94.875175	127.2856
262.000000	94.846916	127.2639
265.000000	94.823944	127.2066
269.000000	94.800323	127.1477
272.000000	94.777893	127.1390
276.000000	94.757919	127.1055
280.000000	94.735809	127.0447
285.000000	94.712486	126.9977
290.000000	94.689545	126.9379
295.000000	94.673409	126.8942
300.000000	94.656479	126.8668
304.000000	94.647232	126.8117
307.000000	94.639771	126.7834
311.000000	94.632309	126.7393
315.000000	94.625061	126.6977
320.000000	94.617821	126.6493
325.000000	94.614700	126.6088
330.000000	94.613319	126.5506
335.000000	94.612724	126.5065
340.000000	94.612305	126.4272
345.000000	94.617081	126.3813
350.000000	94.619751	126.3323
355.000000	94.625443	126.2810
360.000000	94.633041	126.2095
365.000000	94.640854	126.1541
370.000000	94.649109	126.1113
375.000000	94.662376	126.0360
382.000000	94.680473	125.9464
387.000000	94.694710	125.8610
395.000000	94.714409	125.7497
400.000000	94.734268	125.6801
406.000000	94.754196	125.5927
412.000000	94.776825	125.5236
418.000000	94.798645	125.4466
425.000000	94.826500	125.3361
431.000000	94.852409	125.2390
437.000000	94.881180	125.1454
444.000000	94.907440	125.0394
450.000000	94.934464	124.9307
455.000000	94.956543	124.8443
462.000000	94.989098	124.7282
468.000000	95.016922	124.6288
475.000000	95.049324	124.5144
482.000000	95.086853	124.3849
487.000000	95.111893	124.2863
494.000000	95.144913	124.1776
500.000000	95.177124	124.0672
508.000000	95.217560	123.9233
515.000000	95.253555	123.8091
522.000000	95.287971	123.6920
530.000000	95.328156	123.5437
538.000000	95.372307	123.4143
545.000000	95.406509	123.2899
552.000000	95.441566	123.1524
560.000000	95.478912	123.0350
570.000000	95.527969	122.8699
580.000000	95.576286	122.7107
590.000000	95.623444	122.5382
600.000000	95.670250	122.3916
608.000000	95.703377	122.2677
615.000000	95.735687	122.1572
622.000000	95.768303	122.0612
630.000000	95.802681	121.9488
640.000000	95.841560	121.8110
650.000000	95.882896	121.6848
660.000000	95.920204	121.5841
670.000000	95.956184	121.4717
680.000000	95.990715	121.3422
690.000000	96.026077	121.2362
700.000000	96.059395	121.1523
710.000000	96.089935	121.0724
720.000000	96.114594	120.9892
730.000000	96.139618	120.9096
740.000000	96.155136	120.8885
750.000000	96.171852	120.9326
762.000000	96.203773	121.0236
775.000000	96.251205	121.0902
788.000000	96.288017	121.1054
800.000000	96.322380	121.1097
812.000000	96.345398	121.1367
825.000000	96.369080	121.1974
838.000000	96.389053	121.3218
850.000000	96.410057	121.4678
862.000000	96.429527	121.6239
875.000000	96.452293	121.8032
885.000000	96.468506	121.9832
900.000000	96.495300	122.2397
912.000000	96.514389	122.4879
925.000000	96.538994	122.7631
938.000000	96.564644	123.0503
950.000000	96.585587	123.3505
962.000000	96.605530	123.6663
975.000000	96.637794	124.0474
988.000000	96.674736	124.4560
1000.000000	96.719193	124.8085
1015.000000	96.778938	125.1823
1030.000000	96.832626	125.4949
1044.000000	96.878654	125.7477
1060.000000	96.924210	126.0631
1075.000000	96.967491	126.3440
1090.000000	97.003967	126.6508
1106.000000	97.041389	126.9598
1120.000000	97.074471	127.2401
1138.000000	97.109772	127.5915
1150.000000	97.135788	127.8274
1172.000000	97.174843	128.2455
1180.000000	97.187759	128.4116
1206.000000	97.222549	128.9055
1220.000000	97.235672	129.1688
1241.000000	97.246796	129.6238
1250.000000	97.252319	129.8148
1265.000000	97.259033	130.1480
1280.000000	97.259903	130.4744
1315.000000	97.251328	131.3087
1320.000000	97.248695	131.4332
1340.000000	97.236229	131.9493
1360.000000	97.213493	132.5500
1380.000000	97.188721	133.1016
1400.000000	97.163757	133.7470
1430.000000	97.120522	134.7906
1450.000000	97.077332	135.5547
1475.000000	97.024887	136.5782
1500.000000	96.964622	137.6843
1525.000000	96.897194	138.8823
1550.000000	96.830093	140.3759
1575.000000	96.774498	141.9882
1600.000000	96.753815	143.7130
1625.000000	96.755104	145.6155
1650.000000	96.800079	147.5115
1675.000000	96.888016	149.3335
1700.000000	97.009796	150.8173
1725.000000	97.140755	151.9598
1750.000000	97.241043	152.8076
1775.000000	97.288055	153.5036
1800.000000	97.290001	154.2178
1825.000000	97.264709	155.0977
1850.000000	97.211830	156.2544
1875.000000	97.151245	157.7096
1900.000000	97.110497	159.4101
1925.000000	97.091553	161.3098
1950.000000	97.120216	163.4947
1975.000000	97.221436	165.7877
2000.000000	97.397354	167.8604
2030.000000	97.677429	169.5465
2060.000000	97.922455	170.4753
2090.000000	98.088509	171.0992
2120.000000	98.190697	171.7302
2140.000000	98.242844	172.1697
2180.000000	98.305161	173.2028
2200.000000	98.328033	173.8889
2240.000000	98.380669	175.4429
2270.000000	98.447044	176.6438
2300.000000	98.534286	177.7305
2330.000000	98.617935	178.7134
2360.000000	98.689903	179.6235
2400.000000	98.772453	-179.1756
2430.000000	98.829613	-178.2817
2470.000000	98.905380	-177.0650
2500.000000	98.966797	-176.1420
2540.000000	99.058929	-174.9927
2580.000000	99.158409	-173.9786
2620.000000	99.251373	-173.0848
2650.000000	99.312943	-172.4886
2690.000000	99.384323	-171.7759
2720.000000	99.433113	-171.2800
2760.000000	99.491096	-170.6559
2800.000000	99.545166	-170.0644
2850.000000	99.608902	-169.4551
2900.000000	99.670349	-169.0614
2950.000000	99.711800	-168.8376
3000.000000	99.724648	-168.7762
3040.000000	99.717743	-168.8398
3070.000000	99.697678	-168.9078
3110.000000	99.655174	-169.0887
3150.000000	99.589584	-169.2833
3200.000000	99.480019	-169.5464
3250.000000	99.341499	-169.7719
3300.000000	99.182831	-170.0005
3350.000000	98.990898	-170.2410
3400.000000	98.754837	-170.4080
3450.000000	98.481346	-170.2545
3500.000000	98.216484	-169.6999
3550.000000	97.980202	-168.9033
3600.000000	97.786110	-168.0448
3650.000000	97.619095	-167.1972
3700.000000	97.472198	-166.3905
3750.000000	97.340820	-165.5683
3820.000000	97.198456	-164.4547
3870.000000	97.127609	-163.7412
3950.000000	97.063286	-162.7345
4000.000000	97.046677	-162.2650
4060.000000	97.051720	-161.8547
4120.000000	97.078957	-161.7858
4180.000000	97.031845	-162.3088
4250.000000	96.789711	-160.4916
4310.000000	97.006111	-158.9223
4370.000000	97.217957	-158.2219
4440.000000	97.476723	-157.5630
4500.000000	97.736237	-157.0313
4550.000000	97.987816	-156.5991
4620.000000	98.409248	-156.1180
4680.000000	98.822914	-155.8926
4750.000000	99.376366	-156.0410
4820.000000	99.983139	-156.8197
4870.000000	100.423775	-157.8748
4940.000000	100.988068	-160.1035
5000.000000	101.365158	-162.5320
5080.000000	101.668312	-165.7389
5150.000000	101.783783	-167.8452
5220.000000	101.850449	-169.0466
5300.000000	101.939392	-169.5061
5380.000000	102.078186	-169.3946
5450.000000	102.237328	-169.0786
5520.000000	102.418533	-168.7158
5600.000000	102.633904	-168.2760
5700.000000	102.875648	-167.6879
5800.000000	103.081909	-166.9769
5900.000000	103.252960	-166.0252
6000.000000	103.388321	-164.7769
6080.000000	103.477859	-163.5475
6150.000000	103.556427	-162.2821
6220.000000	103.635834	-160.8882
6300.000000	103.724899	-159.1409
6400.000000	103.839752	-156.7952
6500.000000	103.963501	-154.3747
6600.000000	104.095551	-152.0038
6700.000000	104.215942	-149.7540
6800.000000	104.304344	-147.6652
6900.000000	104.345100	-145.7313
7000.000000	104.325485	-143.8887
7100.000000	104.234238	-141.9644
7200.000000	104.073990	-139.8257
7300.000000	103.868881	-137.4491
7400.000000	103.623177	-134.8687
7500.000000	103.329521	-131.9396
7620.000000	102.940140	-127.9920
7750.000000	102.501564	-123.1710
7880.000000	102.048752	-117.8827
8000.000000	101.647797	-112.5335
8120.000000	101.280869	-106.8825
8250.000000	100.936737	-100.6799
8380.000000	100.642311	-94.6481
8500.000000	100.380592	-89.4357
