* Measurement data measured by REW V5.20.4
* Source: /Users/szymonkulak/Documents/Cracked Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Dec 13, 2021 4:00:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/szymonkulak/Documents/Cracked Target.txt Format: Comma/Tab/Space delimited data 28 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: Cracked Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.510
20.299999	69.518
20.600000	69.530
20.900000	69.544
21.200001	69.557
21.400000	69.566
21.799999	69.584
22.000000	69.593
22.400000	69.609
22.700001	69.622
23.000000	69.634
23.299999	69.645
23.600000	69.656
24.000000	69.670
24.299999	69.681
24.700001	69.694
25.000000	69.703
25.400000	69.715
25.799999	69.726
26.200001	69.736
26.500000	69.744
26.900000	69.753
27.200001	69.759
27.600000	69.767
28.000000	69.774
28.500000	69.782
29.000000	69.788
29.500000	69.793
30.000000	69.794
30.400000	69.792
30.700001	69.789
31.100000	69.783
31.500000	69.775
32.000000	69.765
32.500000	69.753
33.000000	69.740
33.500000	69.726
34.000000	69.711
34.500000	69.696
35.000000	69.680
35.500000	69.663
36.000000	69.646
36.500000	69.628
37.000000	69.610
37.500000	69.592
38.200001	69.566
38.700001	69.548
39.500000	69.519
40.000000	69.502
40.599998	69.481
41.200001	69.462
41.799999	69.443
42.500000	69.421
43.099998	69.402
43.700001	69.383
44.400002	69.362
45.000000	69.343
45.500000	69.328
46.200001	69.307
46.799999	69.290
47.500000	69.269
48.200001	69.250
48.700001	69.236
49.400002	69.219
50.000000	69.205
50.799999	69.191
51.500000	69.180
52.200001	69.169
53.000000	69.158
53.799999	69.145
54.500000	69.133
55.200001	69.121
56.000000	69.105
57.000000	69.082
58.000000	69.057
59.000000	69.027
60.000000	68.992
60.799999	68.959
61.500000	68.927
62.200001	68.895
63.000000	68.856
64.000000	68.807
65.000000	68.758
66.000000	68.708
67.000000	68.657
68.000000	68.607
69.000000	68.556
70.000000	68.505
71.000000	68.454
72.000000	68.403
73.000000	68.352
74.000000	68.301
75.000000	68.251
76.199997	68.190
77.500000	68.125
78.800003	68.061
80.000000	68.003
81.199997	67.947
82.500000	67.887
83.800003	67.828
85.000000	67.774
86.199997	67.720
87.500000	67.662
88.500000	67.617
90.000000	67.550
91.199997	67.496
92.500000	67.438
93.800003	67.379
95.000000	67.325
96.199997	67.271
97.500000	67.212
98.800003	67.153
100.000000	67.098
101.500000	67.027
103.000000	66.956
104.400002	66.890
106.000000	66.815
107.500000	66.745
109.000000	66.676
110.599998	66.604
112.000000	66.541
113.800003	66.462
115.000000	66.409
117.199997	66.314
118.000000	66.280
120.599998	66.171
122.000000	66.114
124.099998	66.028
125.000000	65.992
126.500000	65.933
128.000000	65.874
131.500000	65.741
132.000000	65.722
134.000000	65.648
136.000000	65.575
138.000000	65.503
140.000000	65.433
143.000000	65.330
145.000000	65.264
147.500000	65.184
150.000000	65.109
152.500000	65.042
155.000000	64.980
157.500000	64.920
160.000000	64.863
162.500000	64.807
165.000000	64.752
167.500000	64.698
170.000000	64.644
172.500000	64.591
175.000000	64.538
177.500000	64.485
180.000000	64.433
182.500000	64.380
185.000000	64.327
187.500000	64.273
190.000000	64.220
192.500000	64.165
195.000000	64.109
197.500000	64.051
200.000000	63.989
203.000000	63.908
206.000000	63.824
209.000000	63.737
