* Measurement data measured by REW V5,19
* Source: A:\OneDrive\Audiophile\Graphs\Targets\Resolution\Nytt textdokument.txt
* Format: Comma/Tab/Space delimited data
* Dated: 2021-okt-27 19:17:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from A:\OneDrive\Audiophile\Graphs\Targets\Resolution\Nytt textdokument.txt Format: Comma/Tab/Space delimited data 26 values loaded, 20 Hz to 20 000 Hz
* Measurement: Nytt textdokument.txt
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000	69.994	0
20.291	69.994	0
20.586	69.991	0
20.885	69.988	0
21.189	69.984	0
21.497	69.980	0
21.810	69.975	0
22.127	69.971	0
22.449	69.966	0
22.776	69.961	0
23.107	69.956	0
23.443	69.951	0
23.784	69.946	0
24.130	69.940	0
24.481	69.934	0
24.837	69.927	0
25.198	69.921	0
25.565	69.914	0
25.937	69.906	0
26.314	69.898	0
26.697	69.890	0
27.085	69.881	0
27.479	69.871	0
27.879	69.861	0
28.284	69.850	0
28.696	69.839	0
29.113	69.826	0
29.537	69.812	0
29.966	69.797	0
30.402	69.780	0
30.844	69.761	0
31.293	69.741	0
31.748	69.719	0
32.210	69.697	0
32.678	69.673	0
33.154	69.648	0
33.636	69.621	0
34.125	69.594	0
34.621	69.565	0
35.125	69.535	0
35.636	69.503	0
36.154	69.470	0
36.680	69.436	0
37.214	69.400	0
37.755	69.363	0
38.304	69.324	0
38.861	69.284	0
39.427	69.242	0
40.000	69.198	0
40.582	69.153	0
41.172	69.107	0
41.771	69.058	0
42.379	69.008	0
42.995	68.956	0
43.620	68.902	0
44.255	68.847	0
44.898	68.789	0
45.552	68.730	0
46.214	68.669	0
46.886	68.605	0
47.568	68.540	0
48.260	68.472	0
48.962	68.401	0
49.674	68.327	0
50.397	68.250	0
51.130	68.168	0
51.874	68.084	0
52.628	67.998	0
53.394	67.910	0
54.170	67.821	0
54.958	67.732	0
55.758	67.643	0
56.569	67.555	0
57.391	67.468	0
58.226	67.385	0
59.073	67.305	0
59.932	67.230	0
60.804	67.160	0
61.688	67.095	0
62.586	67.033	0
63.496	66.973	0
64.420	66.915	0
65.357	66.856	0
66.307	66.798	0
67.272	66.740	0
68.250	66.682	0
69.243	66.623	0
70.250	66.564	0
71.272	66.505	0
72.309	66.445	0
73.360	66.385	0
74.427	66.324	0
75.510	66.261	0
76.608	66.196	0
77.723	66.129	0
78.853	66.057	0
80.000	65.980	0
81.164	65.897	0
82.344	65.807	0
83.542	65.713	0
84.757	65.616	0
85.990	65.517	0
87.241	65.417	0
88.510	65.316	0
89.797	65.215	0
91.103	65.115	0
92.428	65.016	0
93.773	64.918	0
95.137	64.823	0
96.520	64.731	0
97.924	64.644	0
99.349	64.563	0
100.794	64.488	0
102.260	64.420	0
103.747	64.356	0
105.256	64.294	0
106.787	64.235	0
108.340	64.176	0
109.916	64.117	0
111.515	64.059	0
113.137	64.001	0
114.783	63.944	0
116.452	63.886	0
118.146	63.829	0
119.865	63.772	0
121.608	63.715	0
123.377	63.658	0
125.171	63.602	0
126.992	63.545	0
128.839	63.489	0
130.713	63.433	0
132.615	63.377	0
134.543	63.322	0
136.500	63.266	0
138.486	63.210	0
140.500	63.154	0
142.544	63.098	0
144.617	63.041	0
146.721	62.983	0
148.855	62.923	0
151.020	62.860	0
153.217	62.794	0
155.445	62.726	0
157.706	62.656	0
160.000	62.586	0
162.327	62.515	0
164.688	62.445	0
167.084	62.374	0
169.514	62.305	0
171.980	62.235	0
174.481	62.167	0
177.019	62.100	0
179.594	62.034	0
182.206	61.970	0
184.856	61.907	0
187.545	61.847	0
190.273	61.789	0
193.041	61.734	0
195.849	61.683	0
198.697	61.637	0
201.587	61.595	0
204.520	61.557	0
207.494	61.522	0
210.512	61.490	0
213.574	61.459	0
216.681	61.430	0
219.833	61.401	0
223.030	61.373	0
226.274	61.346	0
229.565	61.319	0
232.905	61.294	0
236.292	61.269	0
239.729	61.245	0
243.216	61.223	0
246.754	61.201	0
250.343	61.180	0
253.984	61.160	0
257.678	61.141	0
261.426	61.123	0
265.229	61.106	0
269.087	61.090	0
273.001	61.075	0
276.972	61.061	0
281.000	61.048	0
285.088	61.036	0
289.234	61.025	0
293.441	61.015	0
297.710	61.006	0
302.040	60.998	0
306.433	60.990	0
310.890	60.984	0
315.412	60.978	0
320.000	60.973	0
324.655	60.970	0
329.377	60.967	0
334.168	60.965	0
339.028	60.964	0
343.959	60.963	0
348.962	60.964	0
354.038	60.965	0
359.188	60.968	0
364.412	60.970	0
369.713	60.974	0
375.090	60.978	0
380.546	60.982	0
386.081	60.986	0
391.697	60.990	0
397.395	60.994	0
403.175	60.997	0
409.039	60.998	0
414.989	60.999	0
421.025	61.000	0
427.149	61.000	0
433.362	61.000	0
439.665	61.000	0
446.060	61.000	0
452.548	61.000	0
459.131	61.000	0
465.809	61.000	0
472.584	61.000	0
479.458	61.000	0
486.432	61.000	0
493.507	61.000	0
500.686	61.000	0
507.968	61.000	0
515.357	61.000	0
522.853	61.000	0
530.458	61.000	0
538.174	61.000	0
546.002	61.000	0
553.943	61.000	0
562.001	61.000	0
570.175	61.000	0
578.469	61.000	0
586.883	60.999	0
595.419	60.998	0
604.080	60.997	0
612.866	60.995	0
621.780	60.993	0
630.824	60.990	0
640.000	60.987	0
649.309	60.985	0
658.753	60.983	0
668.335	60.981	0
678.056	60.979	0
687.919	60.977	0
697.925	60.976	0
708.076	60.976	0
718.376	60.976	0
728.825	60.977	0
739.426	60.978	0
750.181	60.980	0
761.093	60.983	0
772.163	60.987	0
783.394	60.992	0
794.789	60.997	0
806.349	61.004	0
818.078	61.011	0
829.977	61.019	0
842.050	61.029	0
854.297	61.041	0
866.724	61.056	0
879.330	61.074	0
892.120	61.094	0
905.097	61.119	0
918.262	61.147	0
931.618	61.180	0
945.169	61.218	0
958.917	61.261	0
972.864	61.311	0
987.015	61.368	0
1001.371	61.433	0
1015.937	61.505	0
1030.714	61.583	0
1045.706	61.667	0
1060.916	61.753	0
1076.347	61.843	0
1092.003	61.934	0
1107.887	62.029	0
1124.001	62.125	0
1140.350	62.224	0
1156.937	62.325	0
1173.765	62.429	0
1190.838	62.534	0
1208.159	62.642	0
1225.732	62.752	0
1243.561	62.865	0
1261.649	62.980	0
1280.000	63.096	0
1298.618	63.216	0
1317.507	63.337	0
1336.670	63.460	0
1356.113	63.586	0
1375.838	63.713	0
1395.850	63.842	0
1416.153	63.973	0
1436.751	64.106	0
1457.649	64.240	0
1478.851	64.376	0
1500.362	64.512	0
1522.185	64.649	0
1544.326	64.787	0
1566.789	64.925	0
1589.578	65.065	0
1612.699	65.205	0
1636.156	65.346	0
1659.955	65.488	0
1684.099	65.631	0
1708.595	65.773	0
1733.447	65.916	0
1758.661	66.060	0
1784.241	66.203	0
1810.193	66.345	0
1836.523	66.488	0
1863.236	66.629	0
1890.338	66.770	0
1917.833	66.908	0
1945.729	67.045	0
1974.030	67.179	0
2002.743	67.309	0
2031.873	67.435	0
2061.428	67.558	0
2091.412	67.677	0
2121.832	67.792	0
2152.695	67.903	0
2184.007	68.011	0
2215.774	68.114	0
2248.003	68.214	0
2280.701	68.309	0
2313.874	68.399	0
2347.530	68.483	0
2381.676	68.562	0
2416.318	68.635	0
2451.464	68.700	0
2487.122	68.757	0
2523.298	68.805	0
2560.000	68.844	0
2597.236	68.874	0
2635.014	68.897	0
2673.341	68.911	0
