* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Feb-2022 17:39:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 7Hz Eternal R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.788	-158.5762
20.299999	91.805	-159.0227
20.600000	91.822	-159.4667
20.900000	91.839	-159.9158
21.200001	91.854	-160.3744
21.400000	91.862	-160.6844
21.799999	91.874	-161.3044
22.000000	91.877	-161.6078
22.400000	91.880	-162.1869
22.700001	91.880	-162.5912
23.000000	91.882	-162.9734
23.299999	91.886	-163.3458
23.600000	91.892	-163.7200
24.000000	91.901	-164.2330
24.299999	91.907	-164.6258
24.700001	91.911	-165.1434
25.000000	91.912	-165.5143
25.400000	91.915	-165.9806
25.799999	91.920	-166.4284
26.200001	91.927	-166.8781
26.500000	91.931	-167.2201
26.900000	91.933	-167.6708
27.200001	91.932	-167.9914
27.600000	91.931	-168.3845
28.000000	91.931	-168.7467
28.500000	91.936	-169.1951
29.000000	91.941	-169.6708
29.500000	91.941	-170.1586
30.000000	91.936	-170.6230
30.400000	91.932	-170.9756
30.700001	91.930	-171.2392
31.100000	91.927	-171.6026
31.500000	91.923	-171.9789
32.000000	91.913	-172.4437
32.500000	91.901	-172.8753
33.000000	91.892	-173.2784
33.500000	91.887	-173.6800
34.000000	91.882	-174.0921
34.500000	91.876	-174.4996
35.000000	91.869	-174.8855
35.500000	91.863	-175.2506
36.000000	91.858	-175.6053
36.500000	91.853	-175.9540
37.000000	91.846	-176.2933
37.500000	91.839	-176.6224
38.200001	91.827	-177.0746
38.700001	91.817	-177.3952
39.500000	91.796	-177.8972
40.000000	91.780	-178.1987
40.599998	91.761	-178.5463
41.200001	91.743	-178.8840
41.799999	91.725	-179.2220
42.500000	91.705	-179.6201
43.099998	91.687	-179.9546
43.700001	91.671	179.7206
44.400002	91.655	179.3422
45.000000	91.640	179.0115
45.500000	91.627	178.7383
46.200001	91.607	178.3747
46.799999	91.590	178.0834
47.500000	91.571	177.7555
48.200001	91.552	177.4321
48.700001	91.538	177.2070
49.400002	91.517	176.9048
50.000000	91.501	176.6517
50.799999	91.479	176.3087
51.500000	91.458	176.0057
52.200001	91.435	175.7100
53.000000	91.408	175.3848
53.799999	91.381	175.0701
54.500000	91.358	174.8019
55.200001	91.335	174.5398
56.000000	91.308	174.2455
57.000000	91.275	173.8840
58.000000	91.242	173.5384
59.000000	91.209	173.2082
60.000000	91.177	172.8838
60.799999	91.152	172.6301
61.500000	91.129	172.4108
62.200001	91.106	172.1949
63.000000	91.078	171.9600
64.000000	91.044	171.6808
65.000000	91.011	171.3979
66.000000	90.976	171.1201
67.000000	90.940	170.8555
68.000000	90.905	170.5981
69.000000	90.871	170.3444
70.000000	90.837	170.0893
71.000000	90.802	169.8399
72.000000	90.767	169.6067
73.000000	90.732	169.3870
74.000000	90.699	169.1750
75.000000	90.665	168.9653
76.199997	90.624	168.7195
77.500000	90.578	168.4678
78.800003	90.532	168.2314
80.000000	90.492	168.0131
81.199997	90.451	167.7993
82.500000	90.407	167.5815
83.800003	90.364	167.3676
85.000000	90.323	167.1797
86.199997	90.282	167.0026
87.500000	90.237	166.8199
88.500000	90.203	166.6839
90.000000	90.154	166.4784
91.199997	90.114	166.3135
92.500000	90.070	166.1446
93.800003	90.027	165.9948
95.000000	89.989	165.8636
96.199997	89.950	165.7363
97.500000	89.907	165.6112
98.800003	89.866	165.4897
100.000000	89.828	165.3726
101.500000	89.779	165.2299
103.000000	89.731	165.1022
104.400002	89.687	164.9930
106.000000	89.638	164.8711
107.500000	89.591	164.7662
109.000000	89.543	164.6759
110.599998	89.495	164.5828
112.000000	89.455	164.4962
113.800003	89.403	164.3879
115.000000	89.369	164.3268
117.199997	89.305	164.2333
118.000000	89.282	164.2031
120.599998	89.205	164.1049
122.000000	89.164	164.0502
124.099998	89.105	163.9703
125.000000	89.080	163.9397
126.500000	89.039	163.8983
128.000000	88.998	163.8676
131.500000	88.901	163.8145
132.000000	88.887	163.8073
134.000000	88.831	163.7870
136.000000	88.779	163.7675
138.000000	88.729	163.7474
140.000000	88.677	163.7391
143.000000	88.600	163.7541
145.000000	88.549	163.7677
147.500000	88.485	163.7820
150.000000	88.422	163.8009
152.500000	88.361	163.8335
155.000000	88.299	163.8820
157.500000	88.236	163.9443
160.000000	88.171	164.0167
162.500000	88.108	164.0959
165.000000	88.046	164.1877
167.500000	87.982	164.3010
170.000000	87.917	164.4406
172.500000	87.852	164.6203
175.000000	87.788	164.8569
177.500000	87.728	165.1596
180.000000	87.676	165.5217
182.500000	87.640	165.9297
185.000000	87.624	166.3426
187.500000	87.627	166.6880
190.000000	87.639	166.8999
