* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 30-Mar-2022 22:26:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = LCD-XC R VSG to Crin B = LCD-XC R VSG B was scaled by 111.3 dB
* Measurement: LCD-XC R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	74.965
20.299999	75.029
20.600000	75.106
20.900000	75.198
21.200001	75.315
21.400000	75.410
21.799999	75.647
22.000000	75.784
22.400000	76.076
22.700001	76.285
23.000000	76.468
23.299999	76.613
23.600000	76.719
24.000000	76.809
24.299999	76.854
24.700001	76.907
25.000000	76.954
25.400000	77.030
25.799999	77.112
26.200001	77.179
26.500000	77.207
26.900000	77.204
27.200001	77.169
27.600000	77.090
28.000000	76.996
28.500000	76.907
29.000000	76.901
29.500000	76.992
30.000000	77.149
30.400000	77.288
30.700001	77.383
31.100000	77.481
31.500000	77.538
32.000000	77.548
32.500000	77.498
33.000000	77.400
33.500000	77.270
34.000000	77.129
34.500000	76.998
35.000000	76.894
35.500000	76.827
36.000000	76.796
36.500000	76.797
37.000000	76.826
37.500000	76.878
38.200001	76.977
38.700001	77.057
39.500000	77.195
40.000000	77.285
40.599998	77.398
41.200001	77.512
41.799999	77.625
42.500000	77.755
43.099998	77.860
43.700001	77.953
44.400002	78.035
45.000000	78.077
45.500000	78.091
46.200001	78.082
46.799999	78.054
47.500000	78.008
48.200001	77.955
48.700001	77.915
49.400002	77.855
50.000000	77.798
50.799999	77.714
51.500000	77.629
52.200001	77.532
53.000000	77.403
53.799999	77.260
54.500000	77.130
55.200001	77.002
56.000000	76.869
57.000000	76.741
58.000000	76.684
59.000000	76.717
60.000000	76.836
60.799999	76.978
61.500000	77.122
62.200001	77.276
63.000000	77.454
64.000000	77.666
65.000000	77.855
66.000000	78.010
67.000000	78.123
68.000000	78.195
69.000000	78.233
70.000000	78.246
71.000000	78.247
72.000000	78.250
73.000000	78.259
74.000000	78.273
75.000000	78.287
76.199997	78.293
77.500000	78.286
78.800003	78.277
80.000000	78.278
81.199997	78.295
82.500000	78.334
83.800003	78.381
85.000000	78.420
86.199997	78.448
87.500000	78.462
88.500000	78.462
90.000000	78.449
91.199997	78.431
92.500000	78.405
93.800003	78.375
95.000000	78.346
96.199997	78.315
97.500000	78.281
98.800003	78.247
100.000000	78.215
101.500000	78.173
103.000000	78.128
104.400002	78.085
106.000000	78.034
107.500000	77.987
109.000000	77.944
110.599998	77.909
112.000000	77.892
113.800003	77.887
115.000000	77.890
117.199997	77.888
118.000000	77.883
120.599998	77.850
122.000000	77.826
124.099998	77.788
125.000000	77.771
126.500000	77.743
128.000000	77.714
131.500000	77.651
132.000000	77.642
134.000000	77.610
136.000000	77.580
138.000000	77.551
140.000000	77.523
143.000000	77.485
145.000000	77.464
147.500000	77.441
150.000000	77.420
152.500000	77.401
155.000000	77.385
157.500000	77.377
160.000000	77.380
162.500000	77.391
165.000000	77.399
167.500000	77.397
170.000000	77.383
172.500000	77.360
175.000000	77.333
177.500000	77.303
180.000000	77.273
182.500000	77.242
185.000000	77.212
187.500000	77.182
190.000000	77.152
192.500000	77.123
195.000000	77.093
197.500000	77.066
200.000000	77.039
203.000000	77.011
206.000000	76.989
209.000000	76.974
212.000000	76.969
214.000000	76.972
218.000000	76.987
220.000000	76.998
224.000000	77.022
227.000000	77.041
230.000000	77.061
233.000000	77.082
236.000000	77.105
240.000000	77.137
243.000000	77.163
247.000000	77.199
250.000000	77.226
254.000000	77.256
258.000000	77.279
262.000000	77.294
265.000000	77.300
269.000000	77.304
272.000000	77.305
276.000000	77.302
280.000000	77.296
285.000000	77.285
290.000000	77.272
295.000000	77.261
300.000000	77.256
304.000000	77.261
307.000000	77.273
311.000000	77.301
315.000000	77.346
320.000000	77.429
325.000000	77.538
330.000000	77.669
335.000000	77.809
340.000000	77.950
345.000000	78.084
350.000000	78.205
355.000000	78.312
360.000000	78.404
365.000000	78.482
370.000000	78.545
375.000000	78.593
382.000000	78.639
387.000000	78.658
395.000000	78.672
400.000000	78.672
406.000000	78.666
412.000000	78.656
418.000000	78.643
425.000000	78.630
431.000000	78.623
437.000000	78.621
444.000000	78.628
450.000000	78.639
455.000000	78.652
462.000000	78.674
468.000000	78.696
475.000000	78.724
482.000000	78.752
487.000000	78.773
494.000000	78.804
500.000000	78.832
508.000000	78.873
515.000000	78.913
522.000000	78.957
530.000000	79.012
538.000000	79.073
545.000000	79.129
552.000000	79.187
560.000000	79.255
570.000000	79.341
580.000000	79.427
590.000000	79.511
600.000000	79.593
608.000000	79.655
615.000000	79.707
622.000000	79.757
630.000000	79.811
640.000000	79.874
650.000000	79.930
660.000000	79.979
670.000000	80.021
680.000000	80.060
690.000000	80.099
700.000000	80.142
710.000000	80.192
720.000000	80.248
730.000000	80.308
740.000000	80.367
750.000000	80.424
762.000000	80.486
775.000000	80.543
788.000000	80.588
800.000000	80.619
812.000000	80.642
825.000000	80.659
838.000000	80.670
850.000000	80.675
862.000000	80.672
875.000000	80.660
885.000000	80.645
900.000000	80.615
912.000000	80.586
925.000000	80.552
938.000000	80.516
950.000000	80.483
962.000000	80.455
975.000000	80.432
988.000000	80.422
1000.000000	80.431
1015.000000	80.482
1030.000000	80.596
1044.000000	80.768
1060.000000	81.033
1075.000000	81.325
1090.000000	81.629
1106.000000	81.933
1120.000000	82.159
1138.000000	82.379
1150.000000	82.484
1172.000000	82.617
1180.000000	82.657
1206.000000	82.808
1220.000000	82.936
1241.000000	83.213
1250.000000	83.351
1265.000000	83.583
1280.000000	83.795
1315.000000	84.161
1320.000000	84.198
1340.000000	84.310
1360.000000	84.366
1380.000000	84.382
1400.000000	84.386
1430.000000	84.426
1450.000000	84.492
1475.000000	84.610
1500.000000	84.764
1525.000000	84.989
1550.000000	85.318
1575.000000	85.695
1600.000000	85.997
1625.000000	86.130
1650.000000	86.117
1675.000000	86.088
1700.000000	86.175
1725.000000	86.384
1750.000000	86.613
1775.000000	86.771
1800.000000	86.847
1825.000000	86.912
1850.000000	87.065
1875.000000	87.343
1900.000000	87.696
1925.000000	88.052
1950.000000	88.376
1975.000000	88.671
2000.000000	88.950
2030.000000	89.270
2060.000000	89.565
2090.000000	89.809
2120.000000	89.969
2140.000000	90.016
2180.000000	89.955
2200.000000	89.851
2240.000000	89.533
2270.000000	89.244
2300.000000	88.975
2330.000000	88.781
2360.000000	88.683
2400.000000	88.658
2430.000000	88.668
2470.000000	88.684
2500.000000	88.697
2540.000000	88.707
2580.000000	88.677
2620.000000	88.584
2650.000000	88.473
2690.000000	88.280
2720.000000	88.105
2760.000000	87.837
2800.000000	87.557
2850.000000	87.335
2900.000000	87.467
2950.000000	87.972
3000.000000	88.610
3040.000000	89.052
3070.000000	89.299
3110.000000	89.503
3150.000000	89.569
3200.000000	89.470
3250.000000	89.163
3300.000000	88.638
3350.000000	87.904
3400.000000	86.996
3450.000000	85.973
3500.000000	84.905
3550.000000	83.866
3600.000000	82.915
3650.000000	82.086
3700.000000	81.383
3750.000000	80.786
3820.000000	80.085
3870.000000	79.706
3950.000000	79.531
4000.000000	79.787
4060.000000	80.407
4120.000000	81.217
4180.000000	82.084
4250.000000	83.060
4310.000000	83.799
4370.000000	84.407
4440.000000	84.929
4500.000000	85.208
4550.000000	85.325
4620.000000	85.321
4680.000000	85.173
4750.000000	84.849
4820.000000	84.378
4870.000000	83.964
4940.000000	83.301
5000.000000	82.688
5080.000000	81.873
5150.000000	81.246
5220.000000	80.809
5300.000000	80.696
5380.000000	81.078
5450.000000	81.737
5520.000000	82.534
5600.000000	83.436
5700.000000	84.416
5800.000000	85.241
5900.000000	85.989
6000.000000	86.706
6080.000000	87.233
6150.000000	87.619
6220.000000	87.906
6300.000000	88.095
6400.000000	88.129
6500.000000	87.954
6600.000000	87.582
6700.000000	87.033
6800.000000	86.348
6900.000000	85.594
7000.000000	84.846
7100.000000	84.167
7200.000000	83.607
7300.000000	83.193
7400.000000	82.938
7500.000000	82.838
7620.000000	82.891
7750.000000	83.089
7880.000000	83.358
8000.000000	83.611
8120.000000	83.780
8250.000000	83.716
8380.000000	83.240
8500.000000	82.352
8620.000000	81.026
8750.000000	79.184
8850.000000	77.632
9000.000000	75.507
9120.000000	74.249
9250.000000	73.308
9380.000000	72.601
9500.000000	71.980
9620.000000	71.281
9750.000000	70.467
9880.000000	69.976
10000.000000	70.299
10150.000000	71.645
10300.000000	73.202
10440.000000	74.381
10600.000000	75.278
10750.000000	75.686
10900.000000	75.699
11060.000000	75.328
11200.000000	74.753
11380.000000	73.864
11500.000000	73.364
11720.000000	73.267
11800.000000	73.630
12060.000000	76.094
12200.000000	77.756
12410.000000	79.946
12500.000000	80.654
12650.000000	81.447
12800.000000	81.738
13150.000000	80.807
13200.000000	80.555
13400.000000	79.458
13600.000000	78.354
13800.000000	77.223
14000.000000	75.946
14300.000000	74.059
14500.000000	73.597
14750.000000	74.121
15000.000000	74.776
15250.000000	75.081
15500.000000	75.578
15750.000000	76.968
16000.000000	78.945
16250.000000	80.680
16500.000000	81.748
16750.000000	82.124
17000.000000	81.935
17250.000000	81.316
17500.000000	80.401
17750.000000	79.334
18000.000000	78.234
18250.000000	77.151
18500.000000	76.071
18750.000000	74.975
19000.000000	73.873
19250.000000	72.814
19500.000000	71.820
19750.000000	70.925
