* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 14-Feb-2022 00:24:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = B60 L VSG B = VSG to Crin
* Measurement: B60 L VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	83.525
20.299999	83.709
20.600000	83.877
20.900000	84.029
21.200001	84.163
21.400000	84.244
21.799999	84.386
22.000000	84.449
22.400000	84.563
22.700001	84.639
23.000000	84.708
23.299999	84.773
23.600000	84.833
24.000000	84.908
24.299999	84.963
24.700001	85.036
25.000000	85.093
25.400000	85.173
25.799999	85.257
26.200001	85.344
26.500000	85.409
26.900000	85.494
27.200001	85.556
27.600000	85.636
28.000000	85.712
28.500000	85.802
29.000000	85.882
29.500000	85.948
30.000000	85.999
30.400000	86.030
30.700001	86.050
31.100000	86.075
31.500000	86.099
32.000000	86.132
32.500000	86.166
33.000000	86.201
33.500000	86.237
34.000000	86.274
34.500000	86.313
35.000000	86.354
35.500000	86.397
36.000000	86.443
36.500000	86.489
37.000000	86.537
37.500000	86.585
38.200001	86.649
38.700001	86.691
39.500000	86.745
40.000000	86.767
40.599998	86.779
41.200001	86.775
41.799999	86.756
42.500000	86.716
43.099998	86.671
43.700001	86.618
44.400002	86.551
45.000000	86.490
45.500000	86.434
46.200001	86.346
46.799999	86.261
47.500000	86.151
48.200001	86.032
48.700001	85.945
49.400002	85.823
50.000000	85.717
50.799999	85.570
51.500000	85.430
52.200001	85.278
53.000000	85.089
53.799999	84.891
54.500000	84.713
55.200001	84.536
56.000000	84.336
57.000000	84.090
58.000000	83.849
59.000000	83.613
60.000000	83.384
60.799999	83.208
61.500000	83.060
62.200001	82.920
63.000000	82.772
64.000000	82.609
65.000000	82.479
66.000000	82.393
67.000000	82.358
68.000000	82.383
69.000000	82.468
70.000000	82.609
71.000000	82.799
72.000000	83.026
73.000000	83.282
74.000000	83.558
75.000000	83.846
76.199997	84.201
77.500000	84.586
78.800003	84.962
80.000000	85.293
81.199997	85.603
82.500000	85.913
83.800003	86.192
85.000000	86.421
86.199997	86.623
87.500000	86.814
88.500000	86.942
90.000000	87.105
91.199997	87.210
92.500000	87.299
93.800003	87.363
95.000000	87.401
96.199997	87.422
97.500000	87.428
98.800003	87.420
100.000000	87.402
101.500000	87.368
103.000000	87.321
104.400002	87.269
106.000000	87.206
107.500000	87.148
109.000000	87.094
110.599998	87.041
112.000000	86.996
113.800003	86.942
115.000000	86.908
117.199997	86.849
118.000000	86.828
120.599998	86.757
122.000000	86.716
124.099998	86.648
125.000000	86.617
126.500000	86.561
128.000000	86.502
131.500000	86.352
132.000000	86.329
134.000000	86.230
136.000000	86.119
138.000000	85.998
140.000000	85.864
143.000000	85.643
145.000000	85.481
147.500000	85.265
150.000000	85.035
152.500000	84.791
155.000000	84.531
157.500000	84.253
160.000000	83.954
162.500000	83.633
165.000000	83.296
167.500000	82.947
170.000000	82.592
172.500000	82.234
175.000000	81.876
177.500000	81.521
180.000000	81.174
182.500000	80.835
185.000000	80.508
187.500000	80.191
190.000000	79.881
192.500000	79.571
195.000000	79.252
197.500000	78.919
200.000000	78.570
203.000000	78.135
206.000000	77.694
209.000000	77.266
212.000000	76.866
214.000000	76.622
218.000000	76.196
220.000000	76.013
224.000000	75.701
227.000000	75.509
230.000000	75.353
233.000000	75.237
236.000000	75.171
240.000000	75.169
243.000000	75.234
247.000000	75.402
250.000000	75.578
254.000000	75.859
258.000000	76.174
262.000000	76.503
265.000000	76.749
269.000000	77.070
272.000000	77.300
276.000000	77.592
280.000000	77.869
285.000000	78.199
290.000000	78.512
295.000000	78.809
300.000000	79.087
304.000000	79.292
307.000000	79.434
311.000000	79.606
315.000000	79.758
320.000000	79.919
325.000000	80.054
330.000000	80.173
335.000000	80.298
340.000000	80.459
345.000000	80.686
350.000000	80.992
355.000000	81.360
360.000000	81.743
365.000000	82.087
370.000000	82.356
375.000000	82.538
382.000000	82.662
387.000000	82.676
395.000000	82.611
400.000000	82.545
406.000000	82.478
412.000000	82.460
418.000000	82.507
425.000000	82.659
431.000000	82.900
437.000000	83.270
444.000000	83.828
450.000000	84.298
455.000000	84.590
462.000000	84.757
468.000000	84.674
475.000000	84.415
482.000000	84.130
487.000000	83.975
494.000000	83.852
500.000000	83.819
508.000000	83.846
515.000000	83.911
522.000000	84.000
530.000000	84.108
538.000000	84.195
545.000000	84.239
552.000000	84.250
560.000000	84.234
570.000000	84.198
580.000000	84.167
590.000000	84.159
600.000000	84.174
608.000000	84.195
615.000000	84.216
