* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 02-Jan-2022 18:58:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CA24 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.921	24.4244
20.299999	102.903	23.7492
20.600000	102.882	23.0894
20.900000	102.859	22.4508
21.200001	102.838	21.8337
21.400000	102.826	21.4297
21.799999	102.805	20.6282
22.000000	102.796	20.2259
22.400000	102.779	19.4146
22.700001	102.768	18.8065
23.000000	102.758	18.2085
23.299999	102.746	17.6273
23.600000	102.733	17.0635
24.000000	102.714	16.3323
24.299999	102.701	15.7900
24.700001	102.686	15.0663
25.000000	102.673	14.5233
25.400000	102.654	13.8089
25.799999	102.630	13.1202
26.200001	102.608	12.4630
26.500000	102.593	11.9829
26.900000	102.577	11.3420
27.200001	102.566	10.8499
27.600000	102.548	10.1773
28.000000	102.526	9.5051
28.500000	102.492	8.7060
29.000000	102.460	7.9633
29.500000	102.439	7.2363
30.000000	102.424	6.4850
30.400000	102.410	5.8756
30.700001	102.398	5.4294
31.100000	102.383	4.8620
31.500000	102.368	4.3204
32.000000	102.353	3.6484
32.500000	102.338	2.9581
33.000000	102.317	2.2622
33.500000	102.292	1.5862
34.000000	102.268	0.9333
34.500000	102.248	0.2880
35.000000	102.230	-0.3554
35.500000	102.212	-0.9863
36.000000	102.196	-1.5952
36.500000	102.182	-2.1870
37.000000	102.171	-2.7730
37.500000	102.156	-3.3583
38.200001	102.125	-4.1710
38.700001	102.095	-4.7411
39.500000	102.035	-5.6355
40.000000	101.999	-6.1872
40.599998	101.966	-6.8431
41.200001	101.944	-7.4895
41.799999	101.926	-8.1262
42.500000	101.906	-8.8609
43.099998	101.885	-9.4847
43.700001	101.862	-10.0992
44.400002	101.833	-10.8007
45.000000	101.805	-11.3901
45.500000	101.782	-11.8740
46.200001	101.753	-12.5382
46.799999	101.729	-13.0923
47.500000	101.701	-13.7280
48.200001	101.667	-14.3651
48.700001	101.638	-14.8194
49.400002	101.593	-15.4388
50.000000	101.560	-15.9495
50.799999	101.531	-16.6199
51.500000	101.511	-17.2118
52.200001	101.488	-17.8045
53.000000	101.457	-18.4758
53.799999	101.423	-19.1455
54.500000	101.396	-19.7332
55.200001	101.370	-20.3159
56.000000	101.337	-20.9615
57.000000	101.288	-21.7266
58.000000	101.233	-22.4651
59.000000	101.181	-23.1950
60.000000	101.133	-23.9103
60.799999	101.095	-24.4724
61.500000	101.060	-24.9521
62.200001	101.027	-25.4099
63.000000	100.995	-25.9007
64.000000	100.969	-26.4910
65.000000	100.947	-27.1048
66.000000	100.923	-27.7569
67.000000	100.896	-28.4383
68.000000	100.865	-29.1430
69.000000	100.824	-29.8596
70.000000	100.776	-30.5763
71.000000	100.725	-31.2766
72.000000	100.674	-31.9521
73.000000	100.626	-32.6082
74.000000	100.585	-33.2442
75.000000	100.546	-33.8592
76.199997	100.496	-34.5812
77.500000	100.432	-35.3496
78.800003	100.362	-36.1085
80.000000	100.296	-36.8042
81.199997	100.235	-37.4884
82.500000	100.173	-38.2144
83.800003	100.116	-38.9256
85.000000	100.067	-39.5719
86.199997	100.012	-40.2018
87.500000	99.945	-40.8617
88.500000	99.889	-41.3550
90.000000	99.799	-42.0735
91.199997	99.733	-42.6348
92.500000	99.671	-43.2408
93.800003	99.617	-43.8533
95.000000	99.568	-44.4184
96.199997	99.516	-44.9699
97.500000	99.453	-45.5450
98.800003	99.383	-46.0986
100.000000	99.316	-46.5987
101.500000	99.235	-47.2189
103.000000	99.161	-47.8347
104.400002	99.098	-48.4146
106.000000	99.027	-49.0815
107.500000	98.953	-49.6936
109.000000	98.872	-50.2792
110.599998	98.785	-50.8624
112.000000	98.716	-51.3416
113.800003	98.630	-51.9468
115.000000	98.572	-52.3636
117.199997	98.457	-53.1565
118.000000	98.414	-53.4438
120.599998	98.271	-54.3193
122.000000	98.195	-54.7430
124.099998	98.085	-55.3262
125.000000	98.039	-55.5648
126.500000	97.964	-55.9615
128.000000	97.887	-56.3655
131.500000	97.693	-57.2904
132.000000	97.664	-57.4118
134.000000	97.546	-57.8506
136.000000	97.422	-58.1958
138.000000	97.283	-58.4100
140.000000	97.137	-58.4131
143.000000	96.974	-57.8755
145.000000	96.943	-57.2089
147.500000	97.032	-56.4376
150.000000	97.246	-56.5662
152.500000	97.442	-58.0396
155.000000	97.495	-60.1592
157.500000	97.413	-62.0695
160.000000	97.267	-63.5447
162.500000	97.111	-64.6988
165.000000	96.966	-65.6434
167.500000	96.824	-66.4403
170.000000	96.678	-67.1365
172.500000	96.530	-67.7819
175.000000	96.378	-68.3995
177.500000	96.220	-68.9968
180.000000	96.061	-69.5722
182.500000	95.920	-70.1083
185.000000	95.808	-70.6012
187.500000	95.713	-71.0634
190.000000	95.622	-71.5043
192.500000	95.532	-71.9322
195.000000	95.444	-72.3522
197.500000	95.352	-72.7610
200.000000	95.256	-73.1449
203.000000	95.140	-73.5575
206.000000	95.030	-73.9329
209.000000	94.918	-74.3137
212.000000	94.803	-74.7336
214.000000	94.729	-75.0373
218.000000	94.590	-75.6471
220.000000	94.519	-75.9255
224.000000	94.375	-76.4086
227.000000	94.276	-76.7388
230.000000	94.180	-77.0747
233.000000	94.087	-77.4281
236.000000	93.996	-77.7994
240.000000	93.873	-78.3114
243.000000	93.783	-78.6972
247.000000	93.668	-79.2019
250.000000	93.576	-79.5552
254.000000	93.445	-79.9836
258.000000	93.313	-80.3766
262.000000	93.184	-80.7546
265.000000	93.091	-81.0471
269.000000	92.975	-81.4549
272.000000	92.890	-81.7609
276.000000	92.778	-82.1502
280.000000	92.668	-82.5114
285.000000	92.535	-82.9535
290.000000	92.404	-83.4044
295.000000	92.274	-83.8404
300.000000	92.145	-84.2421
304.000000	92.043	-84.5631
307.000000	91.967	-84.8152
311.000000	91.864	-85.1637
315.000000	91.755	-85.5189
320.000000	91.612	-85.9489
325.000000	91.479	-86.3180
330.000000	91.360	-86.6044
335.000000	91.242	-86.8328
340.000000	91.113	-87.0509
345.000000	90.978	-87.2949
350.000000	90.848	-87.5742
355.000000	90.730	-87.8564
360.000000	90.622	-88.0973
365.000000	90.517	-88.3084
370.000000	90.409	-88.4991
375.000000	90.298	-88.6732
382.000000	90.136	-88.9226
387.000000	90.023	-89.0938
395.000000	89.854	-89.2932
400.000000	89.753	-89.3765
406.000000	89.635	-89.4736
412.000000	89.516	-89.6129
418.000000	89.398	-89.7840
425.000000	89.274	-89.9699
431.000000	89.177	-90.0761
437.000000	89.081	-90.1256
444.000000	88.966	-90.1370
450.000000	88.862	-90.1406
455.000000	88.775	-90.1571
462.000000	88.653	-90.2146
468.000000	88.556	-90.2732
475.000000	88.460	-90.2977
482.000000	88.377	-90.2620
487.000000	88.315	-90.2264
494.000000	88.220	-90.1880
500.000000	88.138	-90.1666
508.000000	88.036	-90.1436
515.000000	87.952	-90.1047
