* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 9, 2021 1:13:45 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: CA Melomania 1+ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000	125.545	81.024
20.291	125.397	80.590
20.586	125.216	80.319
20.885	125.021	80.365
21.189	124.846	80.743
21.497	124.716	81.301
21.810	124.634	81.857
22.127	124.583	82.273
22.449	124.540	82.501
22.776	124.482	82.606
23.107	124.401	82.724
23.443	124.304	82.974
23.784	124.211	83.374
24.130	124.135	83.825
24.481	124.074	84.184
24.837	124.009	84.377
25.198	123.918	84.452
25.565	123.793	84.553
25.937	123.648	84.809
26.314	123.508	85.230
26.697	123.390	85.692
27.085	123.292	86.048
27.479	123.194	86.249
27.879	123.082	86.389
28.284	122.961	86.602
28.696	122.853	86.932
29.113	122.776	87.279
29.537	122.726	87.489
29.966	122.681	87.503
30.402	122.619	87.403
30.844	122.534	87.338
31.293	122.439	87.409
31.748	122.349	87.617
32.210	122.270	87.888
32.678	122.201	88.155
33.154	122.132	88.394
33.636	122.060	88.614
34.125	121.987	88.815
34.621	121.914	88.964
35.125	121.836	89.019
35.636	121.743	88.996
36.154	121.633	88.973
36.680	121.514	89.030
37.214	121.402	89.173
37.755	121.307	89.349
38.304	121.230	89.497
38.861	121.167	89.578
39.427	121.111	89.575
40.000	121.052	89.517
40.582	120.987	89.466
41.172	120.922	89.458
41.771	120.862	89.449
42.379	120.800	89.393
42.995	120.726	89.323
43.620	120.643	89.308
44.255	120.565	89.350
44.898	120.496	89.377
45.552	120.434	89.339
46.214	120.372	89.231
46.886	120.308	89.071
47.568	120.239	88.898
48.260	120.169	88.771
48.962	120.108	88.695
49.674	120.060	88.618
50.397	120.018	88.496
51.130	119.976	88.331
51.874	119.927	88.139
52.628	119.868	87.946
53.394	119.800	87.786
54.170	119.728	87.666
54.958	119.658	87.538
55.758	119.585	87.372
56.569	119.509	87.191
57.391	119.438	86.990
58.226	119.369	86.733
59.073	119.299	86.460
59.932	119.233	86.218
60.804	119.177	85.976
61.688	119.122	85.719
62.586	119.065	85.484
63.496	119.006	85.270
64.420	118.944	85.053
65.357	118.877	84.821
66.307	118.805	84.575
67.272	118.733	84.323
68.250	118.666	84.031
69.243	118.601	83.683
70.250	118.536	83.309
71.272	118.471	82.930
72.309	118.405	82.576
73.360	118.341	82.251
74.427	118.282	81.922
75.510	118.225	81.565
76.608	118.170	81.154
77.723	118.110	80.696
78.853	118.044	80.237
80.000	117.975	79.803
81.164	117.903	79.385
82.344	117.829	78.983
83.542	117.753	78.578
84.757	117.677	78.150
85.990	117.601	77.692
87.241	117.524	77.213
88.510	117.446	76.740
89.797	117.370	76.295
91.103	117.297	75.855
92.428	117.224	75.403
93.773	117.149	74.942
95.137	117.074	74.466
96.520	117.001	73.966
97.924	116.932	73.430
99.349	116.864	72.867
100.794	116.797	72.301
102.260	116.732	71.726
103.747	116.668	71.131
105.256	116.605	70.517
106.787	116.543	69.893
108.340	116.483	69.276
109.916	116.424	68.683
111.515	116.363	68.119
113.137	116.299	67.572
