* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Nov 7, 2021 4:34:47 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Zen Pro L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.371	-104.2732
20.299999	78.433	-105.1958
20.600000	78.492	-106.1095
20.900000	78.549	-107.0142
21.200001	78.606	-107.9093
21.400000	78.644	-108.5004
21.799999	78.722	-109.6677
22.000000	78.761	-110.2433
22.400000	78.840	-111.3769
22.700001	78.901	-112.2107
23.000000	78.964	-113.0295
23.299999	79.025	-113.8325
23.600000	79.082	-114.6193
24.000000	79.153	-115.6425
24.299999	79.204	-116.3905
24.700001	79.270	-117.3630
25.000000	79.317	-118.0752
25.400000	79.375	-119.0047
25.799999	79.429	-119.9147
26.200001	79.478	-120.8079
26.500000	79.512	-121.4676
26.900000	79.555	-122.3337
27.200001	79.585	-122.9732
27.600000	79.623	-123.8124
28.000000	79.658	-124.6373
28.500000	79.699	-125.6519
29.000000	79.740	-126.6530
29.500000	79.784	-127.6436
30.000000	79.831	-128.6210
30.400000	79.869	-129.3891
30.700001	79.897	-129.9552
31.100000	79.935	-130.6958
31.500000	79.972	-131.4215
32.000000	80.016	-132.3110
32.500000	80.056	-133.1834
33.000000	80.092	-134.0372
33.500000	80.122	-134.8696
34.000000	80.151	-135.6795
34.500000	80.181	-136.4696
35.000000	80.212	-137.2441
35.500000	80.242	-138.0062
36.000000	80.273	-138.7567
36.500000	80.304	-139.4948
37.000000	80.334	-140.2200
37.500000	80.359	-140.9322
38.200001	80.383	-141.9069
38.700001	80.391	-142.5868
39.500000	80.392	-143.6495
40.000000	80.394	-144.3005
40.599998	80.404	-145.0682
41.200001	80.423	-145.8173
41.799999	80.445	-146.5475
42.500000	80.470	-147.3826
43.099998	80.487	-148.0888
43.700001	80.499	-148.7827
44.400002	80.510	-149.5699
45.000000	80.517	-150.2258
45.500000	80.524	-150.7630
46.200001	80.535	-151.5029
46.799999	80.544	-152.1234
47.500000	80.554	-152.8296
48.200001	80.558	-153.5251
48.700001	80.555	-154.0200
49.400002	80.546	-154.7055
50.000000	80.541	-155.2754
50.799999	80.543	-156.0049
51.500000	80.550	-156.6277
52.200001	80.555	-157.2448
53.000000	80.552	-157.9356
53.799999	80.547	-158.6069
54.500000	80.546	-159.1839
55.200001	80.549	-159.7518
56.000000	80.550	-160.3835
57.000000	80.542	-161.1488
58.000000	80.526	-161.8950
59.000000	80.510	-162.6223
60.000000	80.497	-163.3323
60.799999	80.486	-163.8893
61.500000	80.474	-164.3687
