* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jan 15 20:33:53, Jan 15 20:34:20, Jan 15 20:34:52, Jan 15 20:35:18
* Dated: 15-Jan-2022 20:35:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jan 15 20:33:53, Jan 15 20:34:20, Jan 15 20:34:52, Jan 15 20:35:18
* Measurement: FiiO JD3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	102.125
20.299999	102.134
20.600000	102.143
20.900000	102.152
21.200001	102.161
21.400000	102.167
21.799999	102.180
22.000000	102.186
22.400000	102.200
22.700001	102.210
23.000000	102.220
23.299999	102.230
23.600000	102.240
24.000000	102.252
24.299999	102.260
24.700001	102.270
25.000000	102.276
25.400000	102.283
25.799999	102.288
26.200001	102.292
26.500000	102.295
26.900000	102.297
27.200001	102.298
27.600000	102.299
28.000000	102.300
28.500000	102.300
29.000000	102.301
29.500000	102.302
30.000000	102.303
30.400000	102.304
30.700001	102.305
31.100000	102.306
31.500000	102.306
32.000000	102.307
32.500000	102.307
33.000000	102.306
33.500000	102.305
34.000000	102.303
34.500000	102.300
35.000000	102.297
35.500000	102.294
36.000000	102.290
36.500000	102.285
37.000000	102.279
37.500000	102.272
38.200001	102.261
38.700001	102.251
39.500000	102.235
40.000000	102.224
40.599998	102.212
41.200001	102.199
41.799999	102.187
42.500000	102.173
43.099998	102.161
43.700001	102.149
44.400002	102.134
45.000000	102.121
45.500000	102.109
46.200001	102.092
46.799999	102.077
47.500000	102.059
48.200001	102.040
48.700001	102.026
49.400002	102.006
50.000000	101.989
50.799999	101.967
51.500000	101.947
52.200001	101.928
53.000000	101.907
53.799999	101.886
54.500000	101.867
55.200001	101.849
56.000000	101.827
57.000000	101.799
58.000000	101.771
59.000000	101.741
60.000000	101.711
60.799999	101.686
61.500000	101.665
62.200001	101.643
63.000000	101.617
64.000000	101.584
65.000000	101.551
66.000000	101.517
67.000000	101.482
68.000000	101.446
69.000000	101.410
70.000000	101.372
71.000000	101.335
72.000000	101.297
73.000000	101.260
74.000000	101.222
75.000000	101.184
76.199997	101.138
77.500000	101.088
78.800003	101.038
80.000000	100.990
81.199997	100.943
82.500000	100.891
83.800003	100.839
85.000000	100.790
86.199997	100.741
87.500000	100.687
88.500000	100.645
90.000000	100.582
91.199997	100.531
92.500000	100.475
93.800003	100.419
95.000000	100.366
96.199997	100.313
97.500000	100.256
98.800003	100.197
100.000000	100.142
101.500000	100.073
103.000000	100.002
104.400002	99.935
106.000000	99.857
107.500000	99.782
109.000000	99.705
110.599998	99.621
112.000000	99.547
113.800003	99.449
115.000000	99.384
117.199997	99.265
118.000000	99.222
120.599998	99.090
122.000000	99.025
124.099998	98.940
125.000000	98.910
126.500000	98.867
128.000000	98.836
131.500000	98.813
132.000000	98.815
134.000000	98.834
136.000000	98.868
138.000000	98.910
140.000000	98.955
143.000000	99.015
145.000000	99.044
147.500000	99.064
150.000000	99.062
152.500000	99.041
155.000000	99.001
157.500000	98.945
160.000000	98.875
162.500000	98.796
165.000000	98.708
167.500000	98.614
170.000000	98.516
172.500000	98.415
175.000000	98.313
177.500000	98.211
180.000000	98.112
182.500000	98.015
185.000000	97.923
187.500000	97.836
190.000000	97.753
192.500000	97.673
195.000000	97.597
197.500000	97.523
200.000000	97.450
203.000000	97.365
206.000000	97.282
209.000000	97.199
212.000000	97.118
214.000000	97.064
218.000000	96.959
220.000000	96.907
224.000000	96.804
227.000000	96.729
230.000000	96.655
233.000000	96.582
236.000000	96.509
240.000000	96.415
243.000000	96.344
247.000000	96.252
250.000000	96.183
254.000000	96.093
258.000000	96.004
262.000000	95.916
265.000000	95.851
269.000000	95.766
272.000000	95.704
276.000000	95.622
280.000000	95.543
285.000000	95.446
290.000000	95.352
295.000000	95.261
300.000000	95.172
304.000000	95.102
307.000000	95.051
311.000000	94.984
315.000000	94.917
320.000000	94.836
325.000000	94.756
330.000000	94.677
335.000000	94.600
340.000000	94.524
345.000000	94.450
350.000000	94.377
355.000000	94.306
360.000000	94.236
365.000000	94.167
370.000000	94.100
375.000000	94.034
382.000000	93.944
387.000000	93.881
395.000000	93.783
400.000000	93.723
406.000000	93.654
412.000000	93.586
418.000000	93.521
425.000000	93.447
431.000000	93.386
437.000000	93.327
444.000000	93.261
450.000000	93.205
455.000000	93.160
462.000000	93.099
468.000000	93.048
475.000000	92.990
482.000000	92.935
487.000000	92.896
494.000000	92.844
500.000000	92.800
508.000000	92.744
515.000000	92.697
522.000000	92.651
530.000000	92.601
538.000000	92.553
545.000000	92.513
552.000000	92.474
560.000000	92.432
570.000000	92.382
580.000000	92.336
590.000000	92.293
600.000000	92.253
608.000000	92.223
615.000000	92.199
622.000000	92.176
630.000000	92.152
640.000000	92.124
650.000000	92.100
660.000000	92.080
670.000000	92.063
680.000000	92.050
690.000000	92.040
700.000000	92.034
710.000000	92.031
720.000000	92.032
730.000000	92.037
740.000000	92.045
750.000000	92.057
762.000000	92.077
775.000000	92.104
788.000000	92.137
800.000000	92.174
812.000000	92.216
825.000000	92.268
838.000000	92.326
850.000000	92.386
862.000000	92.450
875.000000	92.525
885.000000	92.587
900.000000	92.686
912.000000	92.771
925.000000	92.866
938.000000	92.967
