* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jan 15 20:36:52, Jan 15 20:38:19, Jan 15 20:38:39
* Dated: 15-Jan-2022 20:39:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jan 15 20:36:52, Jan 15 20:38:19, Jan 15 20:38:39
* Measurement: FiiO JD3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	102.713
20.299999	102.704
20.600000	102.697
20.900000	102.693
21.200001	102.691
21.400000	102.691
21.799999	102.695
22.000000	102.698
22.400000	102.707
22.700001	102.715
23.000000	102.724
23.299999	102.733
23.600000	102.741
24.000000	102.751
24.299999	102.757
24.700001	102.762
25.000000	102.763
25.400000	102.761
25.799999	102.756
26.200001	102.748
26.500000	102.739
26.900000	102.727
27.200001	102.716
27.600000	102.701
28.000000	102.686
28.500000	102.667
29.000000	102.650
29.500000	102.636
30.000000	102.624
30.400000	102.616
30.700001	102.611
31.100000	102.605
31.500000	102.600
32.000000	102.594
32.500000	102.588
33.000000	102.581
33.500000	102.574
34.000000	102.565
34.500000	102.555
35.000000	102.544
35.500000	102.532
36.000000	102.520
36.500000	102.505
37.000000	102.490
37.500000	102.474
38.200001	102.450
38.700001	102.433
39.500000	102.404
40.000000	102.385
40.599998	102.364
41.200001	102.343
41.799999	102.323
42.500000	102.300
43.099998	102.280
43.700001	102.260
44.400002	102.237
45.000000	102.216
45.500000	102.198
46.200001	102.173
46.799999	102.150
47.500000	102.123
48.200001	102.096
48.700001	102.076
49.400002	102.048
50.000000	102.024
50.799999	101.992
51.500000	101.965
52.200001	101.938
53.000000	101.907
53.799999	101.877
54.500000	101.851
55.200001	101.824
56.000000	101.794
57.000000	101.756
58.000000	101.719
59.000000	101.682
60.000000	101.646
60.799999	101.617
61.500000	101.593
62.200001	101.570
63.000000	101.543
64.000000	101.510
65.000000	101.475
66.000000	101.440
67.000000	101.404
68.000000	101.366
69.000000	101.327
70.000000	101.287
71.000000	101.247
72.000000	101.206
73.000000	101.165
74.000000	101.124
75.000000	101.084
76.199997	101.034
77.500000	100.981
78.800003	100.927
80.000000	100.877
81.199997	100.827
82.500000	100.773
83.800003	100.719
85.000000	100.669
86.199997	100.620
87.500000	100.567
88.500000	100.525
90.000000	100.463
91.199997	100.414
92.500000	100.360
93.800003	100.306
95.000000	100.256
96.199997	100.206
97.500000	100.151
98.800003	100.097
100.000000	100.046
101.500000	99.984
103.000000	99.921
104.400002	99.863
106.000000	99.797
107.500000	99.736
109.000000	99.675
110.599998	99.609
112.000000	99.552
113.800003	99.478
115.000000	99.429
117.199997	99.337
118.000000	99.304
120.599998	99.195
122.000000	99.135
124.099998	99.045
125.000000	99.007
126.500000	98.942
128.000000	98.877
131.500000	98.724
132.000000	98.703
134.000000	98.617
136.000000	98.534
138.000000	98.454
140.000000	98.379
143.000000	98.280
145.000000	98.226
147.500000	98.171
150.000000	98.132
152.500000	98.108
155.000000	98.093
157.500000	98.082
160.000000	98.069
162.500000	98.049
165.000000	98.018
167.500000	97.973
170.000000	97.915
172.500000	97.844
175.000000	97.763
177.500000	97.676
180.000000	97.586
182.500000	97.495
185.000000	97.407
187.500000	97.324
190.000000	97.246
192.500000	97.174
195.000000	97.107
197.500000	97.044
200.000000	96.985
203.000000	96.918
206.000000	96.852
209.000000	96.786
212.000000	96.719
214.000000	96.674
218.000000	96.581
220.000000	96.533
224.000000	96.437
227.000000	96.365
230.000000	96.292
233.000000	96.220
236.000000	96.149
240.000000	96.055
243.000000	95.985
247.000000	95.894
250.000000	95.826
254.000000	95.737
258.000000	95.649
262.000000	95.563
265.000000	95.499
269.000000	95.416
272.000000	95.355
276.000000	95.276
280.000000	95.198
285.000000	95.104
290.000000	95.013
295.000000	94.925
300.000000	94.840
304.000000	94.773
307.000000	94.723
311.000000	94.658
315.000000	94.594
320.000000	94.516
325.000000	94.439
330.000000	94.363
335.000000	94.289
340.000000	94.216
345.000000	94.145
350.000000	94.076
355.000000	94.008
360.000000	93.941
365.000000	93.875
370.000000	93.811
375.000000	93.749
382.000000	93.663
387.000000	93.604
395.000000	93.511
400.000000	93.455
406.000000	93.389
412.000000	93.326
418.000000	93.264
425.000000	93.196
431.000000	93.139
437.000000	93.084
444.000000	93.022
450.000000	92.971
455.000000	92.929
462.000000	92.873
468.000000	92.826
475.000000	92.774
482.000000	92.723
487.000000	92.688
494.000000	92.641
500.000000	92.602
508.000000	92.551
515.000000	92.509
522.000000	92.468
530.000000	92.423
538.000000	92.380
545.000000	92.344
552.000000	92.310
560.000000	92.273
570.000000	92.230
580.000000	92.189
590.000000	92.152
600.000000	92.118
608.000000	92.093
615.000000	92.073
622.000000	92.054
630.000000	92.034
640.000000	92.012
650.000000	91.994
660.000000	91.979
670.000000	91.967
680.000000	91.959
690.000000	91.954
700.000000	91.952
710.000000	91.954
720.000000	91.959
730.000000	91.968
740.000000	91.980
750.000000	91.996
762.000000	92.020
775.000000	92.051
788.000000	92.089
800.000000	92.129
812.000000	92.174
825.000000	92.229
838.000000	92.289
850.000000	92.350
862.000000	92.415
875.000000	92.491
885.000000	92.553
900.000000	92.651
912.000000	92.734
925.000000	92.828
938.000000	92.925
950.000000	93.018
962.000000	93.114
975.000000	93.220
988.000000	93.328
1000.000000	93.429
1015.000000	93.557
1030.000000	93.687
1044.000000	93.809
1060.000000	93.948
1075.000000	94.078
1090.000000	94.207
1106.000000	94.342
1120.000000	94.458
1138.000000	94.604
1150.000000	94.698
1172.000000	94.865
1180.000000	94.924
1206.000000	95.112
1220.000000	95.211
1241.000000	95.358
1250.000000	95.420
1265.000000	95.524
1280.000000	95.627
1315.000000	95.872
1320.000000	95.907
1340.000000	96.051
1360.000000	96.197
1380.000000	96.348
1400.000000	96.502
1430.000000	96.742
1450.000000	96.906
1475.000000	97.115
1500.000000	97.323
1525.000000	97.527
1550.000000	97.722
1575.000000	97.904
1600.000000	98.073
1625.000000	98.229
1650.000000	98.376
1675.000000	98.521
1700.000000	98.672
1725.000000	98.833
1750.000000	99.009
1775.000000	99.202
1800.000000	99.410
1825.000000	99.633
1850.000000	99.864
1875.000000	100.102
1900.000000	100.341
1925.000000	100.577
1950.000000	100.808
1975.000000	101.031
2000.000000	101.242
2030.000000	101.477
2060.000000	101.691
2090.000000	101.880
2120.000000	102.042
2140.000000	102.134
2180.000000	102.282
2200.000000	102.337
2240.000000	102.408
2270.000000	102.428
2300.000000	102.421
2330.000000	102.388
2360.000000	102.330
2400.000000	102.216
2430.000000	102.105
2470.000000	101.927
2500.000000	101.773
2540.000000	101.545
2580.000000	101.293
2620.000000	101.024
2650.000000	100.812
2690.000000	100.520
2720.000000	100.296
2760.000000	99.994
2800.000000	99.690
2850.000000	99.313
2900.000000	98.942
2950.000000	98.582
3000.000000	98.237
3040.000000	97.972
3070.000000	97.782
3110.000000	97.538
3150.000000	97.308
3200.000000	97.038
3250.000000	96.788
3300.000000	96.556
3350.000000	96.342
3400.000000	96.144
3450.000000	95.960
3500.000000	95.790
3550.000000	95.633
3600.000000	95.489
3650.000000	95.357
3700.000000	95.238
3750.000000	95.132
3820.000000	95.003
3870.000000	94.926
3950.000000	94.823
4000.000000	94.773
4060.000000	94.725
4120.000000	94.691
4180.000000	94.671
4250.000000	94.669
4310.000000	94.686
4370.000000	94.723
4440.000000	94.794
4500.000000	94.882
4550.000000	94.975
4620.000000	95.137
4680.000000	95.306
4750.000000	95.539
4820.000000	95.809
4870.000000	96.023
4940.000000	96.351
5000.000000	96.654
5080.000000	97.086
5150.000000	97.480
5220.000000	97.885
5300.000000	98.349
5380.000000	98.806
5450.000000	99.189
5520.000000	99.551
5600.000000	99.928
5700.000000	100.331
5800.000000	100.643
5900.000000	100.850
6000.000000	100.944
6080.000000	100.935
6150.000000	100.866
6220.000000	100.742
6300.000000	100.535
6400.000000	100.190
6500.000000	99.761
6600.000000	99.265
6700.000000	98.719
6800.000000	98.140
6900.000000	97.543
7000.000000	96.941
7100.000000	96.344
7200.000000	95.763
7300.000000	95.207
7400.000000	94.683
7500.000000	94.201
7620.000000	93.691
7750.000000	93.241
7880.000000	92.920
8000.000000	92.753
8120.000000	92.720
8250.000000	92.835
8380.000000	93.093
8500.000000	93.431
8620.000000	93.834
8750.000000	94.307
8850.000000	94.673
9000.000000	95.188
9120.000000	95.549
9250.000000	95.871
9380.000000	96.109
9500.000000	96.246
9620.000000	96.299
9750.000000	96.258
9880.000000	96.111
10000.000000	95.878
10150.000000	95.458
10300.000000	94.897
10440.000000	94.253
10600.000000	93.389
10750.000000	92.470
10900.000000	91.465
11060.000000	90.319
11200.000000	89.274
11380.000000	87.903
11500.000000	86.989
11720.000000	85.357
11800.000000	84.788
12060.000000	83.078
12200.000000	82.264
12410.000000	81.208
12500.000000	80.818
12650.000000	80.252
12800.000000	79.789
13150.000000	79.083
13200.000000	79.023
13400.000000	78.881
13600.000000	78.896
13800.000000	79.067
14000.000000	79.391
14300.000000	80.130
14500.000000	80.752
14750.000000	81.610
15000.000000	82.495
15250.000000	83.346
15500.000000	84.117
15750.000000	84.778
16000.000000	85.309
16250.000000	85.698
16500.000000	85.942
16750.000000	86.041
17000.000000	85.996
17250.000000	85.814
17500.000000	85.507
17750.000000	85.090
18000.000000	84.585
18250.000000	84.020
18500.000000	83.426
18750.000000	82.839
19000.000000	82.292
19250.000000	81.813
19500.000000	81.424
19750.000000	81.147
