* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 25 22:06:01, Aug 25 22:06:36, Aug 25 22:07:11
* Dated: Aug 25, 2021 10:07:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Aug 25 22:06:01, Aug 25 22:06:36, Aug 25 22:07:11
* Measurement: Goldplanar GL12 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	82.569
20.600000	82.587
20.900000	82.631
21.200001	82.675
21.400000	82.705
21.799999	82.768
22.000000	82.801
22.400000	82.870
22.700001	82.924
23.000000	82.979
23.299999	83.034
23.600000	83.091
24.000000	83.165
24.299999	83.220
24.700001	83.291
25.000000	83.343
25.400000	83.407
25.799999	83.466
26.200001	83.520
26.500000	83.557
26.900000	83.602
27.200001	83.634
27.600000	83.672
28.000000	83.708
28.500000	83.748
29.000000	83.786
29.500000	83.822
30.000000	83.858
30.400000	83.887
30.700001	83.909
31.100000	83.939
31.500000	83.970
32.000000	84.010
32.500000	84.048
33.000000	84.086
33.500000	84.122
34.000000	84.155
34.500000	84.186
35.000000	84.214
35.500000	84.242
36.000000	84.268
36.500000	84.293
37.000000	84.318
37.500000	84.342
38.200001	84.375
38.700001	84.397
39.500000	84.432
40.000000	84.454
40.599998	84.480
41.200001	84.506
41.799999	84.532
42.500000	84.563
43.099998	84.589
43.700001	84.616
44.400002	84.646
45.000000	84.670
45.500000	84.690
46.200001	84.716
46.799999	84.737
47.500000	84.759
48.200001	84.780
48.700001	84.794
49.400002	84.812
50.000000	84.828
50.799999	84.847
51.500000	84.863
52.200001	84.879
53.000000	84.897
53.799999	84.914
54.500000	84.929
55.200001	84.944
56.000000	84.960
57.000000	84.979
58.000000	84.997
59.000000	85.014
60.000000	85.030
60.799999	85.041
61.500000	85.051
62.200001	85.060
63.000000	85.071
64.000000	85.083
65.000000	85.096
66.000000	85.108
67.000000	85.120
68.000000	85.132
69.000000	85.144
70.000000	85.155
71.000000	85.165
72.000000	85.175
73.000000	85.185
74.000000	85.194
75.000000	85.203
76.199997	85.213
77.500000	85.223
78.800003	85.232
80.000000	85.240
81.199997	85.247
82.500000	85.255
83.800003	85.261
85.000000	85.267
86.199997	85.273
87.500000	85.279
88.500000	85.284
90.000000	85.291
91.199997	85.296
92.500000	85.302
93.800003	85.308
95.000000	85.313
96.199997	85.317
97.500000	85.322
98.800003	85.327
100.000000	85.330
101.500000	85.335
103.000000	85.339
104.400002	85.342
106.000000	85.346
107.500000	85.349
109.000000	85.352
110.599998	85.354
112.000000	85.356
113.800003	85.359
115.000000	85.360
117.199997	85.363
118.000000	85.363
120.599998	85.366
122.000000	85.367
124.099998	85.369
125.000000	85.369
126.500000	85.370
128.000000	85.371
131.500000	85.373
132.000000	85.373
134.000000	85.373
136.000000	85.373
138.000000	85.374
140.000000	85.374
143.000000	85.374
145.000000	85.375
147.500000	85.376
150.000000	85.377
152.500000	85.380
155.000000	85.383
157.500000	85.387
160.000000	85.392
162.500000	85.397
165.000000	85.403
167.500000	85.408
170.000000	85.413
172.500000	85.417
175.000000	85.421
177.500000	85.423
180.000000	85.426
182.500000	85.428
185.000000	85.430
187.500000	85.432
190.000000	85.433
192.500000	85.435
195.000000	85.438
197.500000	85.440
200.000000	85.442
203.000000	85.444
206.000000	85.447
209.000000	85.448
212.000000	85.449
214.000000	85.449
218.000000	85.448
220.000000	85.447
224.000000	85.445
227.000000	85.442
230.000000	85.439
233.000000	85.436
236.000000	85.432
240.000000	85.426
243.000000	85.422
247.000000	85.416
250.000000	85.412
254.000000	85.405
258.000000	85.399
262.000000	85.392
265.000000	85.387
269.000000	85.381
272.000000	85.376
276.000000	85.369
280.000000	85.362
285.000000	85.354
290.000000	85.345
295.000000	85.336
300.000000	85.327
304.000000	85.320
307.000000	85.314
311.000000	85.307
315.000000	85.299
320.000000	85.289
325.000000	85.279
330.000000	85.269
335.000000	85.258
340.000000	85.247
345.000000	85.237
350.000000	85.226
355.000000	85.215
360.000000	85.204
365.000000	85.192
370.000000	85.181
375.000000	85.169
382.000000	85.152
387.000000	85.140
395.000000	85.120
400.000000	85.107
406.000000	85.092
412.000000	85.076
418.000000	85.059
425.000000	85.040
431.000000	85.023
437.000000	85.006
444.000000	84.986
450.000000	84.968
455.000000	84.953
462.000000	84.932
468.000000	84.914
475.000000	84.892
482.000000	84.870
487.000000	84.854
494.000000	84.831
500.000000	84.812
508.000000	84.785
515.000000	84.762
522.000000	84.738
530.000000	84.710
538.000000	84.683
545.000000	84.658
552.000000	84.633
560.000000	84.605
570.000000	84.569
580.000000	84.533
590.000000	84.496
600.000000	84.459
608.000000	84.429
615.000000	84.403
622.000000	84.376
630.000000	84.346
640.000000	84.308
650.000000	84.270
660.000000	84.232
670.000000	84.194
680.000000	84.157
690.000000	84.119
700.000000	84.082
710.000000	84.046
720.000000	84.010
730.000000	83.975
740.000000	83.940
750.000000	83.906
762.000000	83.867
775.000000	83.826
788.000000	83.787
800.000000	83.753
812.000000	83.721
825.000000	83.688
838.000000	83.658
850.000000	83.633
862.000000	83.610
875.000000	83.588
885.000000	83.573
900.000000	83.553
912.000000	83.540
925.000000	83.529
938.000000	83.521
950.000000	83.515
962.000000	83.511
975.000000	83.510
988.000000	83.510
1000.000000	83.512
1015.000000	83.516
1030.000000	83.521
1044.000000	83.528
1060.000000	83.536
1075.000000	83.544
1090.000000	83.552
1106.000000	83.560
1120.000000	83.566
1138.000000	83.573
1150.000000	83.577
1172.000000	83.580
1180.000000	83.581
1206.000000	83.578
1220.000000	83.575
1241.000000	83.566
1250.000000	83.561
1265.000000	83.550
1280.000000	83.538
1315.000000	83.502
1320.000000	83.495
1340.000000	83.469
1360.000000	83.439
1380.000000	83.407
1400.000000	83.371
1430.000000	83.313
1450.000000	83.271
1475.000000	83.216
1500.000000	83.157
1525.000000	83.096
1550.000000	83.032
