* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 25, 2021 10:09:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Goldplanar GL12 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.752	-142.2741
20.299999	81.709	-142.6536
20.600000	81.913	-143.6379
20.900000	82.218	-145.9165
21.200001	82.469	-149.2994
21.400000	82.557	-151.6517
21.799999	82.568	-155.5059
22.000000	82.539	-156.5752
22.400000	82.585	-156.7388
22.700001	82.831	-155.9134
23.000000	83.239	-155.4102
23.299999	83.651	-155.8090
23.600000	83.943	-156.9000
24.000000	84.041	-158.2512
24.299999	83.949	-158.0317
24.700001	83.844	-155.5185
25.000000	83.963	-152.7379
25.400000	84.423	-149.7996
25.799999	84.938	-149.4108
26.200001	85.184	-151.2528
26.500000	85.120	-152.9626
26.900000	84.764	-154.2353
27.200001	84.425	-153.9524
27.600000	84.085	-152.3285
28.000000	84.001	-150.7216
28.500000	84.100	-150.6020
29.000000	84.101	-152.4962
29.500000	83.888	-154.7296
30.000000	83.578	-155.8080
30.400000	83.405	-155.6119
30.700001	83.382	-155.0549
31.100000	83.523	-154.3235
31.500000	83.809	-154.2086
32.000000	84.186	-155.4703
32.500000	84.374	-157.8256
33.000000	84.281	-159.7159
33.500000	84.020	-159.7268
34.000000	83.856	-157.7721
34.500000	83.971	-155.3557
35.000000	84.280	-154.1109
35.500000	84.559	-154.6164
36.000000	84.659	-156.2750
36.500000	84.550	-158.1299
37.000000	84.291	-159.3545
37.500000	83.984	-159.5765
38.200001	83.698	-158.5392
38.700001	83.681	-157.5667
39.500000	83.905	-156.9131
40.000000	84.113	-157.2530
40.599998	84.362	-158.3596
41.200001	84.544	-160.1254
41.799999	84.584	-162.2046
42.500000	84.409	-164.0477
43.099998	84.145	-164.2497
43.700001	83.939	-163.1238
44.400002	83.920	-161.2410
45.000000	84.054	-160.2446
45.500000	84.180	-160.0983
46.200001	84.294	-160.5503
46.799999	84.333	-161.0870
47.500000	84.352	-161.6589
48.200001	84.369	-162.2361
48.700001	84.375	-162.6804
49.400002	84.369	-163.2978
50.000000	84.349	-163.7315
50.799999	84.324	-164.0695
51.500000	84.327	-164.2338
52.200001	84.351	-164.4646
53.000000	84.370	-164.8201
53.799999	84.377	-165.1116
54.500000	84.383	-165.2990
55.200001	84.388	-165.4512
56.000000	84.393	-165.5733
57.000000	84.397	-165.7241
58.000000	84.387	-165.8887
59.000000	84.380	-166.0062
60.000000	84.391	-166.2681
60.799999	84.397	-166.6278
61.500000	84.395	-166.9755
62.200001	84.388	-167.2968
63.000000	84.377	-167.5874
64.000000	84.369	-167.7765
65.000000	84.385	-167.8043
66.000000	84.428	-167.8490
67.000000	84.484	-168.0341
68.000000	84.533	-168.3614
69.000000	84.565	-168.7412
70.000000	84.580	-169.0295
71.000000	84.587	-169.1578
72.000000	84.589	-169.1442
73.000000	84.584	-169.0606
74.000000	84.569	-168.9847
75.000000	84.543	-169.0020
76.199997	84.497	-169.2099
77.500000	84.443	-169.5551
78.800003	84.418	-169.9272
80.000000	84.427	-170.2335
81.199997	84.455	-170.4186
82.500000	84.494	-170.4640
83.800003	84.529	-170.4398
85.000000	84.546	-170.4921
86.199997	84.545	-170.6257
87.500000	84.540	-170.8586
88.500000	84.538	-171.1158
90.000000	84.538	-171.5437
91.199997	84.542	-171.8342
92.500000	84.550	-172.0589
93.800003	84.561	-172.2063
95.000000	84.569	-172.3061
96.199997	84.570	-172.3791
97.500000	84.564	-172.4296
98.800003	84.553	-172.4786
100.000000	84.543	-172.5265
101.500000	84.540	-172.6523
103.000000	84.541	-172.8607
104.400002	84.543	-173.0457
106.000000	84.552	-173.1812
107.500000	84.567	-173.2893
109.000000	84.576	-173.3945
110.599998	84.578	-173.4678
112.000000	84.577	-173.5011
113.800003	84.576	-173.5223
115.000000	84.572	-173.5502
117.199997	84.550	-173.6625
118.000000	84.538	-173.7187
120.599998	84.512	-173.9345
122.000000	84.514	-174.0767
124.099998	84.523	-174.2232
125.000000	84.526	-174.2400
126.500000	84.522	-174.2259
128.000000	84.509	-174.2025
131.500000	84.478	-174.3048
132.000000	84.476	-174.3301
134.000000	84.477	-174.3898
136.000000	84.473	-174.3602
138.000000	84.455	-174.2344
140.000000	84.445	-174.1040
143.000000	84.465	-173.9794
145.000000	84.489	-173.8396
147.500000	84.531	-173.6060
150.000000	84.604	-173.5437
152.500000	84.694	-173.7256
155.000000	84.764	-174.0273
157.500000	84.801	-174.4017
160.000000	84.819	-174.8124
