* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 31-Mar-2022 22:43:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = HE1000se R VSG to Crin B = HE1000se R VSG B was scaled by 111.3 dB
* Measurement: HE1000se R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	73.500
20.299999	73.629
20.600000	73.752
20.900000	73.870
21.200001	73.984
21.400000	74.057
21.799999	74.197
22.000000	74.264
22.400000	74.394
22.700001	74.487
23.000000	74.577
23.299999	74.662
23.600000	74.742
24.000000	74.841
24.299999	74.910
24.700001	74.992
25.000000	75.049
25.400000	75.122
25.799999	75.195
26.200001	75.275
26.500000	75.340
26.900000	75.430
27.200001	75.499
27.600000	75.586
28.000000	75.667
28.500000	75.759
29.000000	75.848
29.500000	75.943
30.000000	76.046
30.400000	76.133
30.700001	76.198
31.100000	76.281
31.500000	76.358
32.000000	76.443
32.500000	76.516
33.000000	76.581
33.500000	76.644
34.000000	76.708
34.500000	76.776
35.000000	76.851
35.500000	76.930
36.000000	77.009
36.500000	77.082
37.000000	77.147
37.500000	77.205
38.200001	77.276
38.700001	77.322
39.500000	77.384
40.000000	77.414
40.599998	77.441
41.200001	77.464
41.799999	77.487
42.500000	77.512
43.099998	77.528
43.700001	77.536
44.400002	77.543
45.000000	77.556
45.500000	77.580
46.200001	77.637
46.799999	77.709
47.500000	77.813
48.200001	77.927
48.700001	78.007
49.400002	78.109
50.000000	78.182
50.799999	78.256
51.500000	78.300
52.200001	78.327
53.000000	78.343
53.799999	78.346
54.500000	78.341
55.200001	78.332
56.000000	78.319
57.000000	78.303
58.000000	78.294
59.000000	78.296
60.000000	78.311
60.799999	78.329
61.500000	78.349
62.200001	78.372
63.000000	78.399
