* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jan 13 20:02:33, Jan 13 20:02:58
* Dated: 13-Jan-2022 20:03:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jan 13 20:02:33, Jan 13 20:02:58
* Measurement: YH802 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	91.375
20.299999	91.309
20.600000	91.256
20.900000	91.225
21.200001	91.222
21.400000	91.239
21.799999	91.306
22.000000	91.353
22.400000	91.459
22.700001	91.547
23.000000	91.640
23.299999	91.739
23.600000	91.841
24.000000	91.977
24.299999	92.073
24.700001	92.187
25.000000	92.258
25.400000	92.334
25.799999	92.391
26.200001	92.434
26.500000	92.459
26.900000	92.485
27.200001	92.500
27.600000	92.514
28.000000	92.519
28.500000	92.517
29.000000	92.517
29.500000	92.535
30.000000	92.575
30.400000	92.620
30.700001	92.661
31.100000	92.723
31.500000	92.791
32.000000	92.876
32.500000	92.953
33.000000	93.016
33.500000	93.067
34.000000	93.110
34.500000	93.145
35.000000	93.173
35.500000	93.194
36.000000	93.210
36.500000	93.223
37.000000	93.233
37.500000	93.237
38.200001	93.234
38.700001	93.228
39.500000	93.217
40.000000	93.213
40.599998	93.218
41.200001	93.231
41.799999	93.248
42.500000	93.264
43.099998	93.272
43.700001	93.275
44.400002	93.273
45.000000	93.265
45.500000	93.258
46.200001	93.252
46.799999	93.247
47.500000	93.238
48.200001	93.227
48.700001	93.217
49.400002	93.203
50.000000	93.188
50.799999	93.169
51.500000	93.156
52.200001	93.145
53.000000	93.127
53.799999	93.108
54.500000	93.096
55.200001	93.090
56.000000	93.085
57.000000	93.069
58.000000	93.044
59.000000	93.019
60.000000	92.996
60.799999	92.977
61.500000	92.962
62.200001	92.950
63.000000	92.944
64.000000	92.945
65.000000	92.945
66.000000	92.939
67.000000	92.931
68.000000	92.921
69.000000	92.905
70.000000	92.887
71.000000	92.873
72.000000	92.863
73.000000	92.858
74.000000	92.862
75.000000	92.869
76.199997	92.872
77.500000	92.867
78.800003	92.855
80.000000	92.843
81.199997	92.837
82.500000	92.834
83.800003	92.837
85.000000	92.843
86.199997	92.846
87.500000	92.844
88.500000	92.837
90.000000	92.822
91.199997	92.813
92.500000	92.812
93.800003	92.818
95.000000	92.827
96.199997	92.837
97.500000	92.843
98.800003	92.839
100.000000	92.827
101.500000	92.808
103.000000	92.794
104.400002	92.785
106.000000	92.769
107.500000	92.741
109.000000	92.698
110.599998	92.640
112.000000	92.586
113.800003	92.508
115.000000	92.447
117.199997	92.323
118.000000	92.282
120.599998	92.217
122.000000	92.255
124.099998	92.401
125.000000	92.479
126.500000	92.600
128.000000	92.696
131.500000	92.810
132.000000	92.818
134.000000	92.841
136.000000	92.851
138.000000	92.838
140.000000	92.805
143.000000	92.757
145.000000	92.729
147.500000	92.682
150.000000	92.622
152.500000	92.558
155.000000	92.494
157.500000	92.422
160.000000	92.344
162.500000	92.285
165.000000	92.267
167.500000	92.293
170.000000	92.338
172.500000	92.372
175.000000	92.376
177.500000	92.344
180.000000	92.289
182.500000	92.241
185.000000	92.216
187.500000	92.205
190.000000	92.197
192.500000	92.188
195.000000	92.177
197.500000	92.161
200.000000	92.136
203.000000	92.101
206.000000	92.069
209.000000	92.029
212.000000	91.979
214.000000	91.948
218.000000	91.887
220.000000	91.851
224.000000	91.775
227.000000	91.721
230.000000	91.668
233.000000	91.618
236.000000	91.569
240.000000	91.503
243.000000	91.453
247.000000	91.392
250.000000	91.342
254.000000	91.267
258.000000	91.191
262.000000	91.114
265.000000	91.061
269.000000	90.993
272.000000	90.943
276.000000	90.876
280.000000	90.812
285.000000	90.735
290.000000	90.658
295.000000	90.585
300.000000	90.515
304.000000	90.457
307.000000	90.416
311.000000	90.361
315.000000	90.302
320.000000	90.222
325.000000	90.146
330.000000	90.076
335.000000	90.007
340.000000	89.933
345.000000	89.856
350.000000	89.784
355.000000	89.719
360.000000	89.656
365.000000	89.589
370.000000	89.520
375.000000	89.452
382.000000	89.360
387.000000	89.295
395.000000	89.192
400.000000	89.128
406.000000	89.051
412.000000	88.974
418.000000	88.898
425.000000	88.822
431.000000	88.762
437.000000	88.701
444.000000	88.629
450.000000	88.566
455.000000	88.512
462.000000	88.433
468.000000	88.368
475.000000	88.303
482.000000	88.245
487.000000	88.200
494.000000	88.130
500.000000	88.071
508.000000	88.001
515.000000	87.941
522.000000	87.876
530.000000	87.803
538.000000	87.735
545.000000	87.675
552.000000	87.613
560.000000	87.543
570.000000	87.475
580.000000	87.424
590.000000	87.365
600.000000	87.299
608.000000	87.249
