* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jan 21 20:38:30, Jan 21 20:41:48
* Dated: 21-Jan-2022 20:43:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jan 21 20:38:30, Jan 21 20:41:48
* Measurement: S12 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	98.279
20.299999	98.286
20.600000	98.294
20.900000	98.303
21.200001	98.314
21.400000	98.323
21.799999	98.343
22.000000	98.355
22.400000	98.382
22.700001	98.403
23.000000	98.426
23.299999	98.449
23.600000	98.470
24.000000	98.497
24.299999	98.514
24.700001	98.534
25.000000	98.546
25.400000	98.558
25.799999	98.565
26.200001	98.569
26.500000	98.570
26.900000	98.568
27.200001	98.565
27.600000	98.560
28.000000	98.553
28.500000	98.545
29.000000	98.538
29.500000	98.535
30.000000	98.536
30.400000	98.538
30.700001	98.541
31.100000	98.546
31.500000	98.551
32.000000	98.556
32.500000	98.559
33.000000	98.561
33.500000	98.560
34.000000	98.558
34.500000	98.554
35.000000	98.550
35.500000	98.546
36.000000	98.541
36.500000	98.535
37.000000	98.528
37.500000	98.519
38.200001	98.500
38.700001	98.483
39.500000	98.453
40.000000	98.435
40.599998	98.416
41.200001	98.400
41.799999	98.386
42.500000	98.372
43.099998	98.359
43.700001	98.345
44.400002	98.326
45.000000	98.309
45.500000	98.295
46.200001	98.273
46.799999	98.254
47.500000	98.230
48.200001	98.204
48.700001	98.185
49.400002	98.158
50.000000	98.135
50.799999	98.106
51.500000	98.082
52.200001	98.059
53.000000	98.032
53.799999	98.006
54.500000	97.982
55.200001	97.958
56.000000	97.930
57.000000	97.892
58.000000	97.852
59.000000	97.810
60.000000	97.768
60.799999	97.735
61.500000	97.707
62.200001	97.680
63.000000	97.651
64.000000	97.615
65.000000	97.579
66.000000	97.541
67.000000	97.501
68.000000	97.460
69.000000	97.416
70.000000	97.372
71.000000	97.328
72.000000	97.287
73.000000	97.247
74.000000	97.209
75.000000	97.172
76.199997	97.127
77.500000	97.075
78.800003	97.021
80.000000	96.970
81.199997	96.920
82.500000	96.868
83.800003	96.817
85.000000	96.771
86.199997	96.725
87.500000	96.672
88.500000	96.630
90.000000	96.567
91.199997	96.517
92.500000	96.464
93.800003	96.414
95.000000	96.369
96.199997	96.324
97.500000	96.275
98.800003	96.224
100.000000	96.176
101.500000	96.116
103.000000	96.059
104.400002	96.008
106.000000	95.950
107.500000	95.896
109.000000	95.841
110.599998	95.782
112.000000	95.731
113.800003	95.666
115.000000	95.623
117.199997	95.546
118.000000	95.518
120.599998	95.428
122.000000	95.381
124.099998	95.313
125.000000	95.284
126.500000	95.236
128.000000	95.188
131.500000	95.075
132.000000	95.059
134.000000	94.995
136.000000	94.933
138.000000	94.871
140.000000	94.809
143.000000	94.717
145.000000	94.658
147.500000	94.586
150.000000	94.517
152.500000	94.450
155.000000	94.387
157.500000	94.325
160.000000	94.265
162.500000	94.205
165.000000	94.144
167.500000	94.078
170.000000	94.006
172.500000	93.927
175.000000	93.844
177.500000	93.758
180.000000	93.675
182.500000	93.601
185.000000	93.537
187.500000	93.484
190.000000	93.439
192.500000	93.399
195.000000	93.359
197.500000	93.318
200.000000	93.276
203.000000	93.222
206.000000	93.167
209.000000	93.110
212.000000	93.053
214.000000	93.016
218.000000	92.941
220.000000	92.905
224.000000	92.833
227.000000	92.782
230.000000	92.732
233.000000	92.683
236.000000	92.636
240.000000	92.576
243.000000	92.531
247.000000	92.472
250.000000	92.428
254.000000	92.368
258.000000	92.307
262.000000	92.248
265.000000	92.204
269.000000	92.149
272.000000	92.110
276.000000	92.063
280.000000	92.020
285.000000	91.972
290.000000	91.931
295.000000	91.893
300.000000	91.858
304.000000	91.831
307.000000	91.812
311.000000	91.787
315.000000	91.762
320.000000	91.734
325.000000	91.705
330.000000	91.677
335.000000	91.647
340.000000	91.615
345.000000	91.582
350.000000	91.547
355.000000	91.513
360.000000	91.479
365.000000	91.445
370.000000	91.412
375.000000	91.380
382.000000	91.335
387.000000	91.305
395.000000	91.257
400.000000	91.229
406.000000	91.196
412.000000	91.166
418.000000	91.138
425.000000	91.110
431.000000	91.087
437.000000	91.066
444.000000	91.042
450.000000	91.021
455.000000	91.004
462.000000	90.981
468.000000	90.964
475.000000	90.945
482.000000	90.929
487.000000	90.919
494.000000	90.904
500.000000	90.892
508.000000	90.877
515.000000	90.865
522.000000	90.854
530.000000	90.842
538.000000	90.831
545.000000	90.822
552.000000	90.814
560.000000	90.808
570.000000	90.804
580.000000	90.803
590.000000	90.804
600.000000	90.805
608.000000	90.806
615.000000	90.809
622.000000	90.812
630.000000	90.818
640.000000	90.826
650.000000	90.838
660.000000	90.852
670.000000	90.870
680.000000	90.891
690.000000	90.915
700.000000	90.941
710.000000	90.968
720.000000	90.997
730.000000	91.029
740.000000	91.064
750.000000	91.101
762.000000	91.148
775.000000	91.202
788.000000	91.261
800.000000	91.318
812.000000	91.380
825.000000	91.451
838.000000	91.526
850.000000	91.599
862.000000	91.676
875.000000	91.763
885.000000	91.832
900.000000	91.940
912.000000	92.030
925.000000	92.131
938.000000	92.235
950.000000	92.333
962.000000	92.433
975.000000	92.543
988.000000	92.655
1000.000000	92.758
1015.000000	92.888
1030.000000	93.017
1044.000000	93.137
1060.000000	93.273
1075.000000	93.401
1090.000000	93.529
1106.000000	93.663
1120.000000	93.780
1138.000000	93.925
1150.000000	94.019
1172.000000	94.188
1180.000000	94.248
1206.000000	94.443
1220.000000	94.547
1241.000000	94.702
1250.000000	94.768
1265.000000	94.878
1280.000000	94.988
1315.000000	95.244
1320.000000	95.281
1340.000000	95.430
1360.000000	95.583
1380.000000	95.740
1400.000000	95.903
1430.000000	96.161
1450.000000	96.344
1475.000000	96.589
1500.000000	96.851
1525.000000	97.125
1550.000000	97.400
1575.000000	97.654
1600.000000	97.868
1625.000000	98.028
1650.000000	98.136
1675.000000	98.208
1700.000000	98.266
1725.000000	98.330
1750.000000	98.405
1775.000000	98.487
1800.000000	98.563
1825.000000	98.623
1850.000000	98.665
1875.000000	98.691
1900.000000	98.707
1925.000000	98.718
1950.000000	98.731
1975.000000	98.759
2000.000000	98.819
2030.000000	98.950
2060.000000	99.151
2090.000000	99.405
2120.000000	99.683
2140.000000	99.867
2180.000000	100.209
2200.000000	100.359
2240.000000	100.621
2270.000000	100.792
2300.000000	100.951
2330.000000	101.109
2360.000000	101.269
2400.000000	101.487
2430.000000	101.647
2470.000000	101.843
2500.000000	101.969
2540.000000	102.101
2580.000000	102.190
2620.000000	102.236
2650.000000	102.246
2690.000000	102.228
2720.000000	102.195
2760.000000	102.128
2800.000000	102.038
2850.000000	101.901
2900.000000	101.743
2950.000000	101.567
3000.000000	101.381
3040.000000	101.227
3070.000000	101.112
3110.000000	100.958
3150.000000	100.804
3200.000000	100.611
3250.000000	100.414
3300.000000	100.210
3350.000000	99.999
3400.000000	99.785
3450.000000	99.578
3500.000000	99.389
3550.000000	99.232
3600.000000	99.116
3650.000000	99.041
3700.000000	98.993
3750.000000	98.954
3820.000000	98.870
3870.000000	98.766
3950.000000	98.505
4000.000000	98.289
4060.000000	97.999
4120.000000	97.714
4180.000000	97.480
4250.000000	97.329
4310.000000	97.317
4370.000000	97.395
4440.000000	97.555
4500.000000	97.717
4550.000000	97.854
4620.000000	98.039
4680.000000	98.189
4750.000000	98.353
4820.000000	98.507
4870.000000	98.611
4940.000000	98.748
5000.000000	98.859
5080.000000	98.996
5150.000000	99.108
5220.000000	99.213
5300.000000	99.325
5380.000000	99.424
5450.000000	99.491
5520.000000	99.531
5600.000000	99.535
5700.000000	99.465
5800.000000	99.302
5900.000000	99.047
6000.000000	98.713
6080.000000	98.410
6150.000000	98.141
6220.000000	97.887
6300.000000	97.637
6400.000000	97.409
6500.000000	97.278
6600.000000	97.222
6700.000000	97.203
6800.000000	97.195
6900.000000	97.185
7000.000000	97.176
7100.000000	97.185
7200.000000	97.229
7300.000000	97.320
7400.000000	97.469
7500.000000	97.683
7620.000000	98.049
7750.000000	98.624
7880.000000	99.410
8000.000000	100.288
8120.000000	101.218
8250.000000	102.158
8380.000000	102.924
8500.000000	103.423
8620.000000	103.704
8750.000000	103.762
8850.000000	103.637
9000.000000	103.198
9120.000000	102.657
9250.000000	101.924
9380.000000	101.086
9500.000000	100.270
9620.000000	99.463
9750.000000	98.657
9880.000000	97.979
10000.000000	97.511
10150.000000	97.183
10300.000000	97.159
10440.000000	97.380
10600.000000	97.819
10750.000000	98.293
10900.000000	98.721
11060.000000	99.040
11200.000000	99.160
11380.000000	99.062
11500.000000	98.834
11720.000000	98.094
11800.000000	97.728
12060.000000	96.221
12200.000000	95.226
12410.000000	93.523
12500.000000	92.726
12650.000000	91.330
12800.000000	89.894
13150.000000	86.854
13200.000000	86.514
13400.000000	85.536
13600.000000	85.209
13800.000000	85.453
14000.000000	86.121
14300.000000	87.590
14500.000000	88.673
14750.000000	89.923
15000.000000	90.893
15250.000000	91.472
15500.000000	91.621
15750.000000	91.379
16000.000000	90.877
16250.000000	90.352
16500.000000	90.097
16750.000000	90.307
17000.000000	90.951
17250.000000	91.829
17500.000000	92.718
17750.000000	93.443
18000.000000	93.887
18250.000000	93.978
18500.000000	93.684
18750.000000	93.006
19000.000000	91.972
19250.000000	90.637
