* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 18, 2021 1:23:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pneuma L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	120.507	38.7927
20.299999	120.549	38.1068
20.600000	120.569	37.4873
20.900000	120.578	36.9491
21.200001	120.582	36.5072
21.400000	120.587	36.2479
21.799999	120.605	35.7595
22.000000	120.617	35.5057
22.400000	120.643	34.9491
22.700001	120.664	34.4922
23.000000	120.685	34.0091
23.299999	120.708	33.4922
23.600000	120.733	32.9242
24.000000	120.765	32.0701
24.299999	120.780	31.3760
24.700001	120.783	30.4590
25.000000	120.778	29.8496
25.400000	120.776	29.1923
25.799999	120.799	28.6531
26.200001	120.851	28.0801
26.500000	120.898	27.5539
26.900000	120.951	26.7262
27.200001	120.973	26.0865
27.600000	120.978	25.3460
28.000000	120.976	24.8338
28.500000	121.000	24.4356
29.000000	121.064	23.9920
29.500000	121.133	23.2785
30.000000	121.162	22.3839
30.400000	121.148	21.7292
30.700001	121.126	21.3501
31.100000	121.099	21.0031
31.500000	121.090	20.7612
32.000000	121.110	20.4195
32.500000	121.145	19.8781
33.000000	121.166	19.1426
33.500000	121.158	18.3586
34.000000	121.129	17.6912
34.500000	121.101	17.1973
35.000000	121.090	16.8062
35.500000	121.096	16.4027
36.000000	121.107	15.9421
36.500000	121.112	15.4652
37.000000	121.114	15.0259
37.500000	121.118	14.6241
38.200001	121.129	14.0643
38.700001	121.136	13.6553
39.500000	121.150	13.0108
40.000000	121.161	12.5908
40.599998	121.175	12.0437
41.200001	121.183	11.4744
41.799999	121.187	10.9171
42.500000	121.189	10.2901
43.099998	121.191	9.7724
43.700001	121.195	9.2616
44.400002	121.199	8.6260
45.000000	121.190	8.0484
45.500000	121.170	7.6067
46.200001	121.138	7.1235
46.799999	121.124	6.7905
47.500000	121.122	6.3617
48.200001	121.124	5.8517
