* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 23-Feb-2022 17:38:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = 99 Neo R VSG B = VSG to Crin
* Measurement: 99 Neo R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	93.503
20.299999	93.604
20.600000	93.693
20.900000	93.770
21.200001	93.833
21.400000	93.869
21.799999	93.928
22.000000	93.952
22.400000	93.993
22.700001	94.019
23.000000	94.042
23.299999	94.062
23.600000	94.082
24.000000	94.106
24.299999	94.124
24.700001	94.151
25.000000	94.174
25.400000	94.211
25.799999	94.252
26.200001	94.298
26.500000	94.334
26.900000	94.381
27.200001	94.416
27.600000	94.461
28.000000	94.506
28.500000	94.560
29.000000	94.610
29.500000	94.653
30.000000	94.688
30.400000	94.712
30.700001	94.729
31.100000	94.755
31.500000	94.785
32.000000	94.828
32.500000	94.875
33.000000	94.922
33.500000	94.967
34.000000	95.007
34.500000	95.043
35.000000	95.073
35.500000	95.100
36.000000	95.123
36.500000	95.144
37.000000	95.163
37.500000	95.182
38.200001	95.207
38.700001	95.223
39.500000	95.245
40.000000	95.254
40.599998	95.258
41.200001	95.256
41.799999	95.246
42.500000	95.227
43.099998	95.207
43.700001	95.187
44.400002	95.165
45.000000	95.150
45.500000	95.139
46.200001	95.122
46.799999	95.106
47.500000	95.084
48.200001	95.062
48.700001	95.048
49.400002	95.033
50.000000	95.024
50.799999	95.012
51.500000	94.997
52.200001	94.974
53.000000	94.941
53.799999	94.906
54.500000	94.876
55.200001	94.849
56.000000	94.821
57.000000	94.789
58.000000	94.752
59.000000	94.707
60.000000	94.651
60.799999	94.599
61.500000	94.549
62.200001	94.497
63.000000	94.435
64.000000	94.357
65.000000	94.283
66.000000	94.214
67.000000	94.151
68.000000	94.094
69.000000	94.043
70.000000	93.997
71.000000	93.955
72.000000	93.915
73.000000	93.877
74.000000	93.842
75.000000	93.811
76.199997	93.781
77.500000	93.757
78.800003	93.744
80.000000	93.739
81.199997	93.742
82.500000	93.750
83.800003	93.761
85.000000	93.772
86.199997	93.781
87.500000	93.791
88.500000	93.799
90.000000	93.816
91.199997	93.836
92.500000	93.868
93.800003	93.911
95.000000	93.961
96.199997	94.022
97.500000	94.099
98.800003	94.186
100.000000	94.274
101.500000	94.387
103.000000	94.499
104.400002	94.599
106.000000	94.708
107.500000	94.803
109.000000	94.892
110.599998	94.975
112.000000	95.036
113.800003	95.098
115.000000	95.130
117.199997	95.173
118.000000	95.185
120.599998	95.210
122.000000	95.219
124.099998	95.228
125.000000	95.232
126.500000	95.237
128.000000	95.243
131.500000	95.250
132.000000	95.249
134.000000	95.237
136.000000	95.213
138.000000	95.179
140.000000	95.141
143.000000	95.086
145.000000	95.056
147.500000	95.031
150.000000	95.018
152.500000	95.013
155.000000	95.009
157.500000	95.000
160.000000	94.982
162.500000	94.956
165.000000	94.926
167.500000	94.901
170.000000	94.886
172.500000	94.885
175.000000	94.897
177.500000	94.921
180.000000	94.953
182.500000	94.986
185.000000	95.017
187.500000	95.043
190.000000	95.062
192.500000	95.069
195.000000	95.062
197.500000	95.036
200.000000	94.992
203.000000	94.916
206.000000	94.823
209.000000	94.726
212.000000	94.636
214.000000	94.583
218.000000	94.493
220.000000	94.451
224.000000	94.350
227.000000	94.248
230.000000	94.120
233.000000	93.968
236.000000	93.805
240.000000	93.588
243.000000	93.437
247.000000	93.258
250.000000	93.138
254.000000	92.991
258.000000	92.850
262.000000	92.706
265.000000	92.594
269.000000	92.438
272.000000	92.316
276.000000	92.148
280.000000	91.975
285.000000	91.755
290.000000	91.527
295.000000	91.290
300.000000	91.039
304.000000	90.826
307.000000	90.658
311.000000	90.422
315.000000	90.172
320.000000	89.843
325.000000	89.500
330.000000	89.155
335.000000	88.827
340.000000	88.543
345.000000	88.333
350.000000	88.212
355.000000	88.165
360.000000	88.148
365.000000	88.107
370.000000	88.006
375.000000	87.833
382.000000	87.487
387.000000	87.187
395.000000	86.658
400.000000	86.327
406.000000	85.969
412.000000	85.688
418.000000	85.504
425.000000	85.426
431.000000	85.501
437.000000	85.733
444.000000	86.165
450.000000	86.555
455.000000	86.796
462.000000	86.910
468.000000	86.797
475.000000	86.516
482.000000	86.222
487.000000	86.069
494.000000	85.957
500.000000	85.943
508.000000	86.001
515.000000	86.101
522.000000	86.230
530.000000	86.388
538.000000	86.529
545.000000	86.622
552.000000	86.684
560.000000	86.728
570.000000	86.765
580.000000	86.806
590.000000	86.864
600.000000	86.940
608.000000	87.006
615.000000	87.060
622.000000	87.112
630.000000	87.176
640.000000	87.277
650.000000	87.408
660.000000	87.545
670.000000	87.663
680.000000	87.798
690.000000	88.031
700.000000	88.361
710.000000	88.627
720.000000	88.645
730.000000	88.380
740.000000	87.979
750.000000	87.658
762.000000	87.529
775.000000	87.621
788.000000	87.772
800.000000	87.880
812.000000	87.949
825.000000	88.002
838.000000	88.059
850.000000	88.119
862.000000	88.169
875.000000	88.162
885.000000	88.086
900.000000	87.858
912.000000	87.614
925.000000	87.334
938.000000	87.072
950.000000	86.872
962.000000	86.737
975.000000	86.678
988.000000	86.706
1000.000000	86.793
1015.000000	86.959
1030.000000	87.164
1044.000000	87.373
1060.000000	87.616
1075.000000	87.830
1090.000000	88.015
1106.000000	88.166
1120.000000	88.250
1138.000000	88.287
1150.000000	88.275
1172.000000	88.216
1180.000000	88.194
1206.000000	88.172
1220.000000	88.227
1241.000000	88.415
1250.000000	88.523
1265.000000	88.714
1280.000000	88.893
1315.000000	89.202
1320.000000	89.232
1340.000000	89.315
1360.000000	89.337
1380.000000	89.312
1400.000000	89.269
1430.000000	89.225
1450.000000	89.226
1475.000000	89.257
1500.000000	89.323
1525.000000	89.469
1550.000000	89.735
1575.000000	90.069
