* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 31-Jan-2022 19:03:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = Liric R VSG B = VSG to Crin
* Measurement: Liric R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	89.157
20.299999	89.211
20.600000	89.259
20.900000	89.296
21.200001	89.323
21.400000	89.336
21.799999	89.352
22.000000	89.357
22.400000	89.366
22.700001	89.374
23.000000	89.382
23.299999	89.388
23.600000	89.394
24.000000	89.399
24.299999	89.401
24.700001	89.406
25.000000	89.414
25.400000	89.431
25.799999	89.457
26.200001	89.490
26.500000	89.516
26.900000	89.550
27.200001	89.575
27.600000	89.608
28.000000	89.643
28.500000	89.694
29.000000	89.747
29.500000	89.792
30.000000	89.821
30.400000	89.837
30.700001	89.848
31.100000	89.868
31.500000	89.898
32.000000	89.949
32.500000	90.007
33.000000	90.065
33.500000	90.116
34.000000	90.162
34.500000	90.203
35.000000	90.238
35.500000	90.266
36.000000	90.285
36.500000	90.298
37.000000	90.306
37.500000	90.309
38.200001	90.304
38.700001	90.295
39.500000	90.274
40.000000	90.252
40.599998	90.216
41.200001	90.173
41.799999	90.127
42.500000	90.065
43.099998	90.007
43.700001	89.953
44.400002	89.904
45.000000	89.874
45.500000	89.853
46.200001	89.822
46.799999	89.792
47.500000	89.750
48.200001	89.707
48.700001	89.682
49.400002	89.666
50.000000	89.669
50.799999	89.682
51.500000	89.686
52.200001	89.678
53.000000	89.666
53.799999	89.660
54.500000	89.664
55.200001	89.678
56.000000	89.708
57.000000	89.756
58.000000	89.801
59.000000	89.833
60.000000	89.848
60.799999	89.851
61.500000	89.848
62.200001	89.842
63.000000	89.834
64.000000	89.826
65.000000	89.827
66.000000	89.839
67.000000	89.861
68.000000	89.891
69.000000	89.927
70.000000	89.966
71.000000	90.006
72.000000	90.045
73.000000	90.080
74.000000	90.111
75.000000	90.141
76.199997	90.178
77.500000	90.219
78.800003	90.256
80.000000	90.289
81.199997	90.319
82.500000	90.350
83.800003	90.377
85.000000	90.396
86.199997	90.409
87.500000	90.420
88.500000	90.427
90.000000	90.437
91.199997	90.443
92.500000	90.445
93.800003	90.438
95.000000	90.423
96.199997	90.401
97.500000	90.374
98.800003	90.347
100.000000	90.322
101.500000	90.285
103.000000	90.237
104.400002	90.178
106.000000	90.102
107.500000	90.030
109.000000	89.959
110.599998	89.875
112.000000	89.790
113.800003	89.668
115.000000	89.582
117.199997	89.421
118.000000	89.361
120.599998	89.158
122.000000	89.044
124.099998	88.866
125.000000	88.786
126.500000	88.653
128.000000	88.522
131.500000	88.239
132.000000	88.201
134.000000	88.045
136.000000	87.891
138.000000	87.742
140.000000	87.597
143.000000	87.386
145.000000	87.247
147.500000	87.080
150.000000	86.921
152.500000	86.773
155.000000	86.632
157.500000	86.494
160.000000	86.352
162.500000	86.203
165.000000	86.053
167.500000	85.918
170.000000	85.803
172.500000	85.709
175.000000	85.634
177.500000	85.581
180.000000	85.544
182.500000	85.514
185.000000	85.486
187.500000	85.466
190.000000	85.455
192.500000	85.449
195.000000	85.437
197.500000	85.413
200.000000	85.374
203.000000	85.317
206.000000	85.261
209.000000	85.222
212.000000	85.218
214.000000	85.237
218.000000	85.321
220.000000	85.373
224.000000	85.459
227.000000	85.480
230.000000	85.456
233.000000	85.397
236.000000	85.322
240.000000	85.234
243.000000	85.191
247.000000	85.167
250.000000	85.172
254.000000	85.199
258.000000	85.238
262.000000	85.279
265.000000	85.310
269.000000	85.347
272.000000	85.364
276.000000	85.373
280.000000	85.381
285.000000	85.404
290.000000	85.430
295.000000	85.462
300.000000	85.502
304.000000	85.530
307.000000	85.543
311.000000	85.550
315.000000	85.548
320.000000	85.531
325.000000	85.496
330.000000	85.443
335.000000	85.391
340.000000	85.368
345.000000	85.417
350.000000	85.592
355.000000	85.905
360.000000	86.281
365.000000	86.600
370.000000	86.790
375.000000	86.855
382.000000	86.812
387.000000	86.722
395.000000	86.476
400.000000	86.271
406.000000	86.039
412.000000	85.901
418.000000	85.859
425.000000	85.834
431.000000	85.831
437.000000	85.986
444.000000	86.552
450.000000	87.251
455.000000	87.719
462.000000	87.851
468.000000	87.466
475.000000	86.806
482.000000	86.352
487.000000	86.220
494.000000	86.193
500.000000	86.229
508.000000	86.312
515.000000	86.427
522.000000	86.593
530.000000	86.817
538.000000	87.008
545.000000	87.106
552.000000	87.146
560.000000	87.158
570.000000	87.163
580.000000	87.180
590.000000	87.223
600.000000	87.309
608.000000	87.387
615.000000	87.440
622.000000	87.472
630.000000	87.491
640.000000	87.544
650.000000	87.696
660.000000	87.916
670.000000	88.037
680.000000	87.923
690.000000	87.900
700.000000	88.545
710.000000	89.462
720.000000	89.688
730.000000	88.940
740.000000	87.965
750.000000	87.650
762.000000	87.916
775.000000	88.322
788.000000	88.657
800.000000	88.855
812.000000	88.978
825.000000	89.091
838.000000	89.219
850.000000	89.372
862.000000	89.599
875.000000	89.833
885.000000	89.868
900.000000	89.700
912.000000	89.553
925.000000	89.456
938.000000	89.352
950.000000	89.227
962.000000	89.148
975.000000	89.152
988.000000	89.178
1000.000000	89.193
1015.000000	89.225
1030.000000	89.282
1044.000000	89.377
1060.000000	89.555
1075.000000	89.749
1090.000000	89.936
1106.000000	90.122
1120.000000	90.236
1138.000000	90.256
1150.000000	90.200
1172.000000	90.051
1180.000000	89.995
1206.000000	89.741
1220.000000	89.635
1241.000000	89.724
1250.000000	89.812
1265.000000	89.922
1280.000000	89.953
1315.000000	89.873
1320.000000	89.854
1340.000000	89.755
1360.000000	89.590
1380.000000	89.365
1400.000000	89.158
1430.000000	88.973
1450.000000	88.933
1475.000000	88.942
1500.000000	88.894
1525.000000	88.841
1550.000000	89.046
1575.000000	89.499
1600.000000	89.922
1625.000000	89.970
1650.000000	89.527
1675.000000	88.931
1700.000000	88.648
1725.000000	88.667
1750.000000	88.672
1775.000000	88.513
1800.000000	88.194
1825.000000	87.851
1850.000000	87.839
1875.000000	88.294
1900.000000	88.909
1925.000000	89.421
1950.000000	89.834
1975.000000	90.254
2000.000000	90.720
2030.000000	91.305
2060.000000	91.918
2090.000000	92.517
2120.000000	93.020
2140.000000	93.271
2180.000000	93.553
2200.000000	93.622
2240.000000	93.664
2270.000000	93.605
2300.000000	93.553
2330.000000	93.623
2360.000000	93.817
2400.000000	94.038
2430.000000	94.045
2470.000000	93.973
2500.000000	93.990
2540.000000	94.064
2580.000000	94.052
2620.000000	93.920
2650.000000	93.775
2690.000000	93.562
2720.000000	93.408
2760.000000	93.120
2800.000000	92.646
2850.000000	92.129
2900.000000	92.255
2950.000000	92.922
3000.000000	93.557
3040.000000	93.795
3070.000000	93.795
3110.000000	93.619
3150.000000	93.372
3200.000000	93.164
3250.000000	93.130
