* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: 25-Feb-2022 18:10:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = M1070 Leather L VSG B = VSG to Crin
* Measurement: M1070 Leather R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.592
20.299999	71.673
20.600000	71.747
20.900000	71.813
21.200001	71.869
21.400000	71.900
21.799999	71.948
22.000000	71.967
22.400000	72.001
22.700001	72.026
23.000000	72.051
23.299999	72.075
23.600000	72.096
24.000000	72.119
24.299999	72.136
24.700001	72.169
25.000000	72.208
25.400000	72.288
25.799999	72.394
26.200001	72.513
26.500000	72.601
26.900000	72.708
27.200001	72.778
27.600000	72.859
28.000000	72.927
28.500000	72.995
29.000000	73.044
29.500000	73.075
30.000000	73.098
30.400000	73.119
30.700001	73.135
31.100000	73.159
31.500000	73.183
32.000000	73.211
32.500000	73.239
33.000000	73.264
33.500000	73.283
34.000000	73.291
34.500000	73.288
35.000000	73.280
35.500000	73.273
36.000000	73.270
36.500000	73.268
37.000000	73.264
37.500000	73.258
38.200001	73.247
38.700001	73.240
39.500000	73.229
40.000000	73.217
40.599998	73.196
41.200001	73.172
41.799999	73.153
42.500000	73.138
43.099998	73.128
43.700001	73.117
44.400002	73.106
45.000000	73.102
45.500000	73.107
46.200001	73.128
46.799999	73.161
47.500000	73.214
48.200001	73.280
48.700001	73.331
49.400002	73.407
50.000000	73.472
50.799999	73.555
51.500000	73.622
52.200001	73.680
53.000000	73.736
53.799999	73.786
54.500000	73.830
55.200001	73.877
56.000000	73.933
57.000000	74.005
58.000000	74.073
59.000000	74.131
60.000000	74.175
60.799999	74.198
61.500000	74.207
62.200001	74.207
63.000000	74.196
64.000000	74.172
65.000000	74.142
66.000000	74.113
67.000000	74.091
68.000000	74.077
69.000000	74.070
70.000000	74.067
71.000000	74.066
72.000000	74.066
73.000000	74.068
74.000000	74.073
75.000000	74.085
76.199997	74.110
77.500000	74.153
78.800003	74.208
80.000000	74.265
81.199997	74.325
82.500000	74.389
83.800003	74.447
85.000000	74.492
86.199997	74.531
87.500000	74.566
88.500000	74.592
90.000000	74.631
91.199997	74.661
92.500000	74.691
93.800003	74.714
95.000000	74.729
96.199997	74.740
97.500000	74.749
98.800003	74.757
100.000000	74.764
101.500000	74.770
103.000000	74.773
104.400002	74.771
106.000000	74.766
107.500000	74.759
109.000000	74.749
110.599998	74.735
112.000000	74.720
113.800003	74.698
115.000000	74.683
117.199997	74.653
118.000000	74.640
120.599998	74.589
122.000000	74.556
124.099998	74.500
125.000000	74.474
126.500000	74.432
128.000000	74.391
131.500000	74.302
132.000000	74.290
134.000000	74.243
136.000000	74.198
138.000000	74.156
140.000000	74.115
143.000000	74.052
145.000000	74.009
