* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jul 2 19:36:20, Jul 2 19:36:43
* Dated: Jul 2, 2021 7:40:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jul 2 19:36:20, Jul 2 19:36:43
* Measurement: Monoprice TWS L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 21.5 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
21.497	90.250	0
21.810	90.300	0
22.127	90.404	0
22.449	90.514	0
22.776	90.625	0
23.107	90.740	0
23.443	90.859	0
23.784	90.982	0
24.130	91.109	0
24.481	91.238	0
24.837	91.368	0
25.198	91.499	0
25.565	91.629	0
25.937	91.757	0
26.314	91.880	0
26.697	91.998	0
27.085	92.110	0
27.479	92.218	0
27.879	92.321	0
28.284	92.421	0
28.696	92.518	0
29.113	92.615	0
29.537	92.712	0
29.966	92.811	0
30.402	92.914	0
30.844	93.022	0
31.293	93.138	0
31.748	93.262	0
32.210	93.395	0
32.678	93.536	0
33.154	93.685	0
33.636	93.839	0
34.125	93.998	0
34.621	94.159	0
35.125	94.321	0
35.636	94.484	0
36.154	94.648	0
36.680	94.812	0
37.214	94.978	0
37.755	95.144	0
38.304	95.311	0
38.861	95.480	0
39.427	95.648	0
40.000	95.817	0
40.582	95.984	0
41.172	96.150	0
41.771	96.312	0
42.379	96.469	0
42.995	96.621	0
43.620	96.767	0
44.255	96.906	0
44.898	97.038	0
45.552	97.162	0
46.214	97.279	0
46.886	97.388	0
47.568	97.489	0
48.260	97.582	0
48.962	97.667	0
49.674	97.745	0
50.397	97.814	0
51.130	97.875	0
51.874	97.927	0
52.628	97.972	0
53.394	98.008	0
54.170	98.036	0
54.958	98.056	0
55.758	98.069	0
56.569	98.073	0
57.391	98.070	0
58.226	98.059	0
59.073	98.041	0
59.932	98.016	0
60.804	97.984	0
61.688	97.946	0
62.586	97.901	0
63.496	97.849	0
64.420	97.792	0
65.357	97.729	0
66.307	97.660	0
67.272	97.586	0
68.250	97.506	0
69.243	97.421	0
70.250	97.331	0
71.272	97.236	0
72.309	97.136	0
73.360	97.032	0
74.427	96.922	0
75.510	96.808	0
76.608	96.689	0
77.723	96.565	0
78.853	96.437	0
80.000	96.305	0
81.164	96.169	0
82.344	96.029	0
83.542	95.886	0
84.757	95.739	0
85.990	95.590	0
87.241	95.437	0
88.510	95.281	0
89.797	95.122	0
91.103	94.960	0
92.428	94.796	0
93.773	94.630	0
95.137	94.461	0
96.520	94.292	0
97.924	94.121	0
99.349	93.950	0
100.794	93.779	0
102.260	93.609	0
103.747	93.440	0
105.256	93.272	0
106.787	93.106	0
108.340	92.943	0
109.916	92.782	0
111.515	92.626	0
113.137	92.474	0
114.783	92.327	0
116.452	92.187	0
118.146	92.056	0
119.865	91.934	0
121.608	91.825	0
123.377	91.730	0
125.171	91.652	0
126.992	91.591	0
128.839	91.548	0
130.713	91.523	0
132.615	91.514	0
134.543	91.520	0
136.500	91.538	0
138.486	91.565	0
140.500	91.599	0
142.544	91.638	0
144.617	91.679	0
146.721	91.720	0
148.855	91.760	0
151.020	91.795	0
153.217	91.825	0
155.445	91.847	0
157.706	91.861	0
160.000	91.866	0
162.327	91.863	0
164.688	91.851	0
167.084	91.831	0
169.514	91.805	0
171.980	91.773	0
174.481	91.736	0
177.019	91.693	0
179.594	91.647	0
182.206	91.596	0
184.856	91.542	0
187.545	91.483	0
190.273	91.422	0
193.041	91.356	0
195.849	91.287	0
198.697	91.215	0
201.587	91.139	0
204.520	91.059	0
207.494	90.975	0
210.512	90.887	0
213.574	90.796	0
216.681	90.700	0
219.833	90.601	0
223.030	90.498	0
226.274	90.391	0
229.565	90.280	0
232.905	90.166	0
236.292	90.048	0
239.729	89.927	0
243.216	89.803	0
246.754	89.675	0
250.343	89.543	0
253.984	89.408	0
257.678	89.270	0
261.426	89.129	0
265.229	88.985	0
269.087	88.839	0
273.001	88.691	0
276.972	88.541	0
281.000	88.390	0
285.088	88.238	0
289.234	88.087	0
293.441	87.938	0
297.710	87.790	0
302.040	87.645	0
306.433	87.504	0
310.890	87.367	0
315.412	87.236	0
320.000	87.112	0
324.655	86.995	0
329.377	86.887	0
334.168	86.787	0
339.028	86.697	0
343.959	86.617	0
348.962	86.547	0
354.038	86.487	0
359.188	86.439	0
364.412	86.400	0
369.713	86.372	0
375.090	86.354	0
380.546	86.345	0
386.081	86.345	0
391.697	86.353	0
397.395	86.368	0
403.175	86.390	0
409.039	86.417	0
414.989	86.449	0
421.025	86.485	0
427.149	86.523	0
433.362	86.565	0
439.665	86.607	0
446.060	86.651	0
452.548	86.696	0
459.131	86.741	0
465.809	86.786	0
472.584	86.831	0
479.458	86.876	0
486.432	86.920	0
493.507	86.964	0
500.686	87.007	0
507.968	87.049	0
515.357	87.089	0
522.853	87.129	0
530.458	87.167	0
538.174	87.204	0
546.002	87.240	0
553.943	87.274	0
562.001	87.307	0
570.175	87.340	0
578.469	87.371	0
586.883	87.403	0
595.419	87.435	0
604.080	87.468	0
612.866	87.503	0
621.780	87.541	0
630.824	87.584	0
640.000	87.632	0
649.309	87.684	0
658.753	87.741	0
668.335	87.801	0
678.056	87.862	0
687.919	87.921	0
697.925	87.977	0
708.076	88.029	0
718.376	88.073	0
728.825	88.112	0
739.426	88.143	0
750.181	88.168	0
761.093	88.188	0
772.163	88.203	0
783.394	88.215	0
794.789	88.223	0
806.349	88.230	0
818.078	88.234	0
829.977	88.239	0
842.050	88.242	0
854.297	88.247	0
866.724	88.251	0
879.330	88.257	0
892.120	88.265	0
905.097	88.274	0
918.262	88.286	0
931.618	88.301	0
945.169	88.318	0
958.917	88.339	0
972.864	88.363	0
987.015	88.390	0
1001.371	88.420	0
1015.937	88.452	0
1030.714	88.488	0
1045.706	88.525	0
1060.916	88.565	0
1076.347	88.606	0
1092.003	88.649	0
1107.887	88.692	0
1124.001	88.735	0
1140.350	88.778	0
1156.937	88.820	0
1173.765	88.861	0
1190.838	88.901	0
1208.159	88.938	0
1225.732	88.974	0
1243.561	89.008	0
1261.649	89.041	0
1280.000	89.071	0
1298.618	89.100	0
1317.507	89.128	0
1336.670	89.154	0
1356.113	89.179	0
1375.838	89.204	0
1395.850	89.228	0
1416.153	89.251	0
1436.751	89.276	0
1457.649	89.302	0
1478.851	89.333	0
1500.362	89.369	0
1522.185	89.415	0
1544.326	89.472	0
1566.789	89.544	0
1589.578	89.631	0
1612.699	89.735	0
1636.156	89.854	0
1659.955	89.985	0
1684.099	90.125	0
1708.595	90.268	0
1733.447	90.410	0
1758.661	90.548	0
1784.241	90.678	0
1810.193	90.800	0
1836.523	90.914	0
1863.236	91.020	0
1890.338	91.121	0
1917.833	91.218	0
1945.729	91.314	0
1974.030	91.410	0
2002.743	91.508	0
2031.873	91.611	0
2061.428	91.720	0
2091.412	91.837	0
2121.832	91.964	0
2152.695	92.103	0
2184.007	92.255	0
2215.774	92.422	0
2248.003	92.602	0
2280.701	92.795	0
2313.874	92.999	0
2347.530	93.212	0
2381.676	93.430	0
2416.318	93.651	0
2451.464	93.875	0
2487.122	94.098	0
2523.298	94.321	0
2560.000	94.542	0
2597.236	94.762	0
2635.014	94.980	0
2673.341	95.195	0
2712.226	95.406	0
2751.676	95.611	0
2791.700	95.809	0
2832.306	95.998	0
2873.503	96.173	0
2915.299	96.334	0
2957.703	96.477	0
3000.724	96.599	0
3044.370	96.698	0
3088.652	96.771	0
3133.577	96.816	0
3179.156	96.831	0
3225.398	96.815	0
3272.312	96.768	0
3319.909	96.689	0
3368.198	96.579	0
3417.190	96.439	0
3466.894	96.273	0
3517.321	96.081	0
3568.482	95.869	0
3620.387	95.640	0
3673.046	95.398	0
3726.472	95.151	0
3780.675	94.903	0
3835.666	94.661	0
3891.457	94.434	0
3948.060	94.227	0
4005.486	94.049	0
4063.747	93.907	0
4122.855	93.806	0
4182.824	93.753	0
4243.664	93.749	0
4305.390	93.796	0
4368.013	93.894	0
4431.547	94.039	0
4496.005	94.228	0
