* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 24-Apr-2022 20:12:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = A times B B = TX-901 R VSG B was scaled by 111.3 dB
* Measurement: TX-901 R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	78.970
20.299999	79.025
20.600000	79.075
20.900000	79.120
21.200001	79.158
21.400000	79.180
21.799999	79.217
22.000000	79.233
22.400000	79.261
22.700001	79.280
23.000000	79.297
23.299999	79.312
23.600000	79.324
24.000000	79.335
24.299999	79.340
24.700001	79.344
25.000000	79.345
25.400000	79.345
25.799999	79.344
26.200001	79.343
26.500000	79.341
26.900000	79.340
27.200001	79.341
27.600000	79.344
28.000000	79.350
28.500000	79.355
29.000000	79.351
29.500000	79.333
30.000000	79.303
30.400000	79.275
30.700001	79.254
31.100000	79.229
31.500000	79.210
32.000000	79.195
32.500000	79.187
33.000000	79.183
33.500000	79.178
34.000000	79.171
34.500000	79.160
35.000000	79.145
35.500000	79.122
36.000000	79.088
36.500000	79.039
37.000000	78.971
37.500000	78.885
38.200001	78.736
38.700001	78.617
39.500000	78.430
40.000000	78.329
40.599998	78.237
41.200001	78.183
41.799999	78.169
42.500000	78.192
43.099998	78.235
43.700001	78.289
44.400002	78.353
45.000000	78.401
45.500000	78.433
46.200001	78.465
46.799999	78.481
47.500000	78.486
48.200001	78.481
48.700001	78.472
49.400002	78.456
50.000000	78.439
50.799999	78.415
51.500000	78.394
52.200001	78.375
53.000000	78.358
53.799999	78.350
54.500000	78.351
55.200001	78.364
56.000000	78.390
57.000000	78.438
58.000000	78.494
59.000000	78.543
60.000000	78.571
60.799999	78.571
61.500000	78.553
62.200001	78.519
63.000000	78.462
64.000000	78.374
65.000000	78.281
66.000000	78.200
67.000000	78.140
68.000000	78.106
69.000000	78.096
70.000000	78.100
71.000000	78.111
72.000000	78.119
73.000000	78.119
74.000000	78.113
75.000000	78.102
76.199997	78.086
77.500000	78.072
78.800003	78.063
80.000000	78.059
81.199997	78.056
82.500000	78.050
83.800003	78.043
85.000000	78.035
86.199997	78.028
87.500000	78.021
88.500000	78.018
90.000000	78.014
91.199997	78.011
92.500000	78.007
93.800003	78.003
95.000000	78.000
96.199997	77.997
97.500000	77.994
98.800003	77.991
100.000000	77.989
101.500000	77.987
103.000000	77.985
104.400002	77.984
106.000000	77.984
107.500000	77.985
109.000000	77.988
110.599998	77.992
112.000000	77.998
113.800003	78.008
115.000000	78.016
117.199997	78.035
118.000000	78.043
120.599998	78.072
122.000000	78.090
124.099998	78.117
125.000000	78.129
126.500000	78.148
128.000000	78.167
131.500000	78.208
132.000000	78.213
134.000000	78.234
136.000000	78.253
138.000000	78.270
140.000000	78.287
143.000000	78.309
145.000000	78.323
147.500000	78.339
150.000000	78.356
152.500000	78.375
155.000000	78.395
157.500000	78.417
160.000000	78.441
162.500000	78.467
165.000000	78.495
167.500000	78.526
170.000000	78.558
172.500000	78.591
175.000000	78.625
177.500000	78.659
180.000000	78.690
182.500000	78.717
185.000000	78.736
187.500000	78.745
190.000000	78.739
192.500000	78.715
195.000000	78.667
197.500000	78.593
200.000000	78.491
203.000000	78.333
206.000000	78.144
209.000000	77.935
212.000000	77.726
214.000000	77.594
218.000000	77.370
220.000000	77.281
224.000000	77.151
227.000000	77.088
230.000000	77.043
233.000000	77.008
236.000000	76.976
240.000000	76.928
243.000000	76.889
247.000000	76.837
250.000000	76.802
254.000000	76.770
258.000000	76.763
262.000000	76.783
265.000000	76.815
269.000000	76.878
272.000000	76.937
276.000000	77.026
280.000000	77.122
285.000000	77.247
290.000000	77.369
295.000000	77.488
300.000000	77.602
304.000000	77.690
307.000000	77.755
311.000000	77.841
315.000000	77.926
320.000000	78.034
325.000000	78.141
330.000000	78.248
335.000000	78.352
340.000000	78.448
345.000000	78.530
350.000000	78.593
355.000000	78.627
360.000000	78.626
365.000000	78.583
370.000000	78.494
375.000000	78.362
382.000000	78.130
387.000000	77.961
395.000000	77.764
400.000000	77.714
406.000000	77.734
412.000000	77.823
418.000000	77.954
425.000000	78.129
431.000000	78.278
437.000000	78.416
444.000000	78.559
450.000000	78.665
455.000000	78.743
462.000000	78.833
468.000000	78.890
475.000000	78.915
482.000000	78.876
487.000000	78.794
494.000000	78.593
500.000000	78.341
508.000000	77.917
515.000000	77.519
522.000000	77.157
530.000000	76.856
538.000000	76.704
545.000000	76.686
552.000000	76.751
560.000000	76.899
570.000000	77.152
580.000000	77.446
590.000000	77.752
600.000000	78.054
608.000000	78.287
615.000000	78.483
622.000000	78.672
630.000000	78.884
640.000000	79.151
650.000000	79.427
660.000000	79.722
670.000000	80.036
680.000000	80.369
690.000000	80.715
700.000000	81.070
710.000000	81.423
720.000000	81.765
730.000000	82.078
740.000000	82.337
750.000000	82.509
762.000000	82.553
775.000000	82.339
788.000000	81.809
800.000000	81.052
812.000000	80.113
825.000000	79.039
838.000000	78.097
850.000000	77.474
862.000000	77.124
875.000000	76.998
885.000000	77.018
900.000000	77.138
912.000000	77.255
925.000000	77.377
938.000000	77.493
950.000000	77.603
962.000000	77.720
975.000000	77.853
988.000000	77.982
1000.000000	78.096
1015.000000	78.244
1030.000000	78.435
1044.000000	78.679
1060.000000	79.041
1075.000000	79.432
1090.000000	79.830
1106.000000	80.219
1120.000000	80.504
1138.000000	80.777
1150.000000	80.901
1172.000000	81.036
1180.000000	81.065
1206.000000	81.143
1220.000000	81.207
1241.000000	81.345
1250.000000	81.403
1265.000000	81.474
1280.000000	81.493
1315.000000	81.375
1320.000000	81.349
1340.000000	81.241
1360.000000	81.122
1380.000000	80.984
1400.000000	80.823
1430.000000	80.556
1450.000000	80.365
1475.000000	80.107
1500.000000	79.834
1525.000000	79.589
1550.000000	79.418
1575.000000	79.285
1600.000000	79.079
1625.000000	78.698
1650.000000	78.134
1675.000000	77.490
1700.000000	76.918
1725.000000	76.512
1750.000000	76.290
1775.000000	76.241
1800.000000	76.356
1825.000000	76.630
1850.000000	77.043
1875.000000	77.525
1900.000000	77.976
1925.000000	78.321
1950.000000	78.554
1975.000000	78.709
2000.000000	78.826
2030.000000	78.944
2060.000000	79.033
2090.000000	79.066
2120.000000	79.012
2140.000000	78.918
2180.000000	78.598
2200.000000	78.383
2240.000000	77.889
2270.000000	77.506
2300.000000	77.156
2330.000000	76.868
2360.000000	76.643
2400.000000	76.396
2430.000000	76.219
2470.000000	75.998
2500.000000	75.861
2540.000000	75.720
2580.000000	75.604
2620.000000	75.492
2650.000000	75.416
2690.000000	75.337
2720.000000	75.298
2760.000000	75.266
2800.000000	75.267
2850.000000	75.425
2900.000000	75.909
2950.000000	76.661
3000.000000	77.406
3040.000000	77.834
3070.000000	78.023
3110.000000	78.109
3150.000000	78.054
3200.000000	77.879
3250.000000	77.660
3300.000000	77.413
3350.000000	77.120
3400.000000	76.760
3450.000000	76.330
3500.000000	75.848
3550.000000	75.346
3600.000000	74.864
3650.000000	74.439
3700.000000	74.103
3750.000000	73.856
3820.000000	73.624
3870.000000	73.523
3950.000000	73.522
4000.000000	73.651
4060.000000	73.924
4120.000000	74.292
4180.000000	74.729
4250.000000	75.308
4310.000000	75.846
4370.000000	76.399
4440.000000	77.029
4500.000000	77.522
4550.000000	77.873
4620.000000	78.241
4680.000000	78.421
4750.000000	78.461
4820.000000	78.324
4870.000000	78.126
4940.000000	77.734
5000.000000	77.316
5080.000000	76.705
5150.000000	76.190
5220.000000	75.771
5300.000000	75.504
5380.000000	75.510
5450.000000	75.699
5520.000000	75.971
5600.000000	76.283
5700.000000	76.595
5800.000000	76.820
5900.000000	77.016
6000.000000	77.266
6080.000000	77.551
6150.000000	77.873
6220.000000	78.260
6300.000000	78.762
6400.000000	79.420
6500.000000	80.011
6600.000000	80.425
6700.000000	80.590
6800.000000	80.496
6900.000000	80.185
7000.000000	79.734
7100.000000	79.238
7200.000000	78.798
7300.000000	78.514
7400.000000	78.467
7500.000000	78.684
7620.000000	79.216
7750.000000	79.924
7880.000000	80.564
8000.000000	81.003
8120.000000	81.261
8250.000000	81.305
8380.000000	81.082
8500.000000	80.649
8620.000000	80.027
8750.000000	79.179
8850.000000	78.434
9000.000000	77.297
9120.000000	76.577
9250.000000	76.222
9380.000000	76.347
9500.000000	76.747
9620.000000	77.252
9750.000000	77.763
9880.000000	78.116
10000.000000	78.235
10150.000000	78.073
10300.000000	77.594
10440.000000	76.906
10600.000000	75.884
10750.000000	74.739
10900.000000	73.502
11060.000000	72.267
11200.000000	71.459
11380.000000	70.978
11500.000000	71.006
11720.000000	71.664
11800.000000	72.077
12060.000000	73.883
12200.000000	74.952
12410.000000	76.294
12500.000000	76.697
12650.000000	77.082
12800.000000	77.096
13150.000000	75.904
13200.000000	75.637
13400.000000	74.468
13600.000000	73.268
13800.000000	72.100
14000.000000	70.913
14300.000000	68.925
14500.000000	67.416
14750.000000	65.420
15000.000000	63.598
15250.000000	62.442
15500.000000	62.485
15750.000000	63.754
16000.000000	65.472
16250.000000	66.848
16500.000000	67.574
16750.000000	67.675
17000.000000	67.291
17250.000000	66.533
17500.000000	65.465
17750.000000	64.145
18000.000000	62.657
18250.000000	61.115
18500.000000	59.647
18750.000000	58.366
19000.000000	57.371
19250.000000	56.753
19500.000000	56.515
19750.000000	56.501
