* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 12-Apr-2022 18:17:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = Apr 12 B = Apr 12 B was scaled by -0.8 dB and shifted by 0.002 ms to align a 0.7 degree phase difference
* Measurement: Hook-X L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.403	-119.9814
20.299999	90.462	-121.0479
20.600000	90.515	-122.0712
20.900000	90.563	-123.0419
21.200001	90.610	-123.9582
21.400000	90.642	-124.5431
21.799999	90.709	-125.6661
22.000000	90.744	-126.2138
22.400000	90.818	-127.3020
22.700001	90.874	-128.1246
23.000000	90.931	-128.9599
23.299999	90.984	-129.8079
23.600000	91.034	-130.6639
24.000000	91.093	-131.8058
24.299999	91.132	-132.6496
24.700001	91.176	-133.7418
25.000000	91.206	-134.5283
25.400000	91.242	-135.5317
25.799999	91.279	-136.4936
26.200001	91.317	-137.4336
26.500000	91.345	-138.1358
26.900000	91.381	-139.0752
27.200001	91.404	-139.7791
27.600000	91.429	-140.7035
28.000000	91.448	-141.5908
28.500000	91.467	-142.6246
29.000000	91.487	-143.5813
29.500000	91.514	-144.5007
30.000000	91.545	-145.4324
30.400000	91.569	-146.2034
30.700001	91.584	-146.7943
31.100000	91.599	-147.5849
31.500000	91.607	-148.3596
32.000000	91.611	-149.2778
32.500000	91.614	-150.1273
33.000000	91.620	-150.9251
33.500000	91.633	-151.7086
34.000000	91.648	-152.5113
34.500000	91.662	-153.3363
35.000000	91.670	-154.1605
35.500000	91.674	-154.9615
36.000000	91.677	-155.7410
36.500000	91.679	-156.5125
37.000000	91.675	-157.2751
37.500000	91.666	-158.0078
38.200001	91.648	-158.9548
38.700001	91.634	-159.5853
39.500000	91.612	-160.5310
40.000000	91.598	-161.0589
40.599998	91.591	-161.6314
41.200001	91.601	-162.2199
41.799999	91.617	-162.9046
42.500000	91.625	-163.8002
43.099998	91.621	-164.5581
43.700001	91.614	-165.2781
44.400002	91.606	-166.1072
45.000000	91.596	-166.8162
45.500000	91.584	-167.3863
46.200001	91.567	-168.1469
46.799999	91.553	-168.7838
47.500000	91.532	-169.5114
48.200001	91.509	-170.1989
48.700001	91.494	-170.6704
49.400002	91.473	-171.3302
50.000000	91.452	-171.8982
50.799999	91.420	-172.6297
51.500000	91.391	-173.2413
52.200001	91.362	-173.8421
53.000000	91.328	-174.5131
53.799999	91.294	-175.1603
54.500000	91.264	-175.7153
55.200001	91.234	-176.2586
56.000000	91.199	-176.8535
57.000000	91.156	-177.5663
58.000000	91.114	-178.2608
59.000000	91.068	-178.9309
60.000000	91.019	-179.5660
60.799999	90.979	179.9627
61.500000	90.944	179.5756
62.200001	90.912	179.2031
63.000000	90.878	178.7870
64.000000	90.840	178.2625
65.000000	90.805	177.7112
66.000000	90.767	177.1477
67.000000	90.727	176.5916
68.000000	90.685	176.0537
69.000000	90.643	175.5419
70.000000	90.601	175.0421
71.000000	90.557	174.5527
72.000000	90.511	174.0799
73.000000	90.464	173.6244
74.000000	90.415	173.1896
75.000000	90.367	172.7710
76.199997	90.309	172.2915
77.500000	90.249	171.7897
78.800003	90.188	171.2958
80.000000	90.132	170.8566
81.199997	90.075	170.4321
82.500000	90.013	169.9891
83.800003	89.950	169.5703
85.000000	89.894	169.2088
86.199997	89.839	168.8568
87.500000	89.780	168.4877
88.500000	89.736	168.2134
90.000000	89.670	167.8073
91.199997	89.615	167.4893
92.500000	89.556	167.1674
93.800003	89.498	166.8676
95.000000	89.445	166.5994
96.199997	89.393	166.3378
97.500000	89.335	166.0637
98.800003	89.278	165.8013
100.000000	89.225	165.5674
101.500000	89.161	165.2796
103.000000	89.096	165.0018
104.400002	89.036	164.7606
106.000000	88.970	164.5021
107.500000	88.908	164.2699
109.000000	88.846	164.0558
110.599998	88.780	163.8417
112.000000	88.723	163.6624
113.800003	88.650	163.4421
115.000000	88.602	163.2989
117.199997	88.516	163.0518
118.000000	88.485	162.9667
120.599998	88.384	162.7049
122.000000	88.330	162.5775
124.099998	88.251	162.3921
125.000000	88.217	162.3128
126.500000	88.161	162.1885
128.000000	88.107	162.0776
131.500000	87.982	161.8669
132.000000	87.964	161.8410
134.000000	87.893	161.7386
136.000000	87.821	161.6423
138.000000	87.752	161.5565
