* Measurement data measured by REW V5.20.4
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Hook-X R, Apr 12
* Dated: 12-Apr-2022 18:25:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Hook-X R, Apr 12
* Measurement: Hook-X R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	90.842
20.299999	90.884
20.600000	90.923
20.900000	90.960
21.200001	90.995
21.400000	91.017
21.799999	91.058
22.000000	91.078
22.400000	91.115
22.700001	91.141
23.000000	91.165
23.299999	91.188
23.600000	91.210
24.000000	91.238
24.299999	91.258
24.700001	91.282
25.000000	91.300
25.400000	91.322
25.799999	91.343
26.200001	91.362
26.500000	91.376
26.900000	91.393
27.200001	91.405
27.600000	91.420
28.000000	91.433
28.500000	91.448
29.000000	91.461
29.500000	91.473
30.000000	91.483
30.400000	91.490
30.700001	91.495
31.100000	91.501
31.500000	91.505
32.000000	91.509
32.500000	91.512
33.000000	91.514
33.500000	91.514
34.000000	91.514
34.500000	91.513
35.000000	91.512
35.500000	91.510
36.000000	91.507
36.500000	91.504
37.000000	91.500
37.500000	91.495
38.200001	91.487
38.700001	91.480
39.500000	91.468
40.000000	91.460
40.599998	91.450
41.200001	91.438
41.799999	91.426
42.500000	91.411
43.099998	91.397
43.700001	91.383
44.400002	91.366
45.000000	91.351
45.500000	91.338
46.200001	91.320
46.799999	91.305
47.500000	91.286
48.200001	91.267
48.700001	91.254
49.400002	91.234
50.000000	91.216
50.799999	91.193
51.500000	91.172
52.200001	91.150
53.000000	91.125
53.799999	91.099
54.500000	91.075
55.200001	91.052
56.000000	91.024
57.000000	90.989
58.000000	90.953
59.000000	90.915
60.000000	90.878
60.799999	90.847
61.500000	90.820
62.200001	90.793
63.000000	90.762
64.000000	90.724
65.000000	90.685
66.000000	90.647
67.000000	90.608
68.000000	90.568
69.000000	90.528
70.000000	90.487
71.000000	90.446
72.000000	90.404
73.000000	90.361
74.000000	90.318
75.000000	90.275
76.199997	90.223
77.500000	90.166
78.800003	90.109
80.000000	90.054
81.199997	89.999
82.500000	89.939
83.800003	89.877
85.000000	89.819
86.199997	89.761
87.500000	89.696
88.500000	89.647
90.000000	89.572
91.199997	89.513
92.500000	89.451
93.800003	89.392
95.000000	89.341
96.199997	89.294
97.500000	89.248
98.800003	89.210
100.000000	89.180
101.500000	89.150
103.000000	89.126
104.400002	89.108
106.000000	89.090
107.500000	89.072
109.000000	89.051
110.599998	89.024
112.000000	88.995
113.800003	88.953
115.000000	88.921
117.199997	88.857
118.000000	88.832
120.599998	88.746
122.000000	88.698
124.099998	88.625
125.000000	88.593
126.500000	88.541
128.000000	88.488
131.500000	88.364
132.000000	88.346
134.000000	88.274
136.000000	88.201
138.000000	88.129
140.000000	88.056
143.000000	87.949
145.000000	87.878
147.500000	87.790
150.000000	87.703
152.500000	87.619
155.000000	87.538
157.500000	87.463
160.000000	87.394
162.500000	87.333
165.000000	87.281
167.500000	87.234
170.000000	87.191
172.500000	87.148
175.000000	87.105
177.500000	87.058
180.000000	87.008
182.500000	86.956
185.000000	86.903
187.500000	86.849
190.000000	86.795
192.500000	86.742
195.000000	86.690
197.500000	86.638
200.000000	86.586
203.000000	86.525
206.000000	86.464
209.000000	86.403
212.000000	86.344
214.000000	86.304
218.000000	86.226
220.000000	86.188
224.000000	86.114
227.000000	86.060
230.000000	86.007
233.000000	85.955
236.000000	85.904
240.000000	85.836
243.000000	85.785
247.000000	85.718
250.000000	85.667
254.000000	85.599
258.000000	85.532
262.000000	85.466
265.000000	85.416
269.000000	85.352
272.000000	85.305
276.000000	85.243
280.000000	85.182
285.000000	85.109
290.000000	85.038
295.000000	84.970
300.000000	84.906
304.000000	84.856
307.000000	84.820
311.000000	84.774
315.000000	84.730
320.000000	84.678
325.000000	84.630
330.000000	84.586
335.000000	84.544
340.000000	84.505
345.000000	84.466
350.000000	84.429
355.000000	84.392
360.000000	84.354
365.000000	84.317
370.000000	84.279
375.000000	84.242
382.000000	84.190
387.000000	84.154
395.000000	84.098
400.000000	84.064
406.000000	84.024
412.000000	83.986
418.000000	83.949
425.000000	83.907
431.000000	83.873
437.000000	83.840
444.000000	83.802
450.000000	83.772
455.000000	83.748
462.000000	83.715
468.000000	83.688
475.000000	83.658
482.000000	83.630
487.000000	83.611
494.000000	83.586
500.000000	83.566
508.000000	83.540
515.000000	83.520
522.000000	83.500
530.000000	83.480
538.000000	83.461
545.000000	83.446
552.000000	83.432
560.000000	83.417
570.000000	83.401
580.000000	83.387
590.000000	83.375
600.000000	83.366
608.000000	83.360
615.000000	83.356
622.000000	83.354
630.000000	83.353
640.000000	83.354
650.000000	83.357
660.000000	83.363
670.000000	83.371
680.000000	83.381
690.000000	83.394
700.000000	83.409
710.000000	83.426
720.000000	83.445
730.000000	83.467
740.000000	83.491
750.000000	83.518
762.000000	83.553
775.000000	83.595
788.000000	83.642
800.000000	83.689
812.000000	83.740
825.000000	83.800
838.000000	83.864
850.000000	83.927
862.000000	83.993
875.000000	84.068
885.000000	84.128
900.000000	84.221
912.000000	84.297
925.000000	84.380
938.000000	84.465
950.000000	84.543
962.000000	84.621
975.000000	84.705
988.000000	84.788
1000.000000	84.864
1015.000000	84.958
1030.000000	85.051
1044.000000	85.138
1060.000000	85.237
1075.000000	85.331
1090.000000	85.427
1106.000000	85.533
1120.000000	85.627
1138.000000	85.752
1150.000000	85.837
1172.000000	85.996
1180.000000	86.055
1206.000000	86.247
1220.000000	86.352
1241.000000	86.509
1250.000000	86.576
1265.000000	86.688
1280.000000	86.799
1315.000000	87.056
1320.000000	87.092
1340.000000	87.237
1360.000000	87.380
1380.000000	87.523
1400.000000	87.666
1430.000000	87.880
1450.000000	88.023
1475.000000	88.202
1500.000000	88.382
1525.000000	88.561
1550.000000	88.739
1575.000000	88.914
1600.000000	89.086
1625.000000	89.254
1650.000000	89.418
1675.000000	89.578
1700.000000	89.735
1725.000000	89.890
1750.000000	90.043
1775.000000	90.194
1800.000000	90.343
1825.000000	90.487
1850.000000	90.625
1875.000000	90.753
1900.000000	90.868
1925.000000	90.967
1950.000000	91.049
1975.000000	91.115
2000.000000	91.165
2030.000000	91.208
2060.000000	91.238
2090.000000	91.258
2120.000000	91.272
2140.000000	91.280
2180.000000	91.290
2200.000000	91.291
2240.000000	91.281
2270.000000	91.257
2300.000000	91.216
2330.000000	91.155
2360.000000	91.074
2400.000000	90.936
2430.000000	90.813
2470.000000	90.631
2500.000000	90.488
2540.000000	90.298
2580.000000	90.115
2620.000000	89.946
2650.000000	89.830
2690.000000	89.688
2720.000000	89.590
2760.000000	89.470
2800.000000	89.356
2850.000000	89.221
2900.000000	89.087
2950.000000	88.952
3000.000000	88.814
3040.000000	88.701
3070.000000	88.617
3110.000000	88.503
3150.000000	88.391
3200.000000	88.254
3250.000000	88.123
3300.000000	87.999
3350.000000	87.883
3400.000000	87.776
3450.000000	87.677
3500.000000	87.587
3550.000000	87.509
3600.000000	87.443
3650.000000	87.395
3700.000000	87.365
3750.000000	87.355
3820.000000	87.376
3870.000000	87.412
