* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 21-Feb-2022 17:26:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CX TWS  L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.054	-118.3181
20.299999	80.149	-118.9557
20.600000	80.241	-119.5908
20.900000	80.332	-120.2253
21.200001	80.420	-120.8587
21.400000	80.477	-121.2789
21.799999	80.588	-122.1142
22.000000	80.642	-122.5299
22.400000	80.748	-123.3617
22.700001	80.824	-123.9887
23.000000	80.898	-124.6171
23.299999	80.967	-125.2387
23.600000	81.033	-125.8450
24.000000	81.118	-126.6211
24.299999	81.181	-127.1831
24.700001	81.267	-127.9242
25.000000	81.332	-128.4882
25.400000	81.413	-129.2555
25.799999	81.487	-130.0160
26.200001	81.552	-130.7297
26.500000	81.601	-131.2198
26.900000	81.668	-131.8211
27.200001	81.723	-132.2554
27.600000	81.802	-132.8468
28.000000	81.882	-133.4739
28.500000	81.975	-134.2939
29.000000	82.059	-135.1077
29.500000	82.137	-135.8927
30.000000	82.212	-136.6611
30.400000	82.269	-137.2722
30.700001	82.310	-137.7260
31.100000	82.361	-138.3183
31.500000	82.410	-138.8940
32.000000	82.470	-139.6014
32.500000	82.528	-140.3103
33.000000	82.582	-141.0182
33.500000	82.631	-141.7060
34.000000	82.679	-142.3637
34.500000	82.729	-143.0072
35.000000	82.781	-143.6608
35.500000	82.830	-144.3324
36.000000	82.875	-145.0060
36.500000	82.917	-145.6619
37.000000	82.958	-146.2957
37.500000	82.999	-146.9189
38.200001	83.055	-147.7899
38.700001	83.091	-148.4036
39.500000	83.144	-149.3419
40.000000	83.177	-149.9037
40.599998	83.218	-150.5711
41.200001	83.257	-151.2479
41.799999	83.292	-151.9368
42.500000	83.324	-152.7332
43.099998	83.345	-153.3780
43.700001	83.366	-153.9797
44.400002	83.394	-154.6589
45.000000	83.420	-155.2506
45.500000	83.440	-155.7517
46.200001	83.465	-156.4521
46.799999	83.485	-157.0455
47.500000	83.505	-157.7257
48.200001	83.523	-158.3843
48.700001	83.536	-158.8397
49.400002	83.553	-159.4624
50.000000	83.568	-159.9883
50.799999	83.587	-160.6854
51.500000	83.602	-161.2966
52.200001	83.613	-161.9020
53.000000	83.624	-162.5702
53.799999	83.633	-163.2151
54.500000	83.642	-163.7718
55.200001	83.651	-164.3251
56.000000	83.659	-164.9534
57.000000	83.665	-165.7262
58.000000	83.669	-166.4673
59.000000	83.672	-167.1847
60.000000	83.674	-167.8906
60.799999	83.673	-168.4430
61.500000	83.671	-168.9132
62.200001	83.670	-169.3701
63.000000	83.669	-169.8905
64.000000	83.667	-170.5570
65.000000	83.659	-171.2031
66.000000	83.651	-171.8157
67.000000	83.643	-172.4226
68.000000	83.634	-173.0176
69.000000	83.623	-173.6075
70.000000	83.609	-174.1824
71.000000	83.595	-174.7279
72.000000	83.582	-175.2697
73.000000	83.569	-175.8084
74.000000	83.556	-176.3362
75.000000	83.541	-176.8551
76.199997	83.521	-177.4523
77.500000	83.498	-178.0686
78.800003	83.475	-178.6602
80.000000	83.453	-179.1953
81.199997	83.431	-179.7035
82.500000	83.409	179.7382
83.800003	83.384	179.1673
85.000000	83.357	178.6683
86.199997	83.330	178.2029
87.500000	83.304	177.6957
88.500000	83.282	177.2950
90.000000	83.245	176.7167
91.199997	83.216	176.2787
92.500000	83.186	175.8204
93.800003	83.158	175.3675
95.000000	83.131	174.9579
96.199997	83.103	174.5608
97.500000	83.072	174.1356
98.800003	83.038	173.7310
100.000000	83.009	173.3720
101.500000	82.975	172.9079
103.000000	82.938	172.4330
104.400002	82.901	172.0147
106.000000	82.860	171.5714
107.500000	82.824	171.1654
109.000000	82.787	170.7632
110.599998	82.747	170.3359
112.000000	82.708	169.9790
113.800003	82.659	169.5670
115.000000	82.629	169.3002
117.199997	82.577	168.7990
118.000000	82.557	168.6164
120.599998	82.487	168.0564
122.000000	82.448	167.7721
124.099998	82.391	167.3383
125.000000	82.367	167.1439
126.500000	82.327	166.8206
128.000000	82.286	166.5166
131.500000	82.195	165.9441
132.000000	82.183	165.8657
134.000000	82.130	165.5097
136.000000	82.065	165.1478
138.000000	81.998	164.8102
140.000000	81.933	164.4980
143.000000	81.833	164.0644
145.000000	81.760	163.7966
147.500000	81.658	163.5684
150.000000	81.546	163.5325
152.500000	81.433	163.8095
155.000000	81.361	164.4470
157.500000	81.393	165.1850
160.000000	81.519	165.3950
162.500000	81.631	164.8526
165.000000	81.668	163.9872
167.500000	81.646	163.1801
170.000000	81.595	162.5243
172.500000	81.536	161.9870
175.000000	81.473	161.5378
177.500000	81.412	161.1685
180.000000	81.352	160.8533
182.500000	81.295	160.5551
185.000000	81.242	160.2710
187.500000	81.190	160.0136
190.000000	81.136	159.7881
192.500000	81.080	159.5850
