* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 31-Mar-2022 22:46:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = HD598 L VSG to Crin B = HD598 L VSG B was scaled by 111.3 dB
* Measurement: HD598 L VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.978
20.299999	78.062
20.600000	78.145
20.900000	78.228
21.200001	78.314
21.400000	78.372
21.799999	78.494
22.000000	78.558
22.400000	78.693
22.700001	78.799
23.000000	78.910
23.299999	79.023
23.600000	79.138
24.000000	79.288
24.299999	79.398
24.700001	79.538
25.000000	79.639
25.400000	79.768
25.799999	79.890
26.200001	80.004
26.500000	80.082
26.900000	80.179
27.200001	80.247
27.600000	80.332
28.000000	80.415
28.500000	80.517
29.000000	80.616
29.500000	80.711
30.000000	80.801
30.400000	80.871
30.700001	80.925
31.100000	81.000
31.500000	81.080
32.000000	81.186
32.500000	81.293
33.000000	81.398
33.500000	81.497
34.000000	81.592
34.500000	81.683
35.000000	81.768
35.500000	81.847
36.000000	81.921
36.500000	81.992
37.000000	82.061
37.500000	82.128
38.200001	82.221
38.700001	82.286
39.500000	82.384
40.000000	82.441
40.599998	82.508
41.200001	82.574
41.799999	82.645
42.500000	82.731
43.099998	82.808
43.700001	82.885
44.400002	82.973
45.000000	83.048
45.500000	83.107
46.200001	83.187
46.799999	83.251
47.500000	83.318
48.200001	83.379
48.700001	83.418
49.400002	83.469
50.000000	83.508
50.799999	83.557
51.500000	83.596
52.200001	83.634
53.000000	83.679
53.799999	83.726
54.500000	83.769
55.200001	83.811
56.000000	83.853
57.000000	83.890
58.000000	83.914
59.000000	83.928
60.000000	83.933
60.799999	83.931
61.500000	83.927
62.200001	83.924
63.000000	83.924
64.000000	83.927
65.000000	83.918
66.000000	83.882
67.000000	83.820
68.000000	83.746
69.000000	83.687
70.000000	83.665
71.000000	83.687
72.000000	83.748
73.000000	83.831
74.000000	83.920
75.000000	84.003
76.199997	84.089
77.500000	84.170
78.800003	84.249
80.000000	84.326
81.199997	84.409
82.500000	84.504
83.800003	84.602
85.000000	84.694
86.199997	84.785
87.500000	84.880
88.500000	84.948
90.000000	85.042
91.199997	85.111
92.500000	85.179
93.800003	85.241
95.000000	85.294
96.199997	85.342
97.500000	85.388
98.800003	85.428
100.000000	85.458
101.500000	85.490
103.000000	85.519
104.400002	85.546
106.000000	85.577
107.500000	85.607
109.000000	85.637
110.599998	85.670
112.000000	85.698
113.800003	85.733
115.000000	85.755
117.199997	85.790
118.000000	85.800
120.599998	85.826
122.000000	85.834
124.099998	85.838
125.000000	85.838
126.500000	85.835
128.000000	85.830
131.500000	85.817
132.000000	85.815
134.000000	85.806
136.000000	85.796
138.000000	85.787
140.000000	85.778
143.000000	85.769
145.000000	85.766
147.500000	85.770
150.000000	85.782
152.500000	85.801
155.000000	85.826
157.500000	85.853
160.000000	85.880
162.500000	85.906
165.000000	85.931
167.500000	85.956
170.000000	85.980
172.500000	86.003
175.000000	86.024
177.500000	86.044
180.000000	86.062
182.500000	86.078
185.000000	86.089
187.500000	86.096
190.000000	86.099
192.500000	86.097
195.000000	86.092
197.500000	86.086
200.000000	86.081
203.000000	86.079
206.000000	86.081
209.000000	86.089
212.000000	86.101
214.000000	86.109
218.000000	86.125
220.000000	86.133
224.000000	86.149
227.000000	86.161
230.000000	86.175
233.000000	86.189
236.000000	86.204
240.000000	86.225
243.000000	86.242
247.000000	86.266
250.000000	86.286
254.000000	86.314
258.000000	86.344
262.000000	86.376
265.000000	86.400
269.000000	86.431
272.000000	86.455
276.000000	86.485
280.000000	86.515
285.000000	86.549
290.000000	86.578
295.000000	86.603
300.000000	86.626
304.000000	86.644
307.000000	86.659
311.000000	86.679
315.000000	86.699
320.000000	86.721
325.000000	86.738
330.000000	86.750
335.000000	86.756
340.000000	86.759
345.000000	86.761
350.000000	86.764
355.000000	86.771
360.000000	86.781
365.000000	86.793
370.000000	86.804
375.000000	86.813
382.000000	86.822
387.000000	86.829
395.000000	86.839
400.000000	86.845
406.000000	86.851
412.000000	86.856
418.000000	86.859
425.000000	86.862
