* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 31-Mar-2022 22:51:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = HD6XX R VSG to Crin B = HD6XX R VSG B was scaled by 111.3 dB
* Measurement: HD6XX R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	61.325
20.299999	61.440
20.600000	61.556
20.900000	61.671
21.200001	61.786
21.400000	61.862
21.799999	62.014
22.000000	62.088
22.400000	62.235
22.700001	62.342
23.000000	62.447
23.299999	62.549
23.600000	62.648
24.000000	62.776
24.299999	62.870
24.700001	62.991
25.000000	63.081
25.400000	63.199
25.799999	63.316
26.200001	63.431
26.500000	63.517
26.900000	63.630
27.200001	63.715
27.600000	63.827
28.000000	63.938
28.500000	64.073
29.000000	64.205
29.500000	64.332
30.000000	64.456
30.400000	64.552
30.700001	64.622
31.100000	64.715
31.500000	64.804
32.000000	64.914
32.500000	65.021
33.000000	65.125
33.500000	65.227
34.000000	65.327
34.500000	65.426
35.000000	65.522
35.500000	65.618
36.000000	65.712
36.500000	65.805
37.000000	65.897
37.500000	65.988
38.200001	66.111
38.700001	66.197
39.500000	66.327
40.000000	66.404
40.599998	66.495
41.200001	66.585
41.799999	66.675
42.500000	66.781
43.099998	66.874
43.700001	66.967
44.400002	67.074
45.000000	67.164
45.500000	67.237
46.200001	67.335
46.799999	67.416
47.500000	67.506
48.200001	67.592
48.700001	67.652
49.400002	67.733
50.000000	67.800
50.799999	67.887
51.500000	67.960
52.200001	68.031
53.000000	68.110
53.799999	68.186
54.500000	68.251
55.200001	68.314
56.000000	68.383
57.000000	68.465
58.000000	68.542
59.000000	68.614
60.000000	68.680
60.799999	68.730
61.500000	68.770
62.200001	68.809
63.000000	68.850
64.000000	68.897
65.000000	68.940
66.000000	68.977
67.000000	69.008
68.000000	69.035
69.000000	69.059
70.000000	69.082
71.000000	69.108
72.000000	69.137
73.000000	69.173
74.000000	69.215
75.000000	69.263
76.199997	69.327
77.500000	69.402
78.800003	69.480
80.000000	69.555
81.199997	69.630
82.500000	69.714
83.800003	69.798
85.000000	69.876
86.199997	69.954
87.500000	70.038
88.500000	70.100
90.000000	70.191
91.199997	70.259
92.500000	70.329
93.800003	70.394
95.000000	70.450
96.199997	70.502
97.500000	70.555
98.800003	70.605
100.000000	70.648
101.500000	70.698
103.000000	70.745
104.400002	70.785
106.000000	70.827
107.500000	70.862
109.000000	70.894
