* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jul 26 20:06:23, Jul 26 20:06:47
* Dated: Jul 26, 2021 8:06:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jul 26 20:06:23, Jul 26 20:06:47
* Measurement: Shanling MTW300 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	86.279	0
20.586	86.274	0
20.885	86.265	0
21.189	86.261	0
21.497	86.264	0
21.810	86.274	0
22.127	86.289	0
22.449	86.308	0
22.776	86.331	0
23.107	86.353	0
23.443	86.374	0
23.784	86.391	0
24.130	86.401	0
24.481	86.404	0
24.837	86.399	0
25.198	86.386	0
25.565	86.364	0
25.937	86.337	0
26.314	86.303	0
26.697	86.266	0
27.085	86.226	0
27.479	86.186	0
27.879	86.146	0
28.284	86.110	0
28.696	86.078	0
29.113	86.050	0
29.537	86.027	0
29.966	86.009	0
30.402	85.995	0
30.844	85.984	0
31.293	85.976	0
31.748	85.968	0
32.210	85.960	0
32.678	85.951	0
33.154	85.940	0
33.636	85.928	0
34.125	85.913	0
34.621	85.897	0
35.125	85.878	0
35.636	85.858	0
36.154	85.836	0
36.680	85.812	0
37.214	85.788	0
37.755	85.764	0
38.304	85.741	0
38.861	85.719	0
39.427	85.699	0
40.000	85.679	0
40.582	85.659	0
41.172	85.638	0
41.771	85.617	0
42.379	85.594	0
42.995	85.569	0
43.620	85.542	0
44.255	85.513	0
44.898	85.482	0
45.552	85.450	0
46.214	85.416	0
46.886	85.380	0
47.568	85.342	0
48.260	85.303	0
48.962	85.263	0
49.674	85.221	0
50.397	85.179	0
51.130	85.136	0
51.874	85.094	0
52.628	85.051	0
53.394	85.010	0
54.170	84.968	0
54.958	84.926	0
55.758	84.884	0
56.569	84.840	0
57.391	84.795	0
58.226	84.748	0
59.073	84.699	0
59.932	84.649	0
60.804	84.598	0
61.688	84.546	0
62.586	84.493	0
63.496	84.439	0
64.420	84.384	0
65.357	84.327	0
66.307	84.268	0
67.272	84.207	0
68.250	84.144	0
69.243	84.080	0
70.250	84.014	0
71.272	83.947	0
72.309	83.879	0
73.360	83.810	0
74.427	83.739	0
75.510	83.668	0
76.608	83.595	0
77.723	83.520	0
78.853	83.444	0
80.000	83.366	0
81.164	83.286	0
82.344	83.205	0
83.542	83.122	0
84.757	83.038	0
85.990	82.952	0
87.241	82.864	0
88.510	82.775	0
89.797	82.683	0
91.103	82.590	0
92.428	82.495	0
93.773	82.399	0
95.137	82.301	0
96.520	82.201	0
97.924	82.100	0
99.349	81.996	0
100.794	81.891	0
102.260	81.784	0
103.747	81.675	0
105.256	81.565	0
106.787	81.452	0
108.340	81.337	0
109.916	81.220	0
111.515	81.100	0
113.137	80.979	0
114.783	80.855	0
116.452	80.729	0
118.146	80.601	0
119.865	80.471	0
121.608	80.338	0
123.377	80.204	0
125.171	80.067	0
126.992	79.927	0
128.839	79.785	0
130.713	79.641	0
132.615	79.493	0
134.543	79.343	0
136.500	79.191	0
138.486	79.036	0
140.500	78.880	0
142.544	78.724	0
144.617	78.568	0
146.721	78.415	0
148.855	78.265	0
151.020	78.122	0
153.217	77.988	0
155.445	77.862	0
157.706	77.746	0
160.000	77.637	0
162.327	77.534	0
164.688	77.431	0
167.084	77.326	0
169.514	77.213	0
171.980	77.090	0
174.481	76.957	0
177.019	76.813	0
179.594	76.662	0
182.206	76.504	0
184.856	76.344	0
187.545	76.184	0
190.273	76.025	0
193.041	75.871	0
195.849	75.720	0
198.697	75.575	0
201.587	75.435	0
204.520	75.303	0
207.494	75.178	0
210.512	75.062	0
213.574	74.958	0
216.681	74.865	0
219.833	74.783	0
223.030	74.711	0
226.274	74.649	0
229.565	74.593	0
232.905	74.540	0
236.292	74.489	0
239.729	74.438	0
243.216	74.387	0
246.754	74.334	0
250.343	74.281	0
253.984	74.228	0
257.678	74.177	0
261.426	74.128	0
265.229	74.081	0
269.087	74.039	0
273.001	74.000	0
276.972	73.966	0
281.000	73.936	0
285.088	73.909	0
289.234	73.887	0
293.441	73.868	0
297.710	73.851	0
302.040	73.838	0
306.433	73.827	0
310.890	73.817	0
315.412	73.809	0
320.000	73.803	0
324.655	73.797	0
329.377	73.793	0
334.168	73.790	0
339.028	73.788	0
343.959	73.787	0
348.962	73.786	0
354.038	73.786	0
359.188	73.787	0
364.412	73.787	0
369.713	73.786	0
375.090	73.784	0
380.546	73.782	0
386.081	73.778	0
391.697	73.773	0
397.395	73.768	0
403.175	73.762	0
409.039	73.756	0
414.989	73.749	0
421.025	73.743	0
427.149	73.736	0
433.362	73.729	0
439.665	73.722	0
446.060	73.715	0
452.548	73.707	0
459.131	73.698	0
465.809	73.689	0
472.584	73.680	0
479.458	73.670	0
486.432	73.660	0
493.507	73.650	0
500.686	73.640	0
507.968	73.631	0
515.357	73.621	0
522.853	73.612	0
530.458	73.603	0
538.174	73.596	0
546.002	73.589	0
553.943	73.584	0
562.001	73.580	0
570.175	73.577	0
578.469	73.577	0
586.883	73.578	0
595.419	73.581	0
604.080	73.586	0
