* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Jul 13 19:46:10, Jul 13 19:47:22
* Dated: Jul 13, 2021 7:47:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Jul 13 19:46:10, Jul 13 19:47:22
* Measurement: Tripowin TC-01 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	69.454	0
20.586	69.453	0
20.885	69.451	0
21.189	69.453	0
21.497	69.459	0
21.810	69.470	0
22.127	69.484	0
22.449	69.503	0
22.776	69.524	0
23.107	69.548	0
23.443	69.571	0
23.784	69.595	0
24.130	69.616	0
24.481	69.635	0
24.837	69.650	0
25.198	69.661	0
25.565	69.667	0
25.937	69.667	0
26.314	69.663	0
26.697	69.654	0
27.085	69.641	0
27.479	69.625	0
27.879	69.607	0
28.284	69.587	0
28.696	69.568	0
29.113	69.549	0
29.537	69.532	0
29.966	69.517	0
30.402	69.504	0
30.844	69.493	0
31.293	69.484	0
31.748	69.477	0
32.210	69.469	0
32.678	69.462	0
33.154	69.453	0
33.636	69.442	0
34.125	69.430	0
34.621	69.415	0
35.125	69.398	0
35.636	69.378	0
36.154	69.357	0
36.680	69.334	0
37.214	69.311	0
37.755	69.287	0
38.304	69.262	0
38.861	69.238	0
39.427	69.214	0
40.000	69.189	0
40.582	69.164	0
41.172	69.139	0
41.771	69.114	0
42.379	69.087	0
42.995	69.059	0
43.620	69.031	0
44.255	69.001	0
44.898	68.970	0
45.552	68.938	0
46.214	68.905	0
46.886	68.872	0
47.568	68.837	0
48.260	68.803	0
48.962	68.767	0
49.674	68.732	0
50.397	68.695	0
51.130	68.658	0
51.874	68.620	0
52.628	68.582	0
53.394	68.543	0
54.170	68.503	0
54.958	68.462	0
55.758	68.421	0
56.569	68.378	0
57.391	68.335	0
58.226	68.291	0
59.073	68.246	0
59.932	68.200	0
60.804	68.153	0
61.688	68.106	0
62.586	68.058	0
63.496	68.010	0
64.420	67.961	0
65.357	67.911	0
66.307	67.861	0
67.272	67.810	0
68.250	67.758	0
69.243	67.705	0
70.250	67.652	0
71.272	67.597	0
72.309	67.542	0
73.360	67.487	0
74.427	67.430	0
75.510	67.373	0
76.608	67.314	0
77.723	67.255	0
78.853	67.195	0
80.000	67.134	0
81.164	67.072	0
82.344	67.010	0
83.542	66.947	0
84.757	66.883	0
85.990	66.820	0
87.241	66.755	0
88.510	66.691	0
89.797	66.626	0
91.103	66.561	0
92.428	66.496	0
93.773	66.430	0
95.137	66.364	0
96.520	66.298	0
97.924	66.231	0
99.349	66.163	0
100.794	66.095	0
102.260	66.026	0
103.747	65.956	0
105.256	65.886	0
106.787	65.815	0
108.340	65.743	0
109.916	65.670	0
111.515	65.597	0
113.137	65.524	0
114.783	65.450	0
116.452	65.375	0
118.146	65.300	0
119.865	65.224	0
121.608	65.148	0
123.377	65.072	0
125.171	64.995	0
126.992	64.917	0
128.839	64.839	0
130.713	64.760	0
132.615	64.680	0
134.543	64.599	0
136.500	64.518	0
138.486	64.436	0
140.500	64.354	0
142.544	64.270	0
144.617	64.186	0
146.721	64.101	0
148.855	64.015	0
151.020	63.929	0
153.217	63.842	0
155.445	63.755	0
157.706	63.667	0
160.000	63.579	0
162.327	63.491	0
164.688	63.403	0
