* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Feb-2022 17:47:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mangird Tea 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.924	-146.4789
20.299999	99.943	-147.1641
20.600000	99.960	-147.8366
20.900000	99.975	-148.4943
21.200001	99.989	-149.1389
21.400000	99.998	-149.5647
21.799999	100.015	-150.4104
22.000000	100.022	-150.8306
22.400000	100.032	-151.6611
22.700001	100.038	-152.2675
23.000000	100.041	-152.8548
23.299999	100.045	-153.4256
23.600000	100.050	-153.9862
24.000000	100.056	-154.7281
24.299999	100.059	-155.2844
24.700001	100.062	-156.0214
25.000000	100.062	-156.5640
25.400000	100.060	-157.2675
25.799999	100.058	-157.9508
26.200001	100.056	-158.6237
26.500000	100.054	-159.1266
26.900000	100.050	-159.7953
27.200001	100.045	-160.2913
27.600000	100.036	-160.9367
28.000000	100.024	-161.5565
28.500000	100.010	-162.2952
29.000000	99.999	-163.0115
29.500000	99.988	-163.7262
30.000000	99.976	-164.4452
30.400000	99.964	-165.0142
30.700001	99.953	-165.4315
31.100000	99.938	-165.9726
31.500000	99.922	-166.4983
32.000000	99.903	-167.1400
32.500000	99.884	-167.7671
33.000000	99.864	-168.3767
33.500000	99.844	-168.9695
34.000000	99.825	-169.5506
34.500000	99.806	-170.1239
35.000000	99.787	-170.6902
35.500000	99.767	-171.2516
36.000000	99.745	-171.8078
36.500000	99.721	-172.3513
37.000000	99.696	-172.8713
37.500000	99.671	-173.3670
38.200001	99.638	-174.0427
38.700001	99.615	-174.5252
39.500000	99.576	-175.2856
40.000000	99.550	-175.7431
40.599998	99.520	-176.2752
41.200001	99.490	-176.7953
41.799999	99.460	-177.3067
42.500000	99.425	-177.8939
43.099998	99.394	-178.3884
43.700001	99.362	-178.8690
44.400002	99.323	-179.4039
45.000000	99.291	-179.8414
45.500000	99.265	179.8013
46.200001	99.229	179.3032
46.799999	99.197	178.8802
47.500000	99.159	178.3990
48.200001	99.121	177.9322
48.700001	99.093	177.6075
49.400002	99.054	177.1673
50.000000	99.021	176.8011
50.799999	98.979	176.3204
