* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Feb-2022 17:47:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mangird Tea 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.029	-120.7552
20.299999	98.093	-121.6712
20.600000	98.153	-122.5529
20.900000	98.210	-123.4023
21.200001	98.266	-124.2275
21.400000	98.302	-124.7717
21.799999	98.372	-125.8573
22.000000	98.405	-126.4026
22.400000	98.464	-127.4970
22.700001	98.501	-128.3101
23.000000	98.533	-129.1032
23.299999	98.562	-129.8689
23.600000	98.589	-130.6088
24.000000	98.627	-131.5689
24.299999	98.657	-132.2854
24.700001	98.696	-133.2519
25.000000	98.724	-133.9859
25.400000	98.757	-134.9645
25.799999	98.786	-135.9235
26.200001	98.813	-136.8518
26.500000	98.832	-137.5298
26.900000	98.858	-138.4162
27.200001	98.877	-139.0703
27.600000	98.899	-139.9255
28.000000	98.920	-140.7543
28.500000	98.944	-141.7525
29.000000	98.968	-142.7255
29.500000	98.988	-143.6868
30.000000	99.001	-144.6241
30.400000	99.009	-145.3428
30.700001	99.014	-145.8639
31.100000	99.022	-146.5481
31.500000	99.030	-147.2365
32.000000	99.037	-148.1092
32.500000	99.037	-148.9676
33.000000	99.034	-149.7770
33.500000	99.034	-150.5461
34.000000	99.040	-151.3200
34.500000	99.045	-152.1233
35.000000	99.043	-152.9289
35.500000	99.036	-153.6913
36.000000	99.030	-154.4018
36.500000	99.027	-155.0922
37.000000	99.025	-155.7911
37.500000	99.018	-156.4894
38.200001	99.002	-157.4097
38.700001	98.990	-158.0158
39.500000	98.977	-158.9606
40.000000	98.970	-159.5639
40.599998	98.957	-160.2956
41.200001	98.940	-161.0107
41.799999	98.920	-161.6908
42.500000	98.898	-162.4409
43.099998	98.882	-163.0693
43.700001	98.868	-163.7043
44.400002	98.847	-164.4479
45.000000	98.826	-165.0648
45.500000	98.806	-165.5543
46.200001	98.780	-166.2070
46.799999	98.758	-166.7480
47.500000	98.734	-167.3693
48.200001	98.711	-167.9887
48.700001	98.693	-168.4331
49.400002	98.667	-169.0544
50.000000	98.640	-169.5731
50.799999	98.603	-170.2216
51.500000	98.572	-170.7506
52.200001	98.545	-171.2660
53.000000	98.514	-171.8550
53.799999	98.483	-172.4370
54.500000	98.455	-172.9363
55.200001	98.427	-173.4284
56.000000	98.393	-173.9777
57.000000	98.351	-174.6380
58.000000	98.307	-175.2740
59.000000	98.263	-175.8785
60.000000	98.218	-176.4456
60.799999	98.185	-176.8845
61.500000	98.155	-177.2652
62.200001	98.125	-177.6404
63.000000	98.090	-178.0570
64.000000	98.046	-178.5616
65.000000	98.002	-179.0486
66.000000	97.959	-179.5193
67.000000	97.916	-179.9769
68.000000	97.873	179.5856
69.000000	97.829	179.1667
70.000000	97.786	178.7641
71.000000	97.742	178.3750
72.000000	97.699	177.9944
73.000000	97.656	177.6206
74.000000	97.613	177.2532
75.000000	97.569	176.9004
76.199997	97.516	176.4999
77.500000	97.461	176.0938
78.800003	97.408	175.7090
80.000000	97.359	175.3579
81.199997	97.310	175.0201
82.500000	97.256	174.6678
83.800003	97.202	174.3324
85.000000	97.153	174.0448
86.199997	97.104	173.7706
87.500000	97.051	173.4873
88.500000	97.011	173.2820
90.000000	96.952	172.9870
91.199997	96.906	172.7581
92.500000	96.855	172.5228
93.800003	96.805	172.3043
95.000000	96.759	172.1125
96.199997	96.714	171.9285
97.500000	96.665	171.7352
98.800003	96.616	171.5486
100.000000	96.572	171.3858
101.500000	96.518	171.1943
103.000000	96.465	171.0142
104.400002	96.415	170.8624
106.000000	96.360	170.7047
107.500000	96.309	170.5606
109.000000	96.258	170.4240
110.599998	96.203	170.2960
112.000000	96.157	170.1989
113.800003	96.100	170.0826
115.000000	96.062	170.0084
117.199997	95.992	169.8909
118.000000	95.967	169.8530
120.599998	95.887	169.7389
122.000000	95.845	169.6855
124.099998	95.784	169.6127
125.000000	95.759	169.5840
126.500000	95.716	169.5460
128.000000	95.674	169.5205
131.500000	95.577	169.4910
132.000000	95.563	169.4888
134.000000	95.508	169.4788
136.000000	95.454	169.4736
138.000000	95.402	169.4815
140.000000	95.351	169.5005
143.000000	95.276	169.5495
145.000000	95.227	169.5907
147.500000	95.166	169.6453
150.000000	95.106	169.7139
152.500000	95.046	169.8061
155.000000	94.989	169.9074
157.500000	94.932	170.0124
160.000000	94.875	170.1279
162.500000	94.816	170.2546
165.000000	94.758	170.4042
167.500000	94.701	170.5778
170.000000	94.644	170.7740
172.500000	94.585	170.9897
175.000000	94.524	171.2472
177.500000	94.463	171.5657
180.000000	94.406	171.9500
182.500000	94.355	172.4036
185.000000	94.315	172.9331
187.500000	94.292	173.5276
190.000000	94.290	174.1404
192.500000	94.312	174.6922
195.000000	94.352	175.1226
197.500000	94.397	175.4030
200.000000	94.435	175.5395
203.000000	94.467	175.5680
206.000000	94.482	175.5303
209.000000	94.484	175.4980
212.000000	94.475	175.5014
214.000000	94.467	175.5226
218.000000	94.447	175.6067
220.000000	94.438	175.6635
224.000000	94.423	175.7865
227.000000	94.414	175.8906
230.000000	94.406	176.0054
233.000000	94.397	176.1169
236.000000	94.388	176.2171
240.000000	94.374	176.3432
243.000000	94.364	176.4388
247.000000	94.350	176.5692
250.000000	94.339	176.6695
254.000000	94.322	176.8123
258.000000	94.304	176.9664
262.000000	94.286	177.1255
265.000000	94.274	177.2479
269.000000	94.260	177.4200
272.000000	94.249	177.5587
276.000000	94.237	177.7529
280.000000	94.225	177.9409
285.000000	94.210	178.1787
290.000000	94.199	178.4213
295.000000	94.189	178.6597
300.000000	94.180	178.9099
304.000000	94.173	179.1106
307.000000	94.169	179.2548
311.000000	94.163	179.4429
315.000000	94.158	179.6356
320.000000	94.153	179.8851
325.000000	94.149	-179.8694
330.000000	94.148	-179.6416
335.000000	94.147	-179.4259
340.000000	94.143	-179.2108
345.000000	94.139	-178.9968
350.000000	94.137	-178.7746
355.000000	94.135	-178.5403
360.000000	94.134	-178.2906
365.000000	94.134	-178.0194
370.000000	94.139	-177.7311
375.000000	94.152	-177.4536
382.000000	94.185	-177.1278
387.000000	94.210	-176.9533
395.000000	94.239	-176.7775
400.000000	94.248	-176.7015
406.000000	94.254	-176.6152
412.000000	94.257	-176.5101
