* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 02-Dec-2021 12:39:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: New R new tip
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.831	32.9998
20.299999	79.885	32.6302
20.600000	79.924	32.3089
20.900000	79.947	32.0111
21.200001	79.953	31.7264
21.400000	79.949	31.5463
21.799999	79.926	31.2025
22.000000	79.909	31.0266
22.400000	79.872	30.6211
22.700001	79.844	30.2262
23.000000	79.814	29.7298
23.299999	79.775	29.1473
23.600000	79.729	28.5073
24.000000	79.664	27.6078
24.299999	79.621	26.9118
24.700001	79.581	25.9425
25.000000	79.565	25.1734
25.400000	79.556	24.1022
25.799999	79.557	23.0272
26.200001	79.569	22.0044
26.500000	79.585	21.2902
26.900000	79.614	20.4148
27.200001	79.639	19.8189
27.600000	79.672	19.1137
28.000000	79.703	18.5188
28.500000	79.736	17.9127
29.000000	79.763	17.4033
29.500000	79.780	16.9444
30.000000	79.784	16.5153
30.400000	79.779	16.1757
30.700001	79.771	15.9081
31.100000	79.755	15.5176
31.500000	79.732	15.0852
32.000000	79.694	14.4995
32.500000	79.654	13.8747
33.000000	79.618	13.2029
33.500000	79.589	12.4807
34.000000	79.567	11.7322
34.500000	79.555	10.9948
35.000000	79.553	10.2937
35.500000	79.561	9.6412
36.000000	79.576	9.0385
36.500000	79.595	8.4794
37.000000	79.612	7.9593
37.500000	79.619	7.4835
38.200001	79.610	6.8952
38.700001	79.591	6.5061
39.500000	79.542	5.8719
40.000000	79.507	5.4622
40.599998	79.472	4.9583
41.200001	79.447	4.4290
41.799999	79.428	3.8781
42.500000	79.406	3.2415
43.099998	79.388	2.7205
43.700001	79.373	2.2231
44.400002	79.359	1.6681
45.000000	79.347	1.2023
45.500000	79.337	0.8150
46.200001	79.323	0.2826
46.799999	79.308	-0.1557
47.500000	79.287	-0.6523
48.200001	79.260	-1.1440
48.700001	79.236	-1.4929
49.400002	79.201	-1.9766
50.000000	79.176	-2.3862
50.799999	79.153	-2.9203
51.500000	79.136	-3.3648
52.200001	79.115	-3.7772
53.000000	79.086	-4.2210
53.799999	79.054	-4.6627
54.500000	79.028	-5.0548
55.200001	79.006	-5.4523
56.000000	78.979	-5.9141
57.000000	78.937	-6.4830
58.000000	78.891	-7.0081
59.000000	78.852	-7.4946
60.000000	78.817	-7.9435
60.799999	78.786	-8.2672
61.500000	78.756	-8.5407
62.200001	78.725	-8.8158
63.000000	78.690	-9.1297
64.000000	78.652	-9.5262
65.000000	78.615	-9.9441
66.000000	78.578	-10.3791
67.000000	78.544	-10.8021
68.000000	78.511	-11.1930
69.000000	78.473	-11.5597
70.000000	78.430	-11.9101
71.000000	78.384	-12.2452
72.000000	78.335	-12.5681
73.000000	78.290	-12.8910
74.000000	78.254	-13.2247
