* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 06-Apr-2022 13:20:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 1,000 Hz A = Tiger R VSG to Crin B = Tiger R VSG B was scaled by 111.3 dB
* Measurement: Tiger R VSG to Crin
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	85.785
20.299999	85.837
20.600000	85.887
20.900000	85.934
21.200001	85.976
21.400000	86.003
21.799999	86.051
22.000000	86.072
22.400000	86.110
22.700001	86.135
23.000000	86.156
23.299999	86.174
23.600000	86.190
24.000000	86.207
24.299999	86.219
24.700001	86.234
25.000000	86.246
25.400000	86.261
25.799999	86.279
26.200001	86.298
26.500000	86.313
26.900000	86.336
27.200001	86.353
27.600000	86.377
28.000000	86.402
28.500000	86.432
29.000000	86.460
29.500000	86.486
30.000000	86.511
30.400000	86.529
30.700001	86.542
31.100000	86.558
31.500000	86.574
32.000000	86.592
32.500000	86.610
33.000000	86.628
33.500000	86.647
34.000000	86.666
34.500000	86.686
35.000000	86.708
35.500000	86.731
36.000000	86.754
36.500000	86.777
37.000000	86.800
37.500000	86.821
38.200001	86.847
38.700001	86.863
39.500000	86.886
40.000000	86.900
40.599998	86.917
41.200001	86.936
41.799999	86.958
42.500000	86.988
43.099998	87.018
43.700001	87.051
44.400002	87.093
45.000000	87.129
45.500000	87.159
46.200001	87.199
46.799999	87.230
47.500000	87.261
48.200001	87.285
48.700001	87.297
49.400002	87.308
50.000000	87.312
50.799999	87.311
51.500000	87.305
52.200001	87.296
53.000000	87.284
53.799999	87.270
54.500000	87.257
55.200001	87.245
56.000000	87.231
57.000000	87.214
58.000000	87.199
59.000000	87.183
60.000000	87.169
60.799999	87.158
61.500000	87.150
62.200001	87.142
63.000000	87.134
64.000000	87.126
65.000000	87.120
66.000000	87.116
67.000000	87.115
68.000000	87.116
69.000000	87.118
70.000000	87.121
71.000000	87.124
72.000000	87.127
73.000000	87.130
74.000000	87.133
75.000000	87.135
76.199997	87.138
77.500000	87.142
78.800003	87.146
80.000000	87.150
81.199997	87.154
82.500000	87.160
83.800003	87.166
85.000000	87.171
86.199997	87.176
87.500000	87.181
88.500000	87.184
90.000000	87.189
91.199997	87.192
92.500000	87.195
93.800003	87.197
95.000000	87.198
96.199997	87.199
97.500000	87.199
98.800003	87.200
100.000000	87.200
101.500000	87.200
103.000000	87.201
104.400002	87.200
106.000000	87.200
107.500000	87.198
109.000000	87.195
110.599998	87.190
112.000000	87.186
113.800003	87.178
115.000000	87.172
117.199997	87.160
118.000000	87.155
120.599998	87.139
122.000000	87.129
124.099998	87.113
125.000000	87.106
126.500000	87.094
128.000000	87.081
131.500000	87.048
132.000000	87.043
134.000000	87.023
136.000000	87.001
138.000000	86.977
140.000000	86.953
143.000000	86.916
145.000000	86.892
147.500000	86.862
150.000000	86.835
152.500000	86.809
155.000000	86.786
157.500000	86.766
160.000000	86.747
162.500000	86.729
165.000000	86.713
167.500000	86.698
170.000000	86.683
172.500000	86.669
175.000000	86.657
177.500000	86.646
180.000000	86.638
182.500000	86.631
185.000000	86.626
187.500000	86.620
190.000000	86.614
192.500000	86.605
195.000000	86.593
197.500000	86.577
200.000000	86.555
203.000000	86.521
206.000000	86.479
209.000000	86.426
212.000000	86.364
214.000000	86.316
218.000000	86.207
220.000000	86.146
224.000000	86.010
227.000000	85.900
230.000000	85.786
233.000000	85.675
236.000000	85.572
240.000000	85.456
243.000000	85.392
247.000000	85.340
250.000000	85.326
254.000000	85.336
258.000000	85.371
262.000000	85.421
265.000000	85.466
269.000000	85.528
272.000000	85.576
276.000000	85.638
280.000000	85.698
285.000000	85.768
290.000000	85.831
295.000000	85.886
300.000000	85.933
304.000000	85.963
307.000000	85.981
311.000000	85.999
315.000000	86.009
320.000000	86.008
325.000000	85.992
330.000000	85.962
335.000000	85.918
340.000000	85.864
345.000000	85.804
350.000000	85.745
355.000000	85.691
360.000000	85.644
365.000000	85.604
370.000000	85.572
375.000000	85.544
382.000000	85.514
387.000000	85.496
395.000000	85.475
400.000000	85.465
406.000000	85.454
412.000000	85.443
418.000000	85.429
425.000000	85.404
431.000000	85.374
437.000000	85.335
444.000000	85.278
450.000000	85.222
455.000000	85.172
462.000000	85.099
468.000000	85.038
475.000000	84.971
482.000000	84.911
487.000000	84.872
494.000000	84.824
500.000000	84.787
508.000000	84.741
515.000000	84.702
522.000000	84.664
530.000000	84.620
538.000000	84.578
545.000000	84.543
552.000000	84.512
560.000000	84.484
570.000000	84.463
580.000000	84.461
590.000000	84.478
600.000000	84.513
608.000000	84.553
615.000000	84.595
622.000000	84.642
630.000000	84.700
640.000000	84.775
650.000000	84.852
660.000000	84.925
670.000000	84.993
680.000000	85.055
690.000000	85.111
700.000000	85.162
710.000000	85.210
720.000000	85.258
730.000000	85.309
740.000000	85.365
750.000000	85.429
762.000000	85.517
775.000000	85.626
788.000000	85.750
800.000000	85.874
812.000000	86.006
825.000000	86.153
838.000000	86.299
850.000000	86.430
862.000000	86.553
875.000000	86.676
885.000000	86.762
900.000000	86.882
912.000000	86.971
925.000000	87.061
938.000000	87.145
950.000000	87.216
962.000000	87.281
975.000000	87.342
988.000000	87.393
1000.000000	87.434
1015.000000	87.488
1030.000000	87.562
1044.000000	87.661
1060.000000	87.809
1075.000000	87.967
1090.000000	88.124
1106.000000	88.264
1120.000000	88.345
1138.000000	88.374
1150.000000	88.350
1172.000000	88.239
1180.000000	88.186
1206.000000	88.008
1220.000000	87.942
1241.000000	87.902
1250.000000	87.898
1265.000000	87.885
1280.000000	87.844
1315.000000	87.605
1320.000000	87.555
1340.000000	87.324
1360.000000	87.046
1380.000000	86.743
1400.000000	86.445
1430.000000	86.068
1450.000000	85.876
1475.000000	85.691
1500.000000	85.563
1525.000000	85.530
1550.000000	85.634
1575.000000	85.823
1600.000000	85.960
1625.000000	85.926
1650.000000	85.710
1675.000000	85.412
1700.000000	85.154
1725.000000	84.966
1750.000000	84.784
1775.000000	84.545
1800.000000	84.252
1825.000000	83.987
1850.000000	83.858
1875.000000	83.908
1900.000000	84.092
1925.000000	84.332
1950.000000	84.587
1975.000000	84.855
2000.000000	85.145
2030.000000	85.525
2060.000000	85.923
2090.000000	86.304
2120.000000	86.631
2140.000000	86.805
2180.000000	87.041
2200.000000	87.112
2240.000000	87.193
2270.000000	87.239
2300.000000	87.313
2330.000000	87.443
2360.000000	87.628
2400.000000	87.910
2430.000000	88.116
2470.000000	88.385
2500.000000	88.597
2540.000000	88.887
2580.000000	89.145
2620.000000	89.337
2650.000000	89.430
2690.000000	89.489
2720.000000	89.484
2760.000000	89.408
2800.000000	89.276
2850.000000	89.164
2900.000000	89.303
2950.000000	89.702
3000.000000	90.144
3040.000000	90.384
3070.000000	90.467
3110.000000	90.463
3150.000000	90.377
3200.000000	90.245
3250.000000	90.149
3300.000000	90.084
3350.000000	90.002
3400.000000	89.856
3450.000000	89.622
3500.000000	89.301
3550.000000	88.920
3600.000000	88.513
3650.000000	88.115
3700.000000	87.746
3750.000000	87.395
3820.000000	86.865
3870.000000	86.429
3950.000000	85.682
4000.000000	85.252
4060.000000	84.835
4120.000000	84.556
4180.000000	84.431
4250.000000	84.479
4310.000000	84.658
4370.000000	84.925
4440.000000	85.294
4500.000000	85.622
4550.000000	85.880
4620.000000	86.189
4680.000000	86.384
4750.000000	86.512
4820.000000	86.527
4870.000000	86.470
4940.000000	86.311
5000.000000	86.123
5080.000000	85.854
5150.000000	85.668
5220.000000	85.605
5300.000000	85.769
5380.000000	86.227
5450.000000	86.820
5520.000000	87.499
5600.000000	88.274
5700.000000	89.143
5800.000000	89.864
5900.000000	90.447
6000.000000	90.926
6080.000000	91.256
6150.000000	91.516
6220.000000	91.747
6300.000000	91.973
6400.000000	92.169
6500.000000	92.206
6600.000000	92.009
6700.000000	91.531
6800.000000	90.775
6900.000000	89.795
7000.000000	88.679
7100.000000	87.541
7200.000000	86.511
7300.000000	85.729
7400.000000	85.314
7500.000000	85.311
7620.000000	85.746
7750.000000	86.458
7880.000000	87.119
8000.000000	87.549
8120.000000	87.769
8250.000000	87.757
8380.000000	87.493
8500.000000	87.052
8620.000000	86.464
8750.000000	85.704
8850.000000	85.063
9000.000000	84.132
9120.000000	83.609
9250.000000	83.469
9380.000000	83.770
9500.000000	84.272
9620.000000	84.812
9750.000000	85.288
9880.000000	85.542
10000.000000	85.527
10150.000000	85.178
10300.000000	84.537
10440.000000	83.777
10600.000000	82.816
10750.000000	81.869
10900.000000	80.885
11060.000000	79.797
11200.000000	78.840
11380.000000	77.689
11500.000000	77.038
11720.000000	76.287
11800.000000	76.204
12060.000000	76.661
12200.000000	77.205
12410.000000	78.013
12500.000000	78.274
12650.000000	78.540
12800.000000	78.603
13150.000000	78.381
13200.000000	78.367
13400.000000	78.495
13600.000000	78.933
13800.000000	79.530
14000.000000	80.051
14300.000000	80.273
14500.000000	79.910
14750.000000	78.890
15000.000000	77.425
15250.000000	75.913
15500.000000	75.027
15750.000000	75.359
16000.000000	76.584
16250.000000	77.892
16500.000000	78.827
16750.000000	79.305
17000.000000	79.372
17250.000000	79.062
17500.000000	78.385
17750.000000	77.373
18000.000000	76.101
18250.000000	74.693
18500.000000	73.299
18750.000000	72.054
19000.000000	71.078
19250.000000	70.482
19500.000000	70.284
19750.000000	70.326
