* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Mar-2022 18:18:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BQEYZ KC2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	122.454	96.6318
20.600000	122.507	96.2383
20.900000	122.633	95.4020
21.200001	122.769	94.4700
21.400000	122.857	93.8362
21.799999	123.026	92.5654
22.000000	123.105	91.9366
22.400000	123.256	90.6930
22.700001	123.364	89.7692
23.000000	123.470	88.8464
23.299999	123.575	87.9183
23.600000	123.678	86.9850
24.000000	123.814	85.7434
24.299999	123.915	84.8309
24.700001	124.049	83.6605
25.000000	124.149	82.8246
25.400000	124.281	81.7610
25.799999	124.408	80.7366
26.200001	124.526	79.7318
26.500000	124.608	78.9839
26.900000	124.708	77.9903
27.200001	124.778	77.2448
27.600000	124.867	76.2456
28.000000	124.953	75.2375
28.500000	125.059	73.9785
29.000000	125.164	72.7589
29.500000	125.271	71.6079
30.000000	125.382	70.5113
30.400000	125.473	69.6416
30.700001	125.540	68.9806
31.100000	125.626	68.0860
31.500000	125.705	67.1890
32.000000	125.797	66.0945
32.500000	125.886	65.0535
33.000000	125.973	64.0666
33.500000	126.057	63.1175
34.000000	126.135	62.1851
34.500000	126.205	61.2541
35.000000	126.271	60.3226
35.500000	126.338	59.3994
36.000000	126.410	58.4924
36.500000	126.486	57.6040
37.000000	126.558	56.7380
37.500000	126.619	55.8978
38.200001	126.691	54.7003
38.700001	126.742	53.7132
39.500000	126.820	51.7502
40.000000	126.856	50.4477
40.599998	126.889	49.1591
41.200001	126.936	48.3774
41.799999	127.011	47.9575
42.500000	127.110	47.5080
43.099998	127.176	46.9456
43.700001	127.221	46.2315
44.400002	127.266	45.2963
45.000000	127.310	44.4658
45.500000	127.349	43.7845
46.200001	127.401	42.8723
46.799999	127.440	42.1211
47.500000	127.480	41.2530
48.200001	127.517	40.3930
48.700001	127.544	39.7942
49.400002	127.584	38.9820
50.000000	127.620	38.2969
50.799999	127.664	37.3748
51.500000	127.698	36.5572
52.200001	127.728	35.7455
53.000000	127.762	34.8417
53.799999	127.795	33.9651
54.500000	127.823	33.2159
55.200001	127.850	32.4813
56.000000	127.879	31.6618
57.000000	127.912	30.6731
58.000000	127.943	29.7169
59.000000	127.973	28.7752
60.000000	128.002	27.8456
60.799999	128.024	27.1241
61.500000	128.044	26.5199
62.200001	128.065	25.9349
63.000000	128.088	25.2592
64.000000	128.110	24.3651
65.000000	128.130	23.4631
66.000000	128.166	22.6699
67.000000	128.221	21.9800
68.000000	128.258	21.2457
69.000000	128.246	20.4422
70.000000	128.207	19.6395
71.000000	128.180	18.8332
72.000000	128.173	18.0348
73.000000	128.184	17.2953
74.000000	128.205	16.6227
75.000000	128.222	15.9986
76.199997	128.232	15.2728
77.500000	128.237	14.4385
78.800003	128.242	13.5353
80.000000	128.240	12.6907
81.199997	128.227	11.9235
82.500000	128.212	11.1949
83.800003	128.204	10.5033
85.000000	128.202	9.8797
86.199997	128.207	9.2935
87.500000	128.218	8.6879
88.500000	128.225	8.1881
90.000000	128.228	7.3205
91.199997	128.227	6.5857
92.500000	128.223	5.8492
93.800003	128.211	5.2065
95.000000	128.192	4.6790
96.199997	128.173	4.1755
97.500000	128.159	3.5983
98.800003	128.152	2.9397
100.000000	128.147	2.2793
101.500000	128.135	1.4879
103.000000	128.114	0.7935
104.400002	128.091	0.1982
106.000000	128.068	-0.5007
107.500000	128.048	-1.2012
109.000000	128.029	-1.9043
110.599998	128.013	-2.5962
112.000000	127.998	-3.1330
113.800003	127.970	-3.7932
115.000000	127.946	-4.2817
117.199997	127.902	-5.3589
118.000000	127.887	-5.7943
120.599998	127.852	-7.0724
122.000000	127.845	-7.5862
124.099998	127.822	-8.3118
125.000000	127.804	-8.6114
126.500000	127.775	-9.0545
128.000000	127.763	-9.4487
131.500000	127.746	-10.3079
132.000000	127.738	-10.4219
134.000000	127.691	-10.8807
136.000000	127.640	-11.3801
138.000000	127.601	-11.9175
140.000000	127.568	-12.4750
143.000000	127.518	-13.3388
145.000000	127.483	-13.8968
147.500000	127.432	-14.5338
150.000000	127.370	-15.0725
152.500000	127.309	-15.4813
155.000000	127.257	-15.7990
157.500000	127.219	-16.0757
160.000000	127.194	-16.4010
162.500000	127.178	-16.8632
165.000000	127.167	-17.4332
167.500000	127.156	-18.0288
170.000000	127.138	-18.6209
172.500000	127.112	-19.2060
175.000000	127.078	-19.7788
177.500000	127.036	-20.3374
180.000000	126.989	-20.8871
182.500000	126.939	-21.4206
185.000000	126.891	-21.9236
187.500000	126.845	-22.3971
190.000000	126.800	-22.8520
192.500000	126.754	-23.2923
195.000000	126.709	-23.7150
197.500000	126.665	-24.1219
200.000000	126.621	-24.5218
203.000000	126.568	-24.9954
206.000000	126.514	-25.4480
209.000000	126.461	-25.8814
212.000000	126.408	-26.3110
214.000000	126.372	-26.5972
218.000000	126.300	-27.1649
220.000000	126.264	-27.4402
224.000000	126.195	-27.9543
227.000000	126.144	-28.3066
230.000000	126.094	-28.6409
233.000000	126.042	-28.9673
236.000000	125.990	-29.2907
240.000000	125.920	-29.7182
243.000000	125.869	-30.0333
247.000000	125.804	-30.4366
250.000000	125.755	-30.7235
254.000000	125.689	-31.0947
258.000000	125.623	-31.4548
262.000000	125.558	-31.7922
265.000000	125.509	-32.0249
269.000000	125.444	-32.3116
272.000000	125.398	-32.5194
276.000000	125.339	-32.8005
280.000000	125.284	-33.0822
285.000000	125.217	-33.4094
290.000000	125.154	-33.7045
295.000000	125.093	-33.9860
300.000000	125.029	-34.2645
304.000000	124.976	-34.4880
307.000000	124.936	-34.6542
311.000000	124.882	-34.8725
315.000000	124.829	-35.0877
320.000000	124.764	-35.3479
325.000000	124.702	-35.5877
330.000000	124.640	-35.8093
335.000000	124.578	-36.0200
340.000000	124.516	-36.2176
345.000000	124.452	-36.4043
350.000000	124.389	-36.5838
355.000000	124.328	-36.7541
360.000000	124.269	-36.9117
365.000000	124.211	-37.0569
370.000000	124.153	-37.1916
375.000000	124.096	-37.3182
382.000000	124.020	-37.4826
387.000000	123.967	-37.5912
395.000000	123.885	-37.7475
400.000000	123.835	-37.8333
406.000000	123.776	-37.9288
412.000000	123.719	-38.0165
418.000000	123.663	-38.0920
425.000000	123.602	-38.1630
431.000000	123.552	-38.2144
437.000000	123.504	-38.2653
444.000000	123.451	-38.3205
450.000000	123.407	-38.3539
455.000000	123.372	-38.3723
462.000000	123.325	-38.3906
468.000000	123.286	-38.4018
475.000000	123.240	-38.4100
482.000000	123.197	-38.4131
487.000000	123.166	-38.4126
494.000000	123.125	-38.4116
500.000000	123.092	-38.4121
508.000000	123.052	-38.4179
515.000000	123.019	-38.4393
522.000000	122.989	-38.4937
530.000000	122.955	-38.6222
538.000000	122.910	-38.8433
545.000000	122.848	-39.0822
552.000000	122.754	-39.2326
560.000000	122.624	-39.0641
570.000000	122.508	-38.3556
580.000000	122.479	-37.6708
590.000000	122.483	-37.3094
600.000000	122.482	-37.1642
608.000000	122.474	-37.1177
615.000000	122.463	-37.1023
622.000000	122.448	-37.1030
630.000000	122.426	-37.1198
640.000000	122.386	-37.1611
650.000000	122.331	-37.2059
660.000000	122.256	-37.1962
670.000000	122.163	-37.0475
680.000000	122.056	-36.6809
690.000000	121.954	-36.0621
700.000000	121.878	-35.2316
710.000000	121.840	-34.2962
720.000000	121.839	-33.3743
730.000000	121.866	-32.5422
740.000000	121.908	-31.8262
750.000000	121.956	-31.2191
762.000000	122.016	-30.6040
775.000000	122.077	-30.0293
788.000000	122.135	-29.5045
800.000000	122.187	-29.0428
812.000000	122.239	-28.5959
825.000000	122.297	-28.1235
838.000000	122.357	-27.6596
850.000000	122.414	-27.2401
862.000000	122.474	-26.8291
875.000000	122.540	-26.3911
885.000000	122.594	-26.0594
900.000000	122.679	-25.5753
