* Measurement data measured by REW V5.19
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 27-Sep-2021 18:47:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Blon A8 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	120.104	-76.273
20.586	120.177	-76.477
20.885	120.365	-76.952
21.189	120.576	-77.592
21.497	120.791	-78.381
21.810	120.997	-79.293
22.127	121.189	-80.301
22.449	121.366	-81.387
22.776	121.528	-82.536
23.107	121.675	-83.737
23.443	121.802	-84.969
23.784	121.910	-86.198
24.130	122.001	-87.379
24.481	122.079	-88.477
24.837	122.152	-89.473
25.198	122.229	-90.380
25.565	122.315	-91.228
25.937	122.412	-92.061
26.314	122.519	-92.917
26.697	122.634	-93.825
27.085	122.754	-94.801
27.479	122.874	-95.854
27.879	122.990	-96.977
28.284	123.097	-98.140
28.696	123.194	-99.294
29.113	123.285	-100.384
29.537	123.377	-101.379
29.966	123.480	-102.293
30.402	123.594	-103.171
30.844	123.717	-104.052
31.293	123.841	-104.943
31.748	123.963	-105.819
32.210	124.084	-106.664
32.678	124.206	-107.495
33.154	124.328	-108.349
33.636	124.443	-109.250
34.125	124.546	-110.195
34.621	124.636	-111.176
35.125	124.712	-112.201
35.636	124.769	-113.264
36.154	124.805	-114.311
36.680	124.828	-115.260
37.214	124.855	-116.083
37.755	124.902	-116.853
38.304	124.968	-117.657
38.861	125.046	-118.506
39.427	125.136	-119.352
40.000	125.248	-120.206
40.582	125.379	-121.171
41.172	125.505	-122.323
41.771	125.598	-123.571
42.379	125.656	-124.714
42.995	125.701	-125.625
43.620	125.756	-126.362
44.255	125.829	-127.083
44.898	125.904	-127.902
45.552	125.971	-128.815
46.214	126.028	-129.775
46.886	126.081	-130.761
47.568	126.136	-131.803
48.260	126.186	-132.909
48.962	126.229	-134.020
49.674	126.270	-135.061
50.397	126.320	-136.017
51.130	126.381	-136.935
51.874	126.448	-137.851
52.628	126.513	-138.764
53.394	126.574	-139.665
54.170	126.628	-140.556
54.958	126.676	-141.449
55.758	126.716	-142.349
56.569	126.749	-143.247
57.391	126.778	-144.137
58.226	126.807	-145.018
59.073	126.837	-145.896
59.932	126.870	-146.775
60.804	126.904	-147.658
61.688	126.938	-148.542
62.586	126.970	-149.426
63.496	126.999	-150.305
64.420	127.024	-151.178
65.357	127.045	-152.039
66.307	127.063	-152.889
67.272	127.079	-153.729
68.250	127.095	-154.564
