* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 03-Oct-2021 17:06:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HZSOUND Heart MirrorR
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	117.511	-93.588
20.586	117.549	-93.884
20.885	117.647	-94.549
21.189	117.755	-95.356
21.497	117.861	-96.242
21.810	117.959	-97.163
22.127	118.046	-98.086
22.449	118.125	-98.993
22.776	118.199	-99.875
23.107	118.273	-100.730
23.443	118.352	-101.568
23.784	118.436	-102.406
24.130	118.528	-103.268
24.481	118.625	-104.170
24.837	118.723	-105.120
25.198	118.820	-106.114
25.565	118.912	-107.134
25.937	118.998	-108.158
26.314	119.077	-109.165
26.697	119.150	-110.135
27.085	119.219	-111.058
27.479	119.287	-111.931
27.879	119.354	-112.761
28.284	119.424	-113.564
28.696	119.495	-114.365
29.113	119.567	-115.184
29.537	119.636	-116.032
29.966	119.700	-116.906
30.402	119.758	-117.789
30.844	119.811	-118.666
31.293	119.864	-119.529
31.748	119.917	-120.384
32.210	119.974	-121.245
32.678	120.031	-122.124
33.154	120.089	-123.017
33.636	120.144	-123.910
34.125	120.197	-124.778
34.621	120.250	-125.608
35.125	120.304	-126.400
35.636	120.361	-127.162
36.154	120.419	-127.906
36.680	120.476	-128.635
37.214	120.532	-129.350
37.755	120.586	-130.048
38.304	120.639	-130.728
38.861	120.693	-131.404
39.427	120.746	-132.097
40.000	120.797	-132.820
40.582	120.843	-133.566
41.172	120.885	-134.320
41.771	120.922	-135.072
42.379	120.957	-135.821
42.995	120.989	-136.564
43.620	121.019	-137.288
44.255	121.049	-137.985
44.898	121.081	-138.661
45.552	121.115	-139.332
46.214	121.151	-140.014
46.886	121.185	-140.711
47.568	121.215	-141.412
48.260	121.242	-142.100
48.962	121.267	-142.768
49.674	121.292	-143.417
50.397	121.319	-144.061
51.130	121.346	-144.716
51.874	121.373	-145.387
52.628	121.397	-146.063
53.394	121.419	-146.733
54.170	121.444	-147.397
54.958	121.472	-148.064
55.758	121.502	-148.745
56.569	121.532	-149.432
57.391	121.560	-150.109
58.226	121.587	-150.759
59.073	121.611	-151.371
59.932	121.633	-151.945
60.804	121.653	-152.493
61.688	121.671	-153.036
62.586	121.684	-153.588
63.496	121.695	-154.159
64.420	121.704	-154.746
65.357	121.714	-155.340
66.307	121.727	-155.929
