* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 17-Jan-2022 19:24:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ZSX R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	130.188	-106.6132
20.600000	130.229	-106.9939
20.900000	130.328	-107.8112
21.200001	130.427	-108.7487
21.400000	130.486	-109.4063
21.799999	130.586	-110.7682
22.000000	130.628	-111.4577
22.400000	130.704	-112.8312
22.700001	130.765	-113.8445
23.000000	130.835	-114.8443
23.299999	130.916	-115.8421
23.600000	131.004	-116.8413
24.000000	131.121	-118.1551
24.299999	131.196	-119.0815
24.700001	131.271	-120.1606
25.000000	131.309	-120.8149
25.400000	131.347	-121.4946
25.799999	131.386	-122.0752
26.200001	131.439	-122.7440
26.500000	131.488	-123.3956
26.900000	131.559	-124.4978
27.200001	131.613	-125.4571
27.600000	131.684	-126.8007
28.000000	131.755	-128.0779
28.500000	131.847	-129.4538
29.000000	131.934	-130.5927
29.500000	132.000	-131.5883
30.000000	132.033	-132.5238
30.400000	132.041	-133.2520
30.700001	132.044	-133.7891
31.100000	132.056	-134.4959
31.500000	132.086	-135.1966
32.000000	132.156	-136.0740
32.500000	132.251	-136.9686
33.000000	132.349	-137.8961
33.500000	132.428	-138.8609
34.000000	132.479	-139.8475
34.500000	132.507	-140.8207
35.000000	132.524	-141.7374
35.500000	132.540	-142.5523
36.000000	132.562	-143.2418
36.500000	132.589	-143.8267
37.000000	132.615	-144.3810
37.500000	132.637	-144.9933
38.200001	132.663	-146.0478
38.700001	132.688	-146.9318
39.500000	132.749	-148.4261
40.000000	132.785	-149.2999
40.599998	132.804	-150.1705
41.200001	132.789	-150.8133
41.799999	132.759	-151.3828
42.500000	132.734	-152.3116
43.099998	132.718	-153.4725
43.700001	132.700	-154.7572
44.400002	132.688	-156.0029
45.000000	132.710	-156.7292
45.500000	132.755	-157.2185
46.200001	132.832	-157.9589
46.799999	132.881	-158.6998
47.500000	132.906	-159.5581
48.200001	132.915	-160.3032
48.700001	132.919	-160.7798
49.400002	132.924	-161.4370
50.000000	132.925	-162.0297
50.799999	132.921	-162.8702
51.500000	132.916	-163.6299
52.200001	132.914	-164.3843
53.000000	132.916	-165.2156
53.799999	132.921	-166.0060
54.500000	132.928	-166.6827
55.200001	132.936	-167.3719
56.000000	132.945	-168.1741
