* Measurement data measured by REW V5.19
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 30-Oct-2021 17:48:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	120.985	-103.831
20.586	121.017	-104.171
20.885	121.097	-104.932
21.189	121.188	-105.836
21.497	121.282	-106.808
21.810	121.374	-107.808
22.127	121.463	-108.821
22.449	121.549	-109.846
22.776	121.633	-110.887
23.107	121.715	-111.945
23.443	121.795	-113.014
23.784	121.873	-114.088
24.130	121.950	-115.158
24.481	122.026	-116.216
24.837	122.101	-117.257
25.198	122.176	-118.277
25.565	122.251	-119.279
25.937	122.327	-120.271
26.314	122.403	-121.262
26.697	122.476	-122.260
27.085	122.544	-123.266
27.479	122.607	-124.278
27.879	122.663	-125.286
28.284	122.715	-126.283
28.696	122.763	-127.265
29.113	122.811	-128.236
29.537	122.861	-129.204
29.966	122.913	-130.180
30.402	122.968	-131.173
30.844	123.025	-132.186
31.293	123.082	-133.216
31.748	123.138	-134.253
32.210	123.190	-135.280
32.678	123.238	-136.273
33.154	123.282	-137.214
33.636	123.324	-138.100
34.125	123.364	-138.947
34.621	123.401	-139.781
35.125	123.430	-140.618
35.636	123.449	-141.459
36.154	123.459	-142.313
36.680	123.463	-143.210
37.214	123.461	-144.185
37.755	123.453	-145.266
38.304	123.439	-146.482
38.861	123.414	-147.868
39.427	123.361	-149.378
40.000	123.268	-150.776
40.582	123.152	-151.741
41.172	123.077	-152.133
41.771	123.101	-152.213
42.379	123.223	-152.451
42.995	123.382	-153.118
43.620	123.520	-154.118
44.255	123.616	-155.193
44.898	123.676	-156.171
45.552	123.712	-157.023
46.214	123.726	-157.772
46.886	123.724	-158.449
47.568	123.710	-159.083
48.260	123.692	-159.704
48.962	123.681	-160.357
49.674	123.679	-161.102
50.397	123.684	-161.967
51.130	123.690	-162.912
51.874	123.695	-163.868
52.628	123.701	-164.788
53.394	123.706	-165.660
54.170	123.706	-166.479
54.958	123.696	-167.239
55.758	123.676	-167.943
56.569	123.646	-168.611
57.391	123.612	-169.267
58.226	123.580	-169.940
59.073	123.555	-170.667
59.932	123.540	-171.478
60.804	123.530	-172.370
61.688	123.519	-173.298
62.586	123.501	-174.196
63.496	123.475	-174.999
64.420	123.443	-175.672
65.357	123.410	-176.247
66.307	123.377	-176.794
67.272	123.339	-177.368
68.250	123.294	-177.981
69.243	123.245	-178.620
70.250	123.194	-179.259
71.272	123.148	-179.878
72.309	123.107	179.535
73.360	123.067	178.986
74.427	123.017	178.512
75.510	122.953	178.178
76.608	122.880	178.020
77.723	122.807	177.994
78.853	122.742	177.992
80.000	122.688	177.884
81.164	122.637	177.535
82.344	122.568	176.922
83.542	122.463	176.241
84.757	122.338	175.782
85.990	122.234	175.698
87.241	122.191	175.921
88.510	122.223	176.242
89.797	122.315	176.422
91.103	122.433	176.306
92.428	122.546	175.854
93.773	122.632	175.115
95.137	122.683	174.184
96.520	122.695	173.164
97.924	122.672	172.147
99.349	122.623	171.197
100.794	122.560	170.343
102.260	122.498	169.583
103.747	122.443	168.896
105.256	122.395	168.255
106.787	122.348	167.641
108.340	122.299	167.052
109.916	122.250	166.516
111.515	122.206	166.112
113.137	122.171	165.969
114.783	122.147	166.178
116.452	122.134	166.642
118.146	122.127	166.996
119.865	122.100	166.804
121.608	122.025	165.947
123.377	121.905	164.731
125.171	121.781	163.567
126.992	121.681	162.681
128.839	121.608	162.083
130.713	121.546	161.664
132.615	121.485	161.311
134.543	121.424	160.970
136.500	121.365	160.640
138.486	121.306	160.326
140.500	121.247	160.017
142.544	121.186	159.705
144.617	121.126	159.399
146.721	121.066	159.112
148.855	121.006	158.843
151.020	120.946	158.589
153.217	120.884	158.353
155.445	120.821	158.144
157.706	120.758	157.970
160.000	120.695	157.825
162.327	120.633	157.696
164.688	120.573	157.575
167.084	120.514	157.460
169.514	120.456	157.346
171.980	120.398	157.224
174.481	120.342	157.090
177.019	120.290	156.958
179.594	120.245	156.840
182.206	120.205	156.724
184.856	120.167	156.584
187.545	120.127	156.406
190.273	120.084	156.207
193.041	120.038	156.011
195.849	119.988	155.842
198.697	119.933	155.711
201.587	119.873	155.615
204.520	119.812	155.534
207.494	119.757	155.431
210.512	119.709	155.296
213.574	119.664	155.151
216.681	119.616	155.018
219.833	119.563	154.905
223.030	119.508	154.811
226.274	119.452	154.736
229.565	119.397	154.678
232.905	119.343	154.634
236.292	119.289	154.604
239.729	119.237	154.591
243.216	119.187	154.592
246.754	119.139	154.597
250.343	119.092	154.592
253.984	119.045	154.578
257.678	118.997	154.565
261.426	118.949	154.560
265.229	118.901	154.563
269.087	118.854	154.572
273.001	118.808	154.591
276.972	118.763	154.621
281.000	118.720	154.662
285.088	118.678	154.709
289.234	118.636	154.761
293.441	118.594	154.819
297.710	118.551	154.883
302.040	118.508	154.958
306.433	118.465	155.043
310.890	118.421	155.133
315.412	118.379	155.217
320.000	118.342	155.288
324.655	118.308	155.350
329.377	118.276	155.417
334.168	118.243	155.499
339.028	118.207	155.595
343.959	118.169	155.698
348.962	118.131	155.805
354.038	118.094	155.918
359.188	118.058	156.037
364.412	118.024	156.162
369.713	117.989	156.291
375.090	117.956	156.423
380.546	117.924	156.561
386.081	117.893	156.707
391.697	117.864	156.861
397.395	117.837	157.018
403.175	117.810	157.176
409.039	117.783	157.332
414.989	117.758	157.489
421.025	117.734	157.654
427.149	117.711	157.831
433.362	117.690	158.022
439.665	117.670	158.223
446.060	117.649	158.431
452.548	117.630	158.639
459.131	117.613	158.847
465.809	117.599	159.053
472.584	117.585	159.262
479.458	117.571	159.479
486.432	117.557	159.707
493.507	117.542	159.943
500.686	117.528	160.182
507.968	117.515	160.424
515.357	117.503	160.671
522.853	117.492	160.924
530.458	117.481	161.186
538.174	117.470	161.458
546.002	117.461	161.739
553.943	117.452	162.028
562.001	117.445	162.326
570.175	117.440	162.632
578.469	117.435	162.945
586.883	117.431	163.265
595.419	117.429	163.591
604.080	117.428	163.928
612.866	117.431	164.277
621.780	117.435	164.636
630.824	117.442	165.003
640.000	117.451	165.376
649.309	117.462	165.760
658.753	117.475	166.154
668.335	117.490	166.559
678.056	117.506	166.973
687.919	117.524	167.394
697.925	117.544	167.825
708.076	117.567	168.269
718.376	117.591	168.728
728.825	117.617	169.202
739.426	117.646	169.687
750.181	117.677	170.182
761.093	117.711	170.686
772.163	117.748	171.201
783.394	117.789	171.726
794.789	117.833	172.259
806.349	117.881	172.798
818.078	117.932	173.344
829.977	117.988	173.895
842.050	118.047	174.452
854.297	118.111	175.011
866.724	118.180	175.569
879.330	118.253	176.124
892.120	118.331	176.671
905.097	118.413	177.210
918.262	118.501	177.738
931.618	118.594	178.252
945.169	118.690	178.748
958.917	118.791	179.221
972.864	118.896	179.668
987.015	119.004	-179.914
1001.371	119.114	-179.527
1015.937	119.227	-179.170
1030.714	119.341	-178.840
1045.706	119.459	-178.537
1060.916	119.581	-178.272
1076.347	119.704	-178.059
1092.003	119.825	-177.903
1107.887	119.940	-177.783
1124.001	120.047	-177.658
1140.350	120.152	-177.484
1156.937	120.262	-177.247
1173.765	120.383	-176.977
1190.838	120.519	-176.728
1208.159	120.664	-176.542
1225.732	120.813	-176.434
1243.561	120.962	-176.396
