* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-Apr-2022 17:49:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Chu R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	121.501	-120.6463
20.600000	121.517	-121.1441
20.900000	121.560	-122.1853
21.200001	121.616	-123.2841
21.400000	121.667	-123.9659
21.799999	121.812	-125.1587
22.000000	121.908	-125.6730
22.400000	122.141	-126.6246
22.700001	122.330	-127.3698
23.000000	122.502	-128.2106
23.299999	122.638	-129.1494
23.600000	122.731	-130.1580
24.000000	122.787	-131.5566
24.299999	122.792	-132.6213
24.700001	122.768	-134.0676
25.000000	122.740	-135.1790
25.400000	122.693	-136.6638
25.799999	122.640	-138.0374
26.200001	122.584	-139.1573
26.500000	122.549	-139.7930
26.900000	122.521	-140.4191
27.200001	122.516	-140.8192
27.600000	122.525	-141.4049
28.000000	122.539	-142.1555
28.500000	122.545	-143.3070
29.000000	122.544	-144.5135
29.500000	122.557	-145.6185
30.000000	122.597	-146.5978
30.400000	122.641	-147.3336
30.700001	122.673	-147.8776
31.100000	122.706	-148.6014
31.500000	122.723	-149.3189
32.000000	122.727	-150.1938
32.500000	122.725	-151.0388
33.000000	122.733	-151.8703
33.500000	122.757	-152.7166
34.000000	122.788	-153.5936
34.500000	122.810	-154.4780
35.000000	122.816	-155.3283
35.500000	122.813	-156.1292
36.000000	122.812	-156.9075
36.500000	122.819	-157.6754
37.000000	122.837	-158.3763
37.500000	122.871	-158.9309
38.200001	122.954	-159.5146
38.700001	123.026	-160.0124
39.500000	123.084	-161.3090
40.000000	123.051	-162.3064
40.599998	122.959	-163.3911
41.200001	122.863	-164.2184
41.799999	122.795	-164.9073
42.500000	122.744	-165.7345
43.099998	122.703	-166.4649
43.700001	122.670	-167.1301
44.400002	122.662	-167.8073
45.000000	122.680	-168.3676
45.500000	122.694	-168.8580
46.200001	122.689	-169.5784
46.799999	122.660	-170.2048
47.500000	122.626	-170.9287
48.200001	122.631	-171.6465
48.700001	122.662	-172.1615
49.400002	122.714	-172.8862
50.000000	122.730	-173.4821
50.799999	122.681	-174.1801
51.500000	122.596	-174.7327
52.200001	122.514	-175.3343
53.000000	122.447	-176.1080
53.799999	122.402	-176.8555
54.500000	122.371	-177.4268
55.200001	122.339	-177.9456
56.000000	122.302	-178.5203
57.000000	122.259	-179.2360
58.000000	122.221	-179.9344
59.000000	122.181	179.3865
60.000000	122.134	178.7072
60.799999	122.091	178.1758
61.500000	122.051	177.7304
62.200001	122.011	177.2992
63.000000	121.964	176.8160
64.000000	121.903	176.2324
65.000000	121.836	175.6834
66.000000	121.765	175.1906
67.000000	121.705	174.7979
68.000000	121.670	174.4831
69.000000	121.645	174.1710
70.000000	121.605	173.8549
71.000000	121.552	173.6094
72.000000	121.510	173.5427
73.000000	121.486	173.6867
74.000000	121.455	173.8693
75.000000	121.395	173.7031
76.199997	121.285	172.8209
77.500000	121.171	171.9054
78.800003	121.089	171.9933
80.000000	121.006	172.7613
81.199997	120.936	173.1883
82.500000	120.883	172.6469
83.800003	120.887	171.6222
85.000000	120.957	170.6580
86.199997	121.022	169.8442
87.500000	121.029	169.1782
88.500000	121.002	168.7443
90.000000	120.952	168.1592
91.199997	120.905	167.7984
92.500000	120.842	167.4855
93.800003	120.781	167.1881
95.000000	120.750	166.8942
96.199997	120.748	166.5540
97.500000	120.766	166.2093
98.800003	120.787	166.0081
100.000000	120.802	165.9072
101.500000	120.802	165.6683
103.000000	120.745	165.1956
104.400002	120.635	164.6660
106.000000	120.497	164.1192
107.500000	120.393	163.7187
109.000000	120.313	163.4010
110.599998	120.246	163.1280
112.000000	120.195	162.9514
113.800003	120.132	162.9158
115.000000	120.097	163.1384
117.199997	120.090	164.3768
118.000000	120.105	165.0275
120.599998	120.085	165.6714
122.000000	119.990	164.5213
124.099998	119.821	162.6190
125.000000	119.763	162.0722
126.500000	119.688	161.4540
128.000000	119.631	161.0447
131.500000	119.501	160.4744
132.000000	119.481	160.4205
134.000000	119.400	160.2707
136.000000	119.317	160.2365
138.000000	119.232	160.2618
140.000000	119.144	160.3050
143.000000	119.001	160.4839
145.000000	118.894	160.7344
147.500000	118.757	161.2511
150.000000	118.641	162.0644
152.500000	118.584	163.1761
155.000000	118.628	164.4624
157.500000	118.791	165.5164
160.000000	119.026	165.8456
162.500000	119.241	165.4432
165.000000	119.374	164.5910
167.500000	119.419	163.5359
170.000000	119.403	162.5059
172.500000	119.352	161.6494
175.000000	119.287	161.0101
177.500000	119.217	160.5586
180.000000	119.149	160.2344
182.500000	119.083	159.9956
185.000000	119.021	159.8188
187.500000	118.960	159.6765
190.000000	118.903	159.5497
192.500000	118.851	159.4352
195.000000	118.802	159.3356
197.500000	118.757	159.2531
200.000000	118.712	159.1869
203.000000	118.659	159.1221
206.000000	118.607	159.0686
209.000000	118.559	159.0262
212.000000	118.513	158.9940
214.000000	118.484	158.9779
218.000000	118.429	158.9577
220.000000	118.402	158.9528
224.000000	118.350	158.9525
227.000000	118.312	158.9597
230.000000	118.276	158.9726
233.000000	118.241	158.9894
236.000000	118.206	159.0141
240.000000	118.161	159.0646
243.000000	118.130	159.1002
247.000000	118.095	159.1237
250.000000	118.071	159.1298
254.000000	118.040	159.1422
258.000000	118.006	159.1662
262.000000	117.971	159.1918
265.000000	117.946	159.2086
269.000000	117.914	159.2368
272.000000	117.891	159.2664
276.000000	117.861	159.3143
280.000000	117.833	159.3705
285.000000	117.802	159.4524
290.000000	117.772	159.5410
295.000000	117.743	159.6318
300.000000	117.714	159.7218
304.000000	117.691	159.7892
307.000000	117.674	159.8368
311.000000	117.652	159.8991
315.000000	117.631	159.9628
320.000000	117.607	160.0463
325.000000	117.582	160.1351
330.000000	117.558	160.2293
335.000000	117.535	160.3247
340.000000	117.512	160.4164
345.000000	117.488	160.5065
350.000000	117.464	160.5998
355.000000	117.440	160.6960
360.000000	117.418	160.7929
365.000000	117.397	160.8918
370.000000	117.377	160.9935
375.000000	117.359	161.0993
382.000000	117.335	161.2510
387.000000	117.320	161.3555
395.000000	117.297	161.5191
400.000000	117.283	161.6251
406.000000	117.268	161.7570
412.000000	117.253	161.8950
418.000000	117.240	162.0390
425.000000	117.227	162.2103
431.000000	117.218	162.3539
437.000000	117.210	162.4942
444.000000	117.201	162.6594
450.000000	117.194	162.8073
455.000000	117.189	162.9341
462.000000	117.183	163.1105
468.000000	117.179	163.2584
475.000000	117.176	163.4313
482.000000	117.172	163.6100
487.000000	117.169	163.7439
494.000000	117.165	163.9385
500.000000	117.160	164.1073
508.000000	117.155	164.3300
515.000000	117.150	164.5230
522.000000	117.147	164.7156
530.000000	117.143	164.9362
538.000000	117.142	165.1612
545.000000	117.141	165.3642
552.000000	117.141	165.5710
560.000000	117.140	165.8076
570.000000	117.140	166.1078
580.000000	117.141	166.4194
590.000000	117.144	166.7350
600.000000	117.149	167.0512
608.000000	117.155	167.3085
615.000000	117.162	167.5396
622.000000	117.171	167.7764
630.000000	117.183	168.0520
640.000000	117.199	168.3992
650.000000	117.217	168.7482
660.000000	117.237	169.1053
670.000000	117.257	169.4735
680.000000	117.277	169.8485
690.000000	117.297	170.2242
700.000000	117.319	170.6005
710.000000	117.342	170.9840
720.000000	117.368	171.3772
730.000000	117.394	171.7771
740.000000	117.422	172.1793
750.000000	117.452	172.5862
762.000000	117.491	173.0860
775.000000	117.538	173.6354
788.000000	117.589	174.1848
800.000000	117.638	174.6915
812.000000	117.689	175.1983
825.000000	117.747	175.7455
838.000000	117.810	176.2889
850.000000	117.871	176.7809
862.000000	117.936	177.2565
875.000000	118.011	177.7546
885.000000	118.073	178.1234
900.000000	118.170	178.6331
912.000000	118.248	178.9815
925.000000	118.327	179.2856
938.000000	118.388	179.5479
950.000000	118.429	179.8450
962.000000	118.463	-179.7123
975.000000	118.516	-179.0606
988.000000	118.601	-178.3560
1000.000000	118.704	-177.7888
1015.000000	118.845	-177.2549
1030.000000	118.984	-176.8740
1044.000000	119.108	-176.5995
1060.000000	119.243	-176.3448
1075.000000	119.367	-176.1493
1090.000000	119.489	-175.9867
1106.000000	119.618	-175.8447
1120.000000	119.728	-175.7447
1138.000000	119.867	-175.6447
1150.000000	119.956	-175.5945
1172.000000	120.116	-175.5338
1180.000000	120.172	-175.5207
1206.000000	120.353	-175.5040
1220.000000	120.448	-175.5073
1241.000000	120.586	-175.5259
1250.000000	120.643	-175.5377
1265.000000	120.737	-175.5598
1280.000000	120.828	-175.5827
1315.000000	121.030	-175.6284
1320.000000	121.058	-175.6338
1340.000000	121.164	-175.6541
1360.000000	121.263	-175.6726
1380.000000	121.353	-175.6870
1400.000000	121.439	-175.6958
1430.000000	121.563	-175.6933
1450.000000	121.644	-175.6806
1475.000000	121.745	-175.6549
1500.000000	121.850	-175.6220
1525.000000	121.965	-175.5814
1550.000000	122.093	-175.5319
1575.000000	122.232	-175.4759
1600.000000	122.375	-175.4160
1625.000000	122.521	-175.3550
1650.000000	122.669	-175.2920
1675.000000	122.820	-175.2268
1700.000000	122.976	-175.1642
1725.000000	123.136	-175.1103
1750.000000	123.298	-175.0695
1775.000000	123.460	-175.0437
1800.000000	123.622	-175.0311
1825.000000	123.784	-175.0297
1850.000000	123.945	-175.0390
1875.000000	124.103	-175.0600
1900.000000	124.256	-175.0925
1925.000000	124.402	-175.1374
1950.000000	124.539	-175.1967
1975.000000	124.670	-175.2713
2000.000000	124.799	-175.3637
2030.000000	124.952	-175.5028
2060.000000	125.104	-175.6738
2090.000000	125.256	-175.8763
2120.000000	125.408	-176.1124
2140.000000	125.508	-176.2907
2180.000000	125.708	-176.6994
2200.000000	125.806	-176.9290
2240.000000	126.000	-177.4385
2270.000000	126.141	-177.8652
2300.000000	126.278	-178.3277
2330.000000	126.409	-178.8232
2360.000000	126.534	-179.3503
2400.000000	126.691	179.9025
2430.000000	126.800	179.3130
2470.000000	126.934	178.4941
2500.000000	127.027	177.8622
2540.000000	127.140	177.0087
2580.000000	127.239	176.1542
2620.000000	127.325	175.3069
2650.000000	127.381	174.6786
2690.000000	127.447	173.8484
2720.000000	127.488	173.2279
2760.000000	127.534	172.3988
2800.000000	127.567	171.5681
2850.000000	127.589	170.5407
2900.000000	127.588	169.5497
2950.000000	127.566	168.6174
3000.000000	127.524	167.7615
3040.000000	127.477	167.1425
3070.000000	127.436	166.7218
3110.000000	127.375	166.2242
3150.000000	127.305	165.8028
3200.000000	127.209	165.3852
3250.000000	127.105	165.0902
3300.000000	126.995	164.9164
3350.000000	126.882	164.8604
3400.000000	126.770	164.9181
3450.000000	126.664	165.0843
3500.000000	126.564	165.3542
3550.000000	126.469	165.7240
3600.000000	126.379	166.1875
3650.000000	126.292	166.7361
3700.000000	126.208	167.3608
3750.000000	126.126	168.0561
3820.000000	126.014	169.1443
3870.000000	125.935	169.9980
3950.000000	125.812	171.4837
4000.000000	125.741	172.4791
4060.000000	125.664	173.7283
4120.000000	125.596	175.0240
4180.000000	125.538	176.3536
4250.000000	125.479	177.9321
4310.000000	125.432	179.2968
4370.000000	125.385	-179.3368
4440.000000	125.330	-177.7468
4500.000000	125.287	-176.3906
4550.000000	125.253	-175.2666
4620.000000	125.212	-173.7029
4680.000000	125.182	-172.3734
4750.000000	125.154	-170.8402
4820.000000	125.132	-169.3295
4870.000000	125.122	-168.2649
4940.000000	125.113	-166.7964
5000.000000	125.108	-165.5597
5080.000000	125.104	-163.9427
5150.000000	125.101	-162.5549
5220.000000	125.095	-161.1884
5300.000000	125.085	-159.6524
5380.000000	125.068	-158.1458
5450.000000	125.048	-156.8480
5520.000000	125.021	-155.5616
5600.000000	124.980	-154.0913
5700.000000	124.913	-152.2153
5800.000000	124.827	-150.2401
5900.000000	124.732	-148.1226
6000.000000	124.639	-145.8891
6080.000000	124.564	-144.0721
6150.000000	124.494	-142.4697
6220.000000	124.417	-140.8306
6300.000000	124.322	-138.8754
6400.000000	124.202	-136.2796
6500.000000	124.091	-133.5200
6600.000000	123.997	-130.6242
6700.000000	123.929	-127.6251
6800.000000	123.895	-124.5533
6900.000000	123.898	-121.4347
7000.000000	123.940	-118.3016
7100.000000	124.017	-115.1998
7200.000000	124.131	-112.1859
7300.000000	124.284	-109.3260
7400.000000	124.476	-106.6960
7500.000000	124.704	-104.3792
7620.000000	125.016	-102.1416
7750.000000	125.372	-100.5758
7880.000000	125.694	-100.0945
8000.000000	125.909	-100.7047
8120.000000	125.997	-102.2721
8250.000000	125.896	-104.7639
8380.000000	125.551	-107.5497
8500.000000	125.009	-109.8123
8620.000000	124.268	-111.2958
8750.000000	123.282	-111.6604
8850.000000	122.431	-110.9543
9000.000000	121.065	-108.3042
9120.000000	119.940	-104.9223
9250.000000	118.727	-100.1476
9380.000000	117.545	-94.3570
9500.000000	116.494	-88.2082
9620.000000	115.490	-81.3475
9750.000000	114.464	-73.1373
9880.000000	113.515	-64.1182
10000.000000	112.726	-55.0758
10150.000000	111.905	-42.8700
10300.000000	111.347	-29.9288
10440.000000	111.137	-17.6938
10600.000000	111.280	-4.4143
10750.000000	111.685	6.4806
10900.000000	112.180	15.3564
11060.000000	112.634	22.6957
11200.000000	112.886	27.8524
11380.000000	112.987	33.7723
11500.000000	112.936	37.7610
11720.000000	112.688	45.8087
11800.000000	112.573	49.0281
12060.000000	112.213	60.4829
12200.000000	112.072	67.1338
12410.000000	111.974	77.4769
12500.000000	111.977	81.9834
12650.000000	112.037	89.5241
12800.000000	112.166	97.0450
13150.000000	112.742	114.2344
13200.000000	112.858	116.6244
13400.000000	113.422	125.9370
13600.000000	114.164	134.6944
13800.000000	115.101	142.5987
14000.000000	116.217	149.2504
14300.000000	118.074	155.7831
14500.000000	119.274	157.0248
14750.000000	120.484	154.4801
15000.000000	121.152	148.1359
15250.000000	121.185	140.3150
15500.000000	120.668	133.5083
15750.000000	119.789	128.8889
16000.000000	118.735	126.2541
16250.000000	117.619	124.8606
16500.000000	116.478	124.0579
16750.000000	115.302	123.4995
17000.000000	114.060	123.1512
17250.000000	112.731	123.1678
17500.000000	111.324	123.6997
17750.000000	109.860	124.7555
18000.000000	108.376	126.1831
18250.000000	106.903	127.7270
18500.000000	105.461	129.0711
18750.000000	104.053	129.8865
19000.000000	102.662	129.9478
19250.000000	101.261	129.2353
19500.000000	99.854	127.9888
19750.000000	98.559	126.6949
