* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Jan-2022 18:44:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: NF Audio NM2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	131.573	-105.5177
20.600000	131.606	-105.9247
20.900000	131.688	-106.7825
21.200001	131.774	-107.7167
21.400000	131.829	-108.3398
21.799999	131.936	-109.5734
22.000000	131.988	-110.1825
22.400000	132.090	-111.3949
22.700001	132.165	-112.2955
23.000000	132.239	-113.1790
23.299999	132.312	-114.0374
23.600000	132.385	-114.8676
24.000000	132.481	-115.9338
24.299999	132.552	-116.7124
24.700001	132.643	-117.7387
25.000000	132.708	-118.5097
25.400000	132.787	-119.5463
25.799999	132.857	-120.5925
26.200001	132.920	-121.6419
26.500000	132.965	-122.4247
26.900000	133.022	-123.4510
27.200001	133.065	-124.1973
27.600000	133.122	-125.1472
28.000000	133.182	-126.0381
28.500000	133.262	-127.0857
29.000000	133.345	-128.1139
29.500000	133.425	-129.1749
30.000000	133.494	-130.2775
30.400000	133.541	-131.1650
30.700001	133.572	-131.8183
31.100000	133.611	-132.6617
31.500000	133.648	-133.4737
32.000000	133.696	-134.4563
32.500000	133.742	-135.4159
33.000000	133.788	-136.3585
33.500000	133.833	-137.2861
34.000000	133.877	-138.1991
34.500000	133.921	-139.0917
35.000000	133.962	-139.9573
35.500000	134.001	-140.8011
36.000000	134.036	-141.6401
36.500000	134.067	-142.4827
37.000000	134.097	-143.3156
37.500000	134.128	-144.1175
38.200001	134.172	-145.1721
38.700001	134.195	-145.8709
39.500000	134.198	-146.8378
40.000000	134.190	-147.3472
40.599998	134.194	-147.9738
41.200001	134.226	-148.7863
41.799999	134.274	-149.8234
42.500000	134.328	-151.1266
43.099998	134.365	-152.1232
43.700001	134.397	-152.9629
44.400002	134.426	-153.8284
45.000000	134.444	-154.5459
45.500000	134.455	-155.1453
46.200001	134.470	-155.9854
46.799999	134.484	-156.6976
47.500000	134.499	-157.5068
48.200001	134.513	-158.2935
48.700001	134.523	-158.8493
49.400002	134.535	-159.6240
50.000000	134.543	-160.2785
50.799999	134.553	-161.1244
51.500000	134.559	-161.8398
52.200001	134.564	-162.5418
53.000000	134.569	-163.3358
53.799999	134.574	-164.1214
54.500000	134.578	-164.7974
55.200001	134.581	-165.4591
56.000000	134.583	-166.2003
57.000000	134.584	-167.1140
58.000000	134.583	-168.0087
59.000000	134.580	-168.8732
60.000000	134.573	-169.7151
60.799999	134.567	-170.3767
61.500000	134.560	-170.9445
62.200001	134.554	-171.4995
63.000000	134.547	-172.1169
64.000000	134.538	-172.8665
65.000000	134.527	-173.6002
66.000000	134.515	-174.3267
67.000000	134.504	-175.0520
68.000000	134.494	-175.7695
69.000000	134.482	-176.4723
70.000000	134.468	-177.1647
71.000000	134.450	-177.8439
72.000000	134.430	-178.5016
73.000000	134.409	-179.1377
74.000000	134.389	-179.7614
75.000000	134.370	179.6179
76.199997	134.348	178.8745
77.500000	134.327	178.0814
78.800003	134.304	177.3170
80.000000	134.280	176.6512
81.199997	134.254	176.0130
82.500000	134.225	175.3225
83.800003	134.197	174.6229
85.000000	134.172	173.9761
86.199997	134.148	173.3341
87.500000	134.124	172.6567
88.500000	134.106	172.1649
90.000000	134.073	171.4826
91.199997	134.042	170.9586
92.500000	134.008	170.3872
93.800003	133.974	169.8133
95.000000	133.944	169.2829
96.199997	133.912	168.7515
97.500000	133.877	168.1838
98.800003	133.841	167.6327
100.000000	133.809	167.1385
101.500000	133.768	166.5347
103.000000	133.727	165.9389
104.400002	133.689	165.3904
106.000000	133.645	164.7767
107.500000	133.606	164.2154
109.000000	133.566	163.6755
110.599998	133.524	163.1281
112.000000	133.487	162.6654
113.800003	133.438	162.0765
115.000000	133.406	161.6781
117.199997	133.358	160.9252
118.000000	133.344	160.6503
120.599998	133.282	159.8344
122.000000	133.231	159.4583
124.099998	133.149	158.9008
125.000000	133.117	158.6517
126.500000	133.068	158.2280
128.000000	133.023	157.8024
131.500000	132.918	156.8600
132.000000	132.902	156.7337
134.000000	132.839	156.2386
136.000000	132.777	155.7482
138.000000	132.715	155.2635
140.000000	132.654	154.7905
143.000000	132.559	154.1091
145.000000	132.495	153.6775
147.500000	132.412	153.1600
150.000000	132.327	152.6680
152.500000	132.242	152.2221
155.000000	132.156	151.8439
157.500000	132.070	151.5488
160.000000	131.989	151.3375
162.500000	131.915	151.1797
165.000000	131.855	151.0433
167.500000	131.812	150.9046
170.000000	131.783	150.7227
172.500000	131.762	150.4609
175.000000	131.738	150.1105
177.500000	131.706	149.6939
180.000000	131.663	149.2450
182.500000	131.612	148.7922
185.000000	131.556	148.3525
187.500000	131.495	147.9336
190.000000	131.433	147.5381
192.500000	131.370	147.1667
195.000000	131.306	146.8181
197.500000	131.242	146.4913
200.000000	131.178	146.1847
203.000000	131.101	145.8380
206.000000	131.025	145.5091
209.000000	130.949	145.1984
212.000000	130.874	144.9068
214.000000	130.824	144.7231
218.000000	130.724	144.3828
220.000000	130.674	144.2255
224.000000	130.576	143.9325
227.000000	130.502	143.7285
230.000000	130.429	143.5348
233.000000	130.357	143.3511
236.000000	130.287	143.1837
240.000000	130.199	142.9962
243.000000	130.134	142.8794
247.000000	130.051	142.7482
250.000000	129.989	142.6644
254.000000	129.911	142.5666
258.000000	129.837	142.4823
262.000000	129.768	142.4099
265.000000	129.721	142.3615
269.000000	129.662	142.2964
272.000000	129.623	142.2379
276.000000	129.575	142.1330
280.000000	129.530	141.9858
285.000000	129.472	141.7424
290.000000	129.404	141.4633
295.000000	129.326	141.1916
300.000000	129.241	140.9614
304.000000	129.170	140.8133
307.000000	129.117	140.7201
311.000000	129.047	140.6160
315.000000	128.978	140.5325
320.000000	128.894	140.4526
325.000000	128.811	140.3921
330.000000	128.731	140.3478
335.000000	128.653	140.3212
340.000000	128.577	140.3094
345.000000	128.502	140.3083
350.000000	128.429	140.3176
355.000000	128.357	140.3379
360.000000	128.287	140.3685
365.000000	128.218	140.4071
370.000000	128.151	140.4508
375.000000	128.087	140.4984
382.000000	128.000	140.5707
387.000000	127.941	140.6263
395.000000	127.850	140.7231
400.000000	127.793	140.7878
406.000000	127.727	140.8684
412.000000	127.661	140.9555
418.000000	127.598	141.0531
425.000000	127.527	141.1780
431.000000	127.467	141.2916
437.000000	127.410	141.4130
444.000000	127.345	141.5669
450.000000	127.291	141.7087
455.000000	127.246	141.8328
462.000000	127.184	142.0168
468.000000	127.133	142.1862
475.000000	127.074	142.3975
482.000000	127.016	142.6206
487.000000	126.976	142.7843
494.000000	126.921	143.0177
500.000000	126.874	143.2234
508.000000	126.815	143.5078
515.000000	126.764	143.7670
522.000000	126.715	144.0364
530.000000	126.661	144.3549
538.000000	126.608	144.6825
545.000000	126.563	144.9774
552.000000	126.519	145.2817
560.000000	126.470	145.6434
570.000000	126.412	146.1159
580.000000	126.358	146.6061
590.000000	126.307	147.1113
600.000000	126.261	147.6350
608.000000	126.228	148.0672
615.000000	126.201	148.4544
622.000000	126.177	148.8507
630.000000	126.153	149.3157
640.000000	126.126	149.9138
650.000000	126.104	150.5283
660.000000	126.086	151.1598
670.000000	126.073	151.8076
680.000000	126.063	152.4706
690.000000	126.059	153.1478
700.000000	126.059	153.8364
710.000000	126.065	154.5343
720.000000	126.077	155.2408
730.000000	126.096	155.9540
740.000000	126.120	156.6707
750.000000	126.151	157.3853
762.000000	126.196	158.2338
775.000000	126.253	159.1383
788.000000	126.319	160.0177
800.000000	126.389	160.7979
812.000000	126.467	161.5408
825.000000	126.559	162.2982
838.000000	126.656	163.0067
850.000000	126.750	163.6182
862.000000	126.846	164.1874
875.000000	126.953	164.7563
885.000000	127.035	165.1625
900.000000	127.161	165.7238
912.000000	127.261	166.1330
925.000000	127.371	166.5391
938.000000	127.481	166.9111
950.000000	127.581	167.2281
962.000000	127.681	167.5220
975.000000	127.788	167.8156
988.000000	127.893	168.0842
1000.000000	127.990	168.3110
1015.000000	128.111	168.5656
1030.000000	128.232	168.7875
1044.000000	128.344	168.9673
1060.000000	128.472	169.1444
1075.000000	128.591	169.2864
1090.000000	128.710	169.4070
1106.000000	128.837	169.5117
1120.000000	128.947	169.5828
1138.000000	129.087	169.6478
1150.000000	129.178	169.6769
1172.000000	129.344	169.7071
1180.000000	129.403	169.7116
1206.000000	129.595	169.7081
1220.000000	129.697	169.6966
1241.000000	129.848	169.6699
1250.000000	129.911	169.6559
1265.000000	130.016	169.6307
1280.000000	130.118	169.6036
1315.000000	130.353	169.5369
1320.000000	130.386	169.5274
1340.000000	130.514	169.4902
1360.000000	130.638	169.4545
1380.000000	130.755	169.4196
1400.000000	130.870	169.3865
1430.000000	131.039	169.3409
1450.000000	131.153	169.3107
1475.000000	131.297	169.2722
1500.000000	131.449	169.2314
1525.000000	131.614	169.1863
1550.000000	131.795	169.1362
1575.000000	131.989	169.0783
1600.000000	132.190	169.0091
1625.000000	132.395	168.9256
1650.000000	132.604	168.8246
1675.000000	132.818	168.7046
1700.000000	133.038	168.5631
1725.000000	133.265	168.3963
1750.000000	133.496	168.2014
1775.000000	133.730	167.9750
1800.000000	133.965	167.7138
1825.000000	134.203	167.4160
1850.000000	134.441	167.0791
1875.000000	134.679	166.6992
1900.000000	134.914	166.2721
1925.000000	135.141	165.7938
1950.000000	135.361	165.2610
1975.000000	135.574	164.6726
2000.000000	135.783	164.0277
2030.000000	136.030	163.1769
2060.000000	136.274	162.2399
2090.000000	136.512	161.2160
2120.000000	136.745	160.1046
2140.000000	136.897	159.3156
2180.000000	137.190	157.6245
2200.000000	137.331	156.7242
2240.000000	137.596	154.8204
2270.000000	137.780	153.3101
2300.000000	137.949	151.7380
2330.000000	138.102	150.1138
2360.000000	138.238	148.4485
2400.000000	138.391	146.1858
2430.000000	138.485	144.4747
2470.000000	138.581	142.2008
2500.000000	138.632	140.5187
2540.000000	138.672	138.3334
2580.000000	138.681	136.2437
2620.000000	138.663	134.2792
2650.000000	138.633	132.9043
2690.000000	138.573	131.2241
2720.000000	138.516	130.0937
2760.000000	138.430	128.7776
2800.000000	138.340	127.6873
2850.000000	138.238	126.6091
2900.000000	138.162	125.7386
2950.000000	138.112	124.9315
3000.000000	138.072	124.1153
3040.000000	138.040	123.4735
3070.000000	138.014	123.0217
3110.000000	137.978	122.4829
3150.000000	137.943	122.0312
3200.000000	137.907	121.5911
3250.000000	137.884	121.2731
3300.000000	137.879	121.0511
3350.000000	137.895	120.8962
3400.000000	137.937	120.7791
3450.000000	138.007	120.6709
3500.000000	138.105	120.5433
3550.000000	138.227	120.3686
3600.000000	138.371	120.1212
3650.000000	138.531	119.7790
3700.000000	138.706	119.3257
3750.000000	138.893	118.7515
3820.000000	139.172	117.7203
3870.000000	139.383	116.7821
3950.000000	139.736	114.7819
4000.000000	139.958	113.1241
4060.000000	140.207	110.6520
4120.000000	140.414	107.6435
4180.000000	140.557	104.1424
4250.000000	140.616	99.5612
4310.000000	140.555	95.3678
4370.000000	140.379	91.1091
4440.000000	140.031	86.3018
4500.000000	139.620	82.5131
4550.000000	139.209	79.6961
4620.000000	138.549	76.3799
4680.000000	137.926	74.1693
4750.000000	137.158	72.3315
4820.000000	136.370	71.2484
4870.000000	135.807	70.8981
4940.000000	135.033	70.9404
5000.000000	134.390	71.4185
5080.000000	133.568	72.6015
5150.000000	132.887	74.0665
5220.000000	132.245	75.8601
5300.000000	131.556	78.2416
5380.000000	130.913	80.9247
5450.000000	130.386	83.4965
5520.000000	129.892	86.2692
5600.000000	129.364	89.6861
5700.000000	128.765	94.3487
5800.000000	128.255	99.4269
5900.000000	127.865	104.6829
6000.000000	127.588	109.6864
6080.000000	127.400	113.3992
6150.000000	127.231	116.5533
6220.000000	127.058	119.7459
6300.000000	126.863	123.5266
6400.000000	126.646	128.4708
6500.000000	126.477	133.6078
6600.000000	126.362	138.8806
6700.000000	126.308	144.2536
6800.000000	126.322	149.7046
6900.000000	126.410	155.2103
7000.000000	126.571	160.7376
7100.000000	126.804	166.2444
7200.000000	127.110	171.6925
7300.000000	127.493	177.0508
7400.000000	127.961	-177.7130
7500.000000	128.526	-172.6414
7620.000000	129.350	-166.8671
7750.000000	130.440	-161.2062
7880.000000	131.745	-156.5256
8000.000000	133.133	-153.5418
8120.000000	134.645	-152.4916
8250.000000	136.276	-154.5381
8380.000000	137.656	-160.8833
8500.000000	138.474	-170.5381
8620.000000	138.697	177.7375
8750.000000	138.238	165.7581
8850.000000	137.469	158.8166
9000.000000	135.891	153.2214
9120.000000	134.492	152.4323
9250.000000	133.035	154.2183
9380.000000	131.754	157.7990
9500.000000	130.768	162.0974
9620.000000	129.971	166.9861
9750.000000	129.306	172.6834
9880.000000	128.829	178.6041
10000.000000	128.543	-175.8626
10150.000000	128.389	-169.0173
10300.000000	128.458	-162.4571
10440.000000	128.726	-156.8335
10600.000000	129.265	-151.3923
10750.000000	129.959	-147.7595
10900.000000	130.753	-146.1693
11060.000000	131.564	-147.4025
11200.000000	132.094	-151.2279
11380.000000	132.317	-159.2003
11500.000000	132.102	-165.2906
11720.000000	130.949	-174.5534
11800.000000	130.328	-176.6452
12060.000000	127.885	-177.9665
12200.000000	126.487	-175.7473
12410.000000	124.527	-169.8680
12500.000000	123.775	-166.7086
12650.000000	122.659	-160.8903
12800.000000	121.714	-154.6094
13150.000000	120.101	-139.1499
13200.000000	119.930	-136.9178
13400.000000	119.382	-128.0689
13600.000000	119.038	-119.4769
13800.000000	118.887	-111.2922
14000.000000	118.911	-103.6463
14300.000000	119.208	-93.4640
14500.000000	119.537	-87.7225
14750.000000	120.045	-81.9589
15000.000000	120.594	-77.9525
15250.000000	121.113	-75.7102
15500.000000	121.546	-74.9581
15750.000000	121.875	-75.2044
16000.000000	122.131	-75.9878
16250.000000	122.392	-77.1918
16500.000000	122.732	-79.2154
16750.000000	123.166	-82.9262
17000.000000	123.604	-89.3585
17250.000000	123.863	-99.1064
17500.000000	123.748	-111.6326
17750.000000	123.131	-125.1416
18000.000000	122.017	-137.5022
18250.000000	120.532	-147.5199
18500.000000	118.893	-155.5421
18750.000000	117.362	-163.3202
19000.000000	116.085	-173.0513
19250.000000	114.956	174.3733
19500.000000	113.795	160.1871
19750.000000	112.629	147.2351
