* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Mar-2022 22:36:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ThieAudio V16 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	135.050	44.2140
20.600000	135.073	43.9262
20.900000	135.127	43.3145
21.200001	135.179	42.6341
21.400000	135.211	42.1796
21.799999	135.267	41.3063
22.000000	135.295	40.9010
22.400000	135.357	40.1557
22.700001	135.413	39.6315
23.000000	135.480	39.0983
23.299999	135.553	38.5171
23.600000	135.625	37.8673
24.000000	135.709	36.8952
24.299999	135.756	36.1211
24.700001	135.795	35.0988
25.000000	135.811	34.3848
25.400000	135.824	33.5293
25.799999	135.843	32.7626
26.200001	135.877	32.0300
26.500000	135.913	31.4715
26.900000	135.974	30.6939
27.200001	136.028	30.0824
27.600000	136.108	29.2330
28.000000	136.190	28.3514
28.500000	136.284	27.2274
29.000000	136.353	26.1433
29.500000	136.393	25.1843
30.000000	136.411	24.3936
30.400000	136.419	23.8508
30.700001	136.424	23.4622
31.100000	136.431	22.9264
31.500000	136.437	22.3486
32.000000	136.446	21.5699
32.500000	136.462	20.7554
33.000000	136.489	19.9315
33.500000	136.527	19.1202
34.000000	136.565	18.3483
34.500000	136.597	17.6261
35.000000	136.619	16.9299
35.500000	136.631	16.2210
36.000000	136.638	15.4887
36.500000	136.649	14.7555
37.000000	136.671	14.0561
37.500000	136.697	13.4320
38.200001	136.708	12.8336
38.700001	136.688	12.7016
39.500000	136.657	12.7598
40.000000	136.669	12.5369
40.599998	136.706	11.6482
41.200001	136.740	10.2030
41.799999	136.759	8.6709
42.500000	136.777	7.2603
43.099998	136.796	6.4091
43.700001	136.809	5.7235
44.400002	136.807	4.9701
45.000000	136.799	4.3034
45.500000	136.795	3.7290
46.200001	136.794	2.9265
46.799999	136.795	2.2730
47.500000	136.794	1.5523
48.200001	136.788	0.8432
48.700001	136.783	0.3314
49.400002	136.776	-0.3864
50.000000	136.771	-0.9906
50.799999	136.762	-1.7715
51.500000	136.753	-2.4367
52.200001	136.742	-3.0916
53.000000	136.729	-3.8286
53.799999	136.715	-4.5512
54.500000	136.701	-5.1739
55.200001	136.687	-5.7919
56.000000	136.670	-6.4938
57.000000	136.648	-7.3578
58.000000	136.624	-8.1984
59.000000	136.598	-9.0185
60.000000	136.570	-9.8229
60.799999	136.546	-10.4540
61.500000	136.525	-10.9970
62.200001	136.504	-11.5322
63.000000	136.479	-12.1353
64.000000	136.446	-12.8771
65.000000	136.413	-13.6057
66.000000	136.377	-14.3218
67.000000	136.340	-15.0262
68.000000	136.302	-15.7185
69.000000	136.263	-16.3968
70.000000	136.223	-17.0593
71.000000	136.182	-17.7047
72.000000	136.141	-18.3344
73.000000	136.099	-18.9523
74.000000	136.057	-19.5618
75.000000	136.013	-20.1622
76.199997	135.961	-20.8626
77.500000	135.903	-21.5885
78.800003	135.843	-22.2905
80.000000	135.784	-22.9356
81.199997	135.728	-23.5770
82.500000	135.673	-24.2517
