* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-Apr-2022 21:49:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tin Hifi T1S L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	125.222	-90.0329
20.600000	125.279	-90.4799
20.900000	125.414	-91.4430
21.200001	125.555	-92.5531
21.400000	125.645	-93.3226
21.799999	125.814	-94.8634
22.000000	125.893	-95.6043
22.400000	126.044	-96.9927
22.700001	126.154	-97.9528
23.000000	126.262	-98.8642
23.299999	126.367	-99.7569
23.600000	126.468	-100.6533
24.000000	126.595	-101.8746
24.299999	126.683	-102.8087
24.700001	126.794	-104.0590
25.000000	126.874	-104.9833
25.400000	126.978	-106.1830
25.799999	127.082	-107.3434
26.200001	127.184	-108.4737
26.500000	127.259	-109.3068
26.900000	127.356	-110.3978
27.200001	127.426	-111.1968
27.600000	127.519	-112.2299
28.000000	127.614	-113.2265
28.500000	127.736	-114.4408
29.000000	127.855	-115.6541
29.500000	127.960	-116.8832
30.000000	128.045	-118.1148
30.400000	128.100	-119.0851
30.700001	128.137	-119.7990
31.100000	128.186	-120.7326
31.500000	128.238	-121.6496
32.000000	128.310	-122.7779
32.500000	128.384	-123.8836
33.000000	128.456	-124.9569
33.500000	128.523	-125.9955
34.000000	128.586	-127.0139
34.500000	128.648	-128.0337
35.000000	128.711	-129.0595
35.500000	128.773	-130.0704
36.000000	128.832	-131.0422
36.500000	128.887	-131.9769
37.000000	128.935	-132.9026
37.500000	128.978	-133.8417
38.200001	129.039	-135.1745
38.700001	129.090	-136.1160
39.500000	129.171	-137.4883
40.000000	129.203	-138.1201
40.599998	129.226	-138.5376
41.200001	129.264	-138.7661
41.799999	129.335	-139.2681
42.500000	129.420	-140.6200
43.099998	129.455	-142.2376
43.700001	129.461	-143.8087
44.400002	129.466	-145.2812
45.000000	129.484	-146.2969
45.500000	129.500	-147.0687
46.200001	129.519	-148.0997
46.799999	129.537	-148.9689
47.500000	129.566	-149.9986
48.200001	129.594	-151.0082
48.700001	129.611	-151.6716
49.400002	129.633	-152.5049
50.000000	129.651	-153.1770
50.799999	129.676	-154.0893
51.500000	129.697	-154.9210
52.200001	129.717	-155.7768
53.000000	129.736	-156.7750
53.799999	129.748	-157.7684
54.500000	129.755	-158.6072
55.200001	129.760	-159.4116
56.000000	129.765	-160.3016
57.000000	129.771	-161.3982
58.000000	129.779	-162.5027
59.000000	129.786	-163.5894
60.000000	129.783	-164.6025
60.799999	129.772	-165.3754
61.500000	129.760	-166.0538
62.200001	129.750	-166.7428
63.000000	129.744	-167.5336
64.000000	129.741	-168.4994
65.000000	129.730	-169.4150
66.000000	129.713	-170.2973
67.000000	129.694	-171.1741
68.000000	129.674	-172.0417
69.000000	129.653	-172.9014
70.000000	129.632	-173.7730
71.000000	129.614	-174.6626
72.000000	129.595	-175.5477
73.000000	129.569	-176.4052
74.000000	129.534	-177.2407
75.000000	129.494	-178.0660
76.199997	129.444	-179.0155
77.500000	129.383	-179.9428
78.800003	129.313	179.2272
80.000000	129.246	178.5043
81.199997	129.178	177.8217
82.500000	129.100	177.1592
83.800003	129.014	176.5695
85.000000	128.930	176.1078
86.199997	128.849	175.7359
87.500000	128.764	175.3950
88.500000	128.709	175.2026
90.000000	128.657	175.1312
91.199997	128.640	175.2015
92.500000	128.644	175.2071
93.800003	128.671	175.0171
95.000000	128.713	174.6649
96.199997	128.766	174.1453
97.500000	128.822	173.4166
98.800003	128.857	172.5862
100.000000	128.863	171.7992
101.500000	128.845	170.8717
103.000000	128.809	170.0338
104.400002	128.763	169.3015
106.000000	128.698	168.5133
107.500000	128.625	167.8536
109.000000	128.543	167.3038
110.599998	128.455	166.8416
112.000000	128.386	166.5087
113.800003	128.329	166.0162
115.000000	128.314	165.5267
117.199997	128.312	164.3001
118.000000	128.310	163.8963
120.599998	128.302	163.6833
122.000000	128.316	164.1451
124.099998	128.377	164.5714
125.000000	128.415	164.4267
126.500000	128.483	163.7698
128.000000	128.537	162.9910
131.500000	128.530	161.7441
132.000000	128.522	161.5529
134.000000	128.498	160.6641
136.000000	128.464	159.7343
138.000000	128.396	158.9052
140.000000	128.304	158.1312
143.000000	128.189	156.9666
145.000000	128.143	156.2896
147.500000	128.093	155.5751
150.000000	128.041	154.9249
152.500000	127.982	154.2539
155.000000	127.910	153.5460
157.500000	127.835	152.8451
160.000000	127.765	152.1762
162.500000	127.692	151.5454
165.000000	127.612	150.9175
167.500000	127.526	150.2611
170.000000	127.437	149.6399
172.500000	127.343	149.1096
175.000000	127.241	148.6596
177.500000	127.132	148.2924
180.000000	127.032	148.0252
182.500000	126.950	147.8202
185.000000	126.876	147.6502
187.500000	126.809	147.5372
190.000000	126.758	147.4966
192.500000	126.724	147.4918
195.000000	126.705	147.4602
197.500000	126.693	147.3695
200.000000	126.687	147.1843
203.000000	126.691	146.7131
206.000000	126.700	145.9435
209.000000	126.696	145.0644
212.000000	126.661	144.2397
214.000000	126.622	143.7396
218.000000	126.523	142.8498
220.000000	126.468	142.4562
224.000000	126.357	141.7411
227.000000	126.272	141.2458
230.000000	126.187	140.7875
233.000000	126.103	140.3675
236.000000	126.022	139.9757
240.000000	125.918	139.4951
243.000000	125.841	139.1674
247.000000	125.739	138.7597
250.000000	125.661	138.4652
254.000000	125.558	138.0862
258.000000	125.459	137.7266
262.000000	125.362	137.3867
265.000000	125.291	137.1448
269.000000	125.198	136.8379
272.000000	125.130	136.6187
276.000000	125.041	136.3447
280.000000	124.954	136.0978
285.000000	124.848	135.8277
290.000000	124.744	135.5815
295.000000	124.639	135.3361
300.000000	124.532	135.0849
304.000000	124.448	134.8905
307.000000	124.386	134.7515
311.000000	124.305	134.5789
315.000000	124.225	134.4276
320.000000	124.128	134.2693
325.000000	124.032	134.1298
330.000000	123.937	134.0005
335.000000	123.843	133.8865
340.000000	123.751	133.7911
345.000000	123.662	133.7123
350.000000	123.576	133.6432
355.000000	123.493	133.5796
360.000000	123.414	133.5187
365.000000	123.336	133.4551
370.000000	123.259	133.3856
375.000000	123.182	133.3157
382.000000	123.075	133.2307
387.000000	122.999	133.1810
395.000000	122.878	133.1155
400.000000	122.804	133.0891
406.000000	122.718	133.0768
412.000000	122.633	133.0777
418.000000	122.550	133.0882
425.000000	122.456	133.1230
431.000000	122.377	133.1717
437.000000	122.302	133.2255
444.000000	122.217	133.2896
450.000000	122.146	133.3512
455.000000	122.088	133.4107
462.000000	122.010	133.5066
468.000000	121.943	133.5964
475.000000	121.866	133.7060
482.000000	121.789	133.8262
487.000000	121.734	133.9228
494.000000	121.659	134.0687
500.000000	121.596	134.1986
508.000000	121.513	134.3808
515.000000	121.442	134.5527
522.000000	121.372	134.7354
530.000000	121.294	134.9541
538.000000	121.219	135.1815
545.000000	121.155	135.3884
552.000000	121.091	135.6027
560.000000	121.020	135.8549
570.000000	120.934	136.1798
580.000000	120.850	136.5202
590.000000	120.769	136.8831
600.000000	120.692	137.2650
608.000000	120.635	137.5786
615.000000	120.587	137.8574
622.000000	120.540	138.1418
630.000000	120.489	138.4768
640.000000	120.427	138.9134
650.000000	120.367	139.3697
660.000000	120.309	139.8395
670.000000	120.253	140.3177
680.000000	120.197	140.8152
690.000000	120.142	141.3474
700.000000	120.088	141.9172
710.000000	120.036	142.5287
720.000000	119.988	143.1917
730.000000	119.946	143.9149
740.000000	119.915	144.6970
750.000000	119.900	145.5177
762.000000	119.905	146.4938
775.000000	119.936	147.4469
788.000000	119.979	148.2289
800.000000	120.016	148.8164
812.000000	120.042	149.3349
825.000000	120.062	149.8821
838.000000	120.074	150.4564
850.000000	120.083	151.0171
862.000000	120.093	151.5999
875.000000	120.106	152.2509
885.000000	120.120	152.7632
900.000000	120.148	153.5445
912.000000	120.175	154.1729
925.000000	120.210	154.8483
938.000000	120.251	155.5132
950.000000	120.293	156.1174
962.000000	120.339	156.7115
975.000000	120.393	157.3405
988.000000	120.451	157.9518
1000.000000	120.507	158.4976
1015.000000	120.581	159.1489
1030.000000	120.659	159.7644
1044.000000	120.735	160.3091
1060.000000	120.828	160.8941
1075.000000	120.919	161.4052
1090.000000	121.013	161.8830
1106.000000	121.115	162.3563
1120.000000	121.207	162.7403
1138.000000	121.326	163.1966
1150.000000	121.406	163.4791
1172.000000	121.555	163.9553
1180.000000	121.610	164.1155
1206.000000	121.789	164.5900
1220.000000	121.888	164.8174
1241.000000	122.036	165.1236
1250.000000	122.099	165.2427
1265.000000	122.205	165.4261
1280.000000	122.310	165.5897
1315.000000	122.553	165.8930
1320.000000	122.587	165.9280
1340.000000	122.721	166.0487
1360.000000	122.850	166.1378
1380.000000	122.973	166.1918
1400.000000	123.090	166.2096
1430.000000	123.258	166.1782
