* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 28-Apr-2022 20:51:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tripowin TC01 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	123.212	-108.3752
20.600000	123.242	-108.7892
20.900000	123.315	-109.6653
21.200001	123.394	-110.6304
21.400000	123.447	-111.2824
21.799999	123.552	-112.5898
22.000000	123.604	-113.2397
22.400000	123.704	-114.5305
22.700001	123.776	-115.4799
23.000000	123.846	-116.4027
23.299999	123.913	-117.2970
23.600000	123.979	-118.1671
24.000000	124.063	-119.3023
24.299999	124.123	-120.1456
24.700001	124.197	-121.2659
25.000000	124.249	-122.1005
25.400000	124.312	-123.1957
25.799999	124.371	-124.2582
26.200001	124.430	-125.2819
26.500000	124.476	-126.0263
26.900000	124.538	-126.9954
27.200001	124.587	-127.7116
27.600000	124.652	-128.6608
28.000000	124.716	-129.6104
28.500000	124.791	-130.8009
29.000000	124.855	-131.9845
29.500000	124.908	-133.1390
30.000000	124.954	-134.2405
30.400000	124.989	-135.0769
30.700001	125.015	-135.6807
31.100000	125.050	-136.4645
31.500000	125.086	-137.2365
32.000000	125.129	-138.2017
32.500000	125.168	-139.1744
33.000000	125.202	-140.1479
33.500000	125.234	-141.1080
34.000000	125.265	-142.0385
34.500000	125.296	-142.9261
35.000000	125.327	-143.7666
35.500000	125.356	-144.5748
36.000000	125.383	-145.3852
36.500000	125.411	-146.2298
37.000000	125.441	-147.1083
37.500000	125.479	-147.9799
38.200001	125.551	-149.1004
38.700001	125.615	-149.8245
39.500000	125.698	-150.9611
40.000000	125.716	-151.6960
40.599998	125.703	-152.5938
41.200001	125.675	-153.5048
41.799999	125.659	-154.4416
42.500000	125.662	-155.5244
43.099998	125.674	-156.3480
43.700001	125.688	-157.0398
44.400002	125.701	-157.7668
45.000000	125.705	-158.4098
45.500000	125.702	-158.9695
46.200001	125.694	-159.7649
46.799999	125.684	-160.4623
47.500000	125.665	-161.3154
48.200001	125.636	-162.1738
48.700001	125.620	-162.7560
49.400002	125.620	-163.5279
50.000000	125.640	-164.1863
50.799999	125.670	-165.0795
51.500000	125.680	-165.8346
52.200001	125.676	-166.5410
53.000000	125.670	-167.3226
53.799999	125.671	-168.1156
54.500000	125.674	-168.8103
55.200001	125.674	-169.4841
56.000000	125.671	-170.2239
57.000000	125.666	-171.1260
58.000000	125.656	-172.0173
59.000000	125.641	-172.8903
60.000000	125.623	-173.7397
60.799999	125.608	-174.4007
61.500000	125.594	-174.9665
62.200001	125.578	-175.5234
63.000000	125.559	-176.1523
64.000000	125.540	-176.9220
65.000000	125.528	-177.6630
66.000000	125.518	-178.3812
67.000000	125.500	-179.0907
68.000000	125.476	-179.7979
69.000000	125.449	179.5009
70.000000	125.423	178.8193
71.000000	125.398	178.1690
72.000000	125.375	177.5478
73.000000	125.349	176.9499
74.000000	125.322	176.3627
75.000000	125.293	175.7669
76.199997	125.259	175.0425
77.500000	125.222	174.2964
78.800003	125.180	173.6293
80.000000	125.137	173.0582
81.199997	125.097	172.4577
82.500000	125.062	171.7463
83.800003	125.029	171.0326
85.000000	124.995	170.4052
86.199997	124.957	169.8038
87.500000	124.913	169.1813
88.500000	124.880	168.7295
90.000000	124.833	168.0871
91.199997	124.796	167.5908
92.500000	124.756	167.0686
93.800003	124.715	166.5501
95.000000	124.676	166.0633
96.199997	124.636	165.5664
97.500000	124.594	165.0229
98.800003	124.555	164.4917
100.000000	124.519	164.0350
101.500000	124.469	163.5218
103.000000	124.416	163.0217
104.400002	124.367	162.5201
106.000000	124.311	161.9295
107.500000	124.261	161.4015
109.000000	124.211	160.9114
110.599998	124.158	160.4277
112.000000	124.111	160.0376
113.800003	124.052	159.6257
115.000000	124.009	159.4614
117.199997	123.914	159.5251
118.000000	123.875	159.6334
120.599998	123.774	159.3497
122.000000	123.748	158.5463
124.099998	123.711	157.2780
125.000000	123.688	156.8813
126.500000	123.640	156.4102
128.000000	123.584	156.0793
131.500000	123.456	155.4597
132.000000	123.441	155.3722
134.000000	123.385	155.0023
136.000000	123.338	154.6025
138.000000	123.291	154.1821
140.000000	123.242	153.7537
143.000000	123.169	153.1405
145.000000	123.122	152.7517
147.500000	123.060	152.2694
150.000000	122.991	151.8015
152.500000	122.917	151.3735
155.000000	122.839	150.9984
157.500000	122.761	150.6680
160.000000	122.689	150.3479
162.500000	122.626	150.0009
165.000000	122.568	149.6451
167.500000	122.509	149.3032
170.000000	122.447	148.9698
172.500000	122.382	148.6403
175.000000	122.317	148.3095
177.500000	122.249	147.9813
180.000000	122.178	147.6722
182.500000	122.106	147.3907
185.000000	122.034	147.1294
187.500000	121.965	146.8782
190.000000	121.897	146.6379
192.500000	121.831	146.4150
195.000000	121.764	146.2073
197.500000	121.697	146.0079
200.000000	121.632	145.8150
203.000000	121.556	145.5911
206.000000	121.480	145.3737
209.000000	121.403	145.1698
212.000000	121.323	144.9869
214.000000	121.268	144.8786
218.000000	121.160	144.6961
220.000000	121.105	144.6245
224.000000	120.999	144.5414
227.000000	120.923	144.5480
230.000000	120.857	144.6158
233.000000	120.805	144.7178
236.000000	120.768	144.8005
240.000000	120.737	144.7982
243.000000	120.716	144.6930
247.000000	120.677	144.4560
250.000000	120.639	144.2446
254.000000	120.577	143.9639
258.000000	120.508	143.7197
262.000000	120.436	143.5230
265.000000	120.380	143.4023
269.000000	120.305	143.2666
272.000000	120.250	143.1779
276.000000	120.179	143.0742
280.000000	120.111	142.9897
285.000000	120.029	142.9120
290.000000	119.948	142.8541
295.000000	119.870	142.7993
300.000000	119.794	142.7521
304.000000	119.734	142.7262
307.000000	119.690	142.7155
311.000000	119.632	142.7126
315.000000	119.574	142.7166
320.000000	119.504	142.7209
325.000000	119.434	142.7242
330.000000	119.367	142.7325
335.000000	119.303	142.7517
340.000000	119.239	142.7848
345.000000	119.175	142.8306
350.000000	119.112	142.8869
355.000000	119.050	142.9516
360.000000	118.989	143.0225
365.000000	118.930	143.1010
370.000000	118.871	143.1881
375.000000	118.814	143.2785
382.000000	118.739	143.3998
387.000000	118.688	143.4864
395.000000	118.608	143.6392
400.000000	118.561	143.7433
406.000000	118.505	143.8694
412.000000	118.450	143.9973
418.000000	118.397	144.1335
425.000000	118.337	144.3038
431.000000	118.290	144.4546
437.000000	118.245	144.6089
444.000000	118.196	144.7967
450.000000	118.156	144.9671
455.000000	118.123	145.1136
462.000000	118.077	145.3167
468.000000	118.037	145.4882
475.000000	117.993	145.6963
482.000000	117.949	145.9155
487.000000	117.918	146.0748
494.000000	117.876	146.2971
500.000000	117.841	146.4864
508.000000	117.799	146.7399
515.000000	117.764	146.9682
522.000000	117.729	147.2064
530.000000	117.690	147.4896
538.000000	117.651	147.7794
545.000000	117.617	148.0355
552.000000	117.583	148.2938
560.000000	117.547	148.5944
570.000000	117.502	148.9818
580.000000	117.458	149.3791
590.000000	117.417	149.7809
600.000000	117.380	150.1849
608.000000	117.352	150.5132
615.000000	117.328	150.8098
622.000000	117.305	151.1203
630.000000	117.278	151.4936
640.000000	117.247	151.9861
650.000000	117.216	152.5159
660.000000	117.186	153.1071
670.000000	117.157	153.7946
680.000000	117.136	154.6393
690.000000	117.150	155.6312
700.000000	117.223	156.5279
710.000000	117.324	157.0288
720.000000	117.398	157.1743
730.000000	117.427	157.2477
740.000000	117.429	157.4265
750.000000	117.423	157.7300
762.000000	117.417	158.2083
775.000000	117.418	158.8089
788.000000	117.427	159.4562
800.000000	117.442	160.0708
812.000000	117.462	160.6897
825.000000	117.490	161.3651
838.000000	117.524	162.0457
850.000000	117.560	162.6779
862.000000	117.600	163.3108
875.000000	117.648	163.9926
885.000000	117.689	164.5105
900.000000	117.757	165.2722
912.000000	117.816	165.8685
925.000000	117.884	166.4993
938.000000	117.956	167.1119
950.000000	118.027	167.6616
962.000000	118.100	168.1934
975.000000	118.182	168.7434
988.000000	118.266	169.2630
1000.000000	118.347	169.7181
1015.000000	118.451	170.2588
1030.000000	118.557	170.7656
1044.000000	118.658	171.2048
1060.000000	118.776	171.6666
1075.000000	118.889	172.0611
1090.000000	119.003	172.4164
1106.000000	119.126	172.7554
1120.000000	119.233	173.0250
1138.000000	119.370	173.3412
1150.000000	119.460	173.5330
1172.000000	119.624	173.8426
1180.000000	119.683	173.9433
1206.000000	119.874	174.2377
1220.000000	119.976	174.3806
1241.000000	120.126	174.5823
1250.000000	120.189	174.6644
1265.000000	120.292	174.7951
1280.000000	120.393	174.9196
1315.000000	120.623	175.1967
1320.000000	120.655	175.2360
1340.000000	120.781	175.3950
1360.000000	120.901	175.5560
1380.000000	121.014	175.7184
1400.000000	121.123	175.8845
1430.000000	121.285	176.1411
1450.000000	121.394	176.3155
1475.000000	121.531	176.5368
1500.000000	121.675	176.7649
1525.000000	121.832	176.9998
1550.000000	122.005	177.2377
1575.000000	122.192	177.4726
1600.000000	122.386	177.7037
1625.000000	122.584	177.9312
1650.000000	122.787	178.1514
1675.000000	122.996	178.3615
1700.000000	123.212	178.5598
1725.000000	123.436	178.7442
1750.000000	123.665	178.9124
1775.000000	123.898	179.0612
1800.000000	124.135	179.1874
1825.000000	124.376	179.2900
1850.000000	124.619	179.3677
1875.000000	124.864	179.4153
1900.000000	125.108	179.4273
1925.000000	125.347	179.4016
1950.000000	125.581	179.3368
1975.000000	125.812	179.2317
2000.000000	126.045	179.0854
2030.000000	126.327	178.8520
2060.000000	126.615	178.5436
2090.000000	126.908	178.1464
2120.000000	127.205	177.6516
2140.000000	127.404	177.2646
2180.000000	127.805	176.3453
2200.000000	128.006	175.8102
2240.000000	128.405	174.5848
2270.000000	128.700	173.5264
2300.000000	128.988	172.3442
2330.000000	129.268	171.0359
2360.000000	129.537	169.6024
2400.000000	129.875	167.5020
2430.000000	130.110	165.7917
2470.000000	130.395	163.3485
2500.000000	130.584	161.4100
2540.000000	130.800	158.7117
2580.000000	130.972	155.9198
2620.000000	131.096	153.0803
2650.000000	131.157	150.9501
2690.000000	131.198	148.1526
2720.000000	131.197	146.1149
2760.000000	131.159	143.5146
2800.000000	131.082	141.0813
2850.000000	130.940	138.3157
2900.000000	130.759	135.8870
2950.000000	130.549	133.8104
3000.000000	130.321	132.0854
3040.000000	130.132	130.9499
3070.000000	129.989	130.2336
3110.000000	129.800	129.4470
3150.000000	129.614	128.8377
3200.000000	129.389	128.3037
3250.000000	129.174	128.0009
3300.000000	128.971	127.9108
3350.000000	128.783	128.0230
3400.000000	128.614	128.3337
3450.000000	128.472	128.8326
3500.000000	128.363	129.4806
3550.000000	128.286	130.2159
3600.000000	128.232	131.0031
3650.000000	128.197	131.8501
3700.000000	128.180	132.7724
3750.000000	128.185	133.7692
3820.000000	128.232	135.2552
3870.000000	128.298	136.3370
3950.000000	128.459	137.9728
4000.000000	128.592	138.8623
4060.000000	128.777	139.7501
4120.000000	128.979	140.4431
4180.000000	129.193	140.9614
4250.000000	129.455	141.3604
4310.000000	129.689	141.5159
4370.000000	129.927	141.4720
4440.000000	130.211	141.1206
4500.000000	130.457	140.5182
4550.000000	130.659	139.7762
4620.000000	130.931	138.3365
4680.000000	131.139	136.7104
4750.000000	131.338	134.3601
4820.000000	131.469	131.5754
4870.000000	131.511	129.3853
4940.000000	131.488	126.1732
5000.000000	131.387	123.4221
5080.000000	131.142	119.9723
5150.000000	130.837	117.3079
5220.000000	130.462	115.0612
5300.000000	129.968	113.0573
5380.000000	129.423	111.6812
5450.000000	128.919	110.9971
5520.000000	128.401	110.7896
5600.000000	127.806	111.1095
5700.000000	127.076	112.2777
5800.000000	126.380	114.1990
5900.000000	125.734	116.7651
6000.000000	125.145	119.8763
6080.000000	124.720	122.6945
6150.000000	124.383	125.3598
6220.000000	124.080	128.1788
6300.000000	123.775	131.5543
6400.000000	123.457	135.9538
6500.000000	123.211	140.5036
6600.000000	123.036	145.1627
6700.000000	122.937	149.8967
6800.000000	122.918	154.6763
