* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-Feb-2022 18:59:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: VE Bonus IE R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	128.390	-130.1339
20.600000	128.410	-130.5297
20.900000	128.458	-131.3634
21.200001	128.511	-132.2683
21.400000	128.546	-132.8667
21.799999	128.618	-134.0350
22.000000	128.654	-134.6034
22.400000	128.727	-135.7263
22.700001	128.782	-136.5678
23.000000	128.834	-137.4157
23.299999	128.883	-138.2703
23.600000	128.926	-139.1264
24.000000	128.977	-140.2565
24.299999	129.011	-141.0836
24.700001	129.053	-142.1495
25.000000	129.086	-142.9212
25.400000	129.130	-143.9201
25.799999	129.173	-144.8943
26.200001	129.214	-145.8489
26.500000	129.242	-146.5512
26.900000	129.275	-147.4676
27.200001	129.298	-148.1410
27.600000	129.326	-149.0263
28.000000	129.353	-149.9068
28.500000	129.385	-151.0094
29.000000	129.414	-152.1076
29.500000	129.441	-153.1831
30.000000	129.465	-154.2231
30.400000	129.483	-155.0321
30.700001	129.497	-155.6302
31.100000	129.515	-156.4226
31.500000	129.531	-157.2127
32.000000	129.550	-158.1961
32.500000	129.567	-159.1677
33.000000	129.583	-160.1186
33.500000	129.598	-161.0439
34.000000	129.612	-161.9422
34.500000	129.623	-162.8157
35.000000	129.630	-163.6690
35.500000	129.634	-164.5078
36.000000	129.636	-165.3359
36.500000	129.638	-166.1527
37.000000	129.641	-166.9559
37.500000	129.645	-167.7438
38.200001	129.649	-168.8213
38.700001	129.647	-169.5712
39.500000	129.635	-170.7313
40.000000	129.625	-171.4373
40.599998	129.616	-172.2811
41.200001	129.610	-173.1330
41.799999	129.605	-173.9865
42.500000	129.596	-174.9628
43.099998	129.584	-175.7733
43.700001	129.569	-176.5651
44.400002	129.550	-177.4761
45.000000	129.532	-178.2462
45.500000	129.518	-178.8734
46.200001	129.498	-179.7187
46.799999	129.479	179.5898
47.500000	129.456	178.8159
48.200001	129.432	178.0682
48.700001	129.416	177.5416
49.400002	129.396	176.7961
50.000000	129.378	176.1393
50.799999	129.349	175.2555
51.500000	129.319	174.5055
52.200001	129.291	173.7848
53.000000	129.261	172.9819
53.799999	129.232	172.1948
54.500000	129.205	171.5223
55.200001	129.177	170.8636
56.000000	129.143	170.1254
57.000000	129.099	169.2280
58.000000	129.055	168.3574
59.000000	129.008	167.5019
60.000000	128.960	166.6503
60.799999	128.920	165.9783
61.500000	128.885	165.4069
62.200001	128.849	164.8529
63.000000	128.807	164.2354
64.000000	128.755	163.4781
65.000000	128.703	162.7364
66.000000	128.651	162.0161
67.000000	128.599	161.3247
68.000000	128.546	160.6611
69.000000	128.490	160.0097
70.000000	128.434	159.3550
71.000000	128.377	158.6962
72.000000	128.320	158.0428
73.000000	128.262	157.4021
74.000000	128.205	156.7846
75.000000	128.152	156.2001
76.199997	128.091	155.5297
77.500000	128.024	154.8133
78.800003	127.955	154.0969
80.000000	127.891	153.4460
81.199997	127.827	152.8167
82.500000	127.756	152.1589
83.800003	127.684	151.5262
85.000000	127.618	150.9634
86.199997	127.553	150.4108
87.500000	127.486	149.8091
88.500000	127.435	149.3456
90.000000	127.357	148.6705
91.199997	127.293	148.1614
92.500000	127.223	147.6380
93.800003	127.154	147.1263
95.000000	127.092	146.6541
96.199997	127.028	146.1879
97.500000	126.957	145.7019
98.800003	126.885	145.2335
100.000000	126.819	144.8060
101.500000	126.736	144.2773
103.000000	126.654	143.7645
104.400002	126.579	143.3023
106.000000	126.495	142.7910
107.500000	126.417	142.3230
109.000000	126.341	141.8623
110.599998	126.262	141.3828
112.000000	126.194	140.9760
113.800003	126.104	140.4631
115.000000	126.043	140.1244
117.199997	125.930	139.5074
118.000000	125.889	139.2830
120.599998	125.760	138.6044
122.000000	125.695	138.2937
124.099998	125.600	137.8557
125.000000	125.559	137.6688
126.500000	125.488	137.3598
128.000000	125.416	137.0552
131.500000	125.247	136.3455
132.000000	125.224	136.2447
134.000000	125.132	135.8507
136.000000	125.044	135.4733
138.000000	124.955	135.1046
140.000000	124.864	134.7370
143.000000	124.730	134.2066
145.000000	124.643	133.8854
147.500000	124.538	133.5101
150.000000	124.433	133.1470
152.500000	124.331	132.7885
155.000000	124.231	132.4413
157.500000	124.132	132.1102
160.000000	124.034	131.7875
162.500000	123.938	131.4756
165.000000	123.842	131.1852
167.500000	123.746	130.9145
170.000000	123.649	130.6553
172.500000	123.552	130.4063
175.000000	123.456	130.1672
177.500000	123.360	129.9362
180.000000	123.265	129.7114
182.500000	123.171	129.4953
185.000000	123.079	129.2905
187.500000	122.990	129.0934
190.000000	122.901	128.9043
192.500000	122.813	128.7269
195.000000	122.726	128.5587
197.500000	122.640	128.3984
200.000000	122.557	128.2496
203.000000	122.457	128.0855
206.000000	122.359	127.9327
209.000000	122.262	127.7891
212.000000	122.166	127.6490
214.000000	122.102	127.5557
218.000000	121.975	127.3785
220.000000	121.912	127.3000
224.000000	121.789	127.1634
227.000000	121.699	127.0747
230.000000	121.610	126.9949
233.000000	121.524	126.9222
236.000000	121.440	126.8547
240.000000	121.329	126.7695
243.000000	121.246	126.7119
247.000000	121.137	126.6470
250.000000	121.057	126.6030
254.000000	120.951	126.5454
258.000000	120.846	126.4979
